Polish	Russian	probability
b	b	1.0
f	vʲ	1.0
i	ɪ_j	1.0
r	r	1.0
s	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
ɕ	sʲ	1.0
ɡ	ɡ	1.0
ɲ	nʲ	1.0
ʑ	zʲ	1.0
ʥ	dʲ	1.0
ʨ	tʲ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈɨ	1.0
m	mʲ	0.581
n	n_ɨ	0.341
ɨ	j	0.411
ʦ	ʦ	0.851
ˈɔ	ˈu	0.121
ˈɛ	-	0.1
ˈɛ	ˈe	0.551
a	ə	0.252
l	ɫ	0.242
p	pʲ	0.462
w	ɫ	0.962
ɨ	ɨ_j	0.552
ˈu	ˈu	0.182
ˈɔ	ɐ	0.2
ʂ	ʂ	0.613
ˈa	ˈa	0.23
ˈɔ	ˈo	0.443
d	d	0.754
m	m	0.374
ʈ͡ʂ	ʨ	0.574
ʐ	rʲ	0.74
ˈa	ˈe	0.534
j	-	0.115
j	ɪ	0.885
v	vʲ	0.455
v	v	0.545
ɛ	-	0.125
ɛ	ˈo	0.225
ˈɛ	ˈo	0.065
k	k_ɐ	0.086
ʈ͡ʂ	ʨ_ɪ	0.426
ʐ	ʐ	0.26
ˈa	ˈɵ	0.236
d	dʲ	0.197
ɛ	ˈe	0.067
ɛ	e	0.077
ɛ	ɪ	0.337
ʂ	rʲ	0.387
ˈɔ	ɪ	0.07
a	ˈa	0.748
l	lʲ	0.758
p	p	0.538
ɔ	ə	0.98
ɛ	ə	0.168
ˈu	ˈo	0.818
ˈɛ	ˈɵ	0.078
ˈɛ	ɐ	0.078
ˈɛ	ɪ	0.128
k	kʲ	0.139
k	k	0.739
n	n	0.659
ʦ	ʨ	0.149
ˈɔ	-	0.129
