Occitan	Latin	probability
a	a	0.607
a	aː	0.166
a	ˈa	0.07
b	b	0.888
b	-	0.071
d	d	0.89
d	-	0.108
e	ɛ	0.293
e	-	0.191
e	ʊ̃ː	0.132
e	ɛ̃ː	0.078
e	ɪ	0.075
f	f	0.969
i	iː	0.515
i	oː	0.279
i	i	0.129
i	ɪ	0.067
j	-	0.245
j	t	0.185
j	ɛ	0.137
j	i	0.096
j	ɛ̃ː	0.073
j	ˈiː	0.073
j	ˈaː	0.058
j	d_i	0.05
j_s	s	1.0
j_ɾ	r	0.489
j_ˈe	ˈɛ	1.0
j_ˈɛ	ˈɛ	1.0
k	k	0.706
k	k_ʊ̃ː	0.163
k	kʷ	0.088
l	ɫ	0.378
l	lʲ	0.22
l	ɫ_ʊ̃ː	0.126
l	l	0.094
l	ʊ_ɫ	0.066
l_ɥ	ɫ	1.0
m	m	0.771
m	m_ɛ̃ː	0.08
n	n	0.724
n	n_t	0.075
p	p	0.97
r	r	0.945
r	r_n	0.052
s	s	0.755
s	k	0.1
s_j	s	0.489
t	t	0.539
t	t_ʊ̃ː	0.142
t	t_ɛ̃ː	0.092
u	ɔ	0.371
u	oː	0.209
u	ˈoː	0.15
u	ɪ	0.082
u	o	0.059
v	w	1.0
w	w	0.179
w	-	0.142
w	b_ɛ	0.111
w	ɫ	0.102
w	w_ʊ̃ː	0.089
w	w_ɪ	0.057
y	uː	0.489
z	-	0.302
z	k	0.149
z	d	0.136
z	s	0.136
z	t	0.098
z	tʰ	0.098
ð	t	0.863
ð	tʰ	0.13
ŋ	ŋ	0.839
ŋ	ŋ_ɡʷ	0.158
ɔ	ãː	0.888
ɡ	ɡ	0.692
ɡ	k	0.12
ɡ	kʷ	0.089
ɡ	ɡʷ	0.086
ɣ	k	0.648
ɣ	ɡ	0.246
ɣ	kʷ	0.091
ɥ	ˈɔ_k	0.294
ɥ	ˈɔ	0.256
ɥ	-	0.165
ɥ	ˈuː	0.125
ɥ	w	0.109
ɲ	n_i	0.295
ɲ	ŋ	0.219
ɲ	e	0.186
ɲ	n	0.107
ɲ	ɡ_n	0.107
ɲ	r	0.064
ɾ	r	0.917
ɾ	-	0.058
ʎ	ʊ_ɫ	0.311
ʎ	lʲ_i	0.265
ʎ	-	0.25
ʎ	d	0.077
ʒ	j	0.382
ʒ	ɡ	0.271
ʒ	d_i	0.171
ʒ	-	0.084
ʒ	d	0.066
ʤ	t_ɪ	0.211
ʤ	d	0.136
ʤ	ɡ	0.136
ʤ	t	0.096
ʤ	s	0.092
ʤ	d_ɪ	0.088
ʤ	b	0.064
ʦ	k_ɛ̃ː	0.611
ʦ	t_i	0.224
ʦ	t	0.148
ʧ	-	0.286
ʧ	k_t	0.229
ʧ	t_ʊ̃ː	0.229
ʧ	t_ɛ̃ː	0.151
ʧ	d_i	0.069
ˈa	ˈa	0.562
ˈa	ˈaː	0.368
ˈa_w	ˈau̯	1.0
ˈe	ˈɪ	0.314
ˈe	ˈeː	0.23
ˈe	ˈɪ_k	0.111
ˈe_j	ˈeː	0.239
ˈi	ˈiː	0.639
ˈi	ˈiː_r	0.084
ˈi	ˈi	0.073
ˈu	ˈʊ	0.391
ˈu	ˈoː	0.229
ˈu	ˈu	0.128
ˈu	ˈoː_r	0.105
ˈy	ˈuː	0.494
ˈy	ˈʊ	0.176
ˈy	ˈuː_r	0.123
ˈy	ˈuː_k	0.06
ˈɔ	ˈɔ	0.935
ˈɛ	ˈɛ	0.632
ˈɛ	-	0.079
ˈɛ	ˈɪ	0.06
ˈɛ_j	ˈɛ	0.489
β	b	0.439
β	p	0.341
β	p_ɛ	0.171
