Alsatian	Dutch	probability
b̥	b	0.895
b̥	f	0.059
b̥	v	0.058
d̥	d	0.471
d̥	t	0.309
d̥	-	0.213
e	-	1.0
f	v	0.71
f	p	0.157
f	f	0.12
h	ɦ	1.0
i	ə	0.583
i	ɪ	0.398
i_ʃ	k	1.0
j	j	0.536
j	χ	0.441
k	χ	0.654
k	-	0.145
k	k	0.145
k_s	s	1.0
kʰ	k	0.912
kʰ	-	0.088
l	ɫ	0.92
l	l	0.079
m	m	1.0
n	n	0.944
n	-	0.056
p	p	0.519
p͡f	p	0.723
p͡f	f	0.216
s	t	0.405
s	z	0.359
s	s	0.23
t	t	0.642
t	d	0.272
t	-	0.084
v	v	0.53
v	χ	0.316
w	ʋ	0.561
w	-	0.425
x	χ	0.833
x	k	0.145
ŋ	ŋ	1.0
ə	ə	0.836
ə	-	0.163
ɡ̊	χ	0.909
ɡ̊	k	0.09
ʁ	ɾ	0.929
ʁ	-	0.07
ʁ_i	ɾ	1.0
ʃ	s	0.478
ʃ	z	0.111
ʃ	χ	0.111
ʃ	k	0.097
ʃ	ɾ_s	0.072
ʋ	ʋ	0.93
ʋ	-	0.07
ʦ	t	1.0
ˈai̯	ˈoː	1.0
ˈaː	ˈaː	0.298
ˈaː	ˈɛ	0.298
ˈe	ˈɛ	0.416
ˈe	ˈeː	0.268
ˈe	ˈʏ	0.203
ˈe	ˈɪ	0.096
ˈei̯	ˈi	0.415
ˈei̯	ˈɛi̯	0.315
ˈei̯	w	0.204
ˈeː	ˈoː	0.303
ˈeː	ˈi	0.263
ˈeː	w	0.129
ˈeː	ˈeː	0.125
ˈeː	ˈɛ	0.125
ˈi	ˈɪ	0.512
ˈi	ˈɛ	0.164
ˈi	ˈeː	0.092
ˈi	ˈœy̯	0.061
ˈi	ˈɛi̯	0.061
ˈiː	ˈɛi̯	0.222
ˈiː	ˈu	0.183
ˈiː	ˈi	0.179
ˈiː	ˈyː	0.109
ˈiː	ˈɪ	0.109
ˈo	ˈɔ	0.604
ˈo	ˈoː	0.387
ˈoː	ˈoː	0.485
ˈoː	ˈaː	0.437
ˈoː	ˈɔ	0.074
ˈu	ˈɔ	0.706
ˈu	ˈʏ	0.139
ˈu	ˈoː	0.139
ˈyː	ˈœy̯	1.0
ˈæ	ˈeː	0.558
ˈæ	ˈɛ	0.403
ˈæː	ˈeː	0.463
ˈæː	ˈaː	0.324
ˈæː	ˈi	0.159
ˈø	ˈoː	0.519
ˈøi̯	ˈœy̯	0.519
ˈøː	ˈu	1.0
ˈœ	ˈoː	1.0
ˈɒ	ˈɑ	0.693
ˈɒ	ˈaː	0.206
ˈɒ	ˈɪ	0.055
ˈɒ	ˈɛ	0.05
ˈɒ_l	ˈɑu̯	1.0
ˈɒː	ˈɑ	0.798
ˈɒː	ˈaː	0.13
ˈɒː	ˈøː	0.074
ˈɔi̯	ˈɑu̯	0.519
ˈəi̯	ˈeː	0.524
ˈəi̯	ˈɛi̯	0.445
ˈɛ	ˈeː	0.5
ˈɛ	ˈɑ	0.5
ˈʊː	ˈu	0.681
ˈʊː	ˈoː	0.306
