Alsatian	Dutch	probability
b̥	b	0.882
b̥	f	0.105
d̥	d	0.589
d̥	t	0.28
d̥	-	0.13
e	-	1.0
eː	i	1.0
f	v	0.669
f	p	0.232
f	f	0.099
h	ɦ	1.0
i	ə	0.562
i	ɪ	0.367
i	-	0.071
j	χ	0.704
j	j	0.296
k	χ	0.62
k	k	0.329
k	-	0.051
kʰ	k	0.958
l	ɫ	0.969
m	m	0.94
m	-	0.06
n	n	0.94
n	-	0.06
p	p	1.0
p͡f	p	0.688
p͡f	f	0.312
s	z	0.409
s	t	0.369
s	s	0.204
t	t	0.675
t	d	0.272
t	-	0.054
v	v	0.5
v	χ	0.5
w	ʋ	0.525
w	-	0.475
x	χ	0.776
x	k	0.224
ŋ	ŋ	1.0
ə	ə	0.913
ə	-	0.087
ɡ̊	χ	0.947
ɡ̊	k	0.053
ʁ	ɾ	0.899
ʁ	-	0.101
ʃ	s	0.639
ʃ	χ	0.186
ʃ	t	0.058
ʃ	k	0.054
ʃ	z	0.053
ʋ	ʋ	0.978
ʦ	t	1.0
ˈai̯	ˈoː	1.0
ˈaː	ˈi	0.438
ˈaː	ˈaː	0.351
ˈaː	ˈɛ	0.21
ˈe	ˈɛ	0.514
ˈe	ˈʏ	0.15
ˈe	ˈeː	0.12
ˈe	ˈoː	0.078
ˈe	ˈaː	0.069
ˈe	ˈɪ	0.069
ˈei̯	ˈi	0.829
ˈei̯	ˈɛi̯	0.171
ˈeː	ˈoː	0.268
ˈeː	ˈɛ	0.186
ˈeː	ˈɛi̯	0.151
ˈeː	ˈeː	0.149
ˈeː	ˈi	0.11
ˈeː	ˈaː	0.094
ˈi	ˈɪ	0.621
ˈi	ˈɛi̯	0.112
ˈi	ˈɛ	0.102
ˈiː	ˈi	0.233
ˈiː	ˈyː	0.188
ˈiː	ˈɪ	0.15
ˈiː	ˈu	0.131
ˈiː	ˈɛi̯	0.124
ˈiː	ˈɛ	0.094
ˈiː	ˈeː	0.052
ˈo	ˈoː	0.609
ˈo	ˈɔ	0.391
ˈoː	ˈaː	0.582
ˈoː	ˈoː	0.367
ˈoː	ˈɔ	0.05
ˈu	ˈɔ	0.65
ˈu	ˈoː	0.244
ˈu	ˈʏ	0.085
ˈyː	ˈœy̯	0.825
ˈyː	ˈyː	0.128
ˈæ	ˈeː	0.616
ˈæ	ˈɛ	0.384
ˈæː	ˈi	0.421
ˈæː	ˈeː	0.348
ˈæː	ˈaː	0.231
ˈø	ˈoː	1.0
ˈøi̯	ˈœy̯	1.0
ˈøː	ˈu	1.0
ˈœ	ˈoː	1.0
ˈɒ	ˈɑ	0.658
ˈɒ	ˈaː	0.142
ˈɒ	ˈɪ	0.072
ˈɒ	ˈɑu̯	0.067
ˈɒ	ˈɛ	0.061
ˈɒː	ˈɑ	0.86
ˈɒː	ˈøː	0.088
ˈɒː	ˈaː	0.052
ˈɔi̯	ˈɑu̯	1.0
ˈəi̯	ˈeː	0.709
ˈəi̯	ˈɛi̯	0.291
ˈɛ	ˈɑ	0.838
ˈɛ	ˈeː	0.162
ˈʊː	ˈu	0.732
ˈʊː	ˈoː	0.268
