Gothic	Old English	probability
a	ɑ	0.643
a	e	0.194
a	-	0.067
aː	i	0.5
aː	ɑ	0.5
b	b	0.856
b	f	0.113
d	d	0.978
e	e	1.0
f	f	0.937
f	v	0.063
h	h	0.621
h	ç	0.149
h	-	0.074
h	x	0.072
i	-	0.423
i	e	0.24
i	i	0.157
i	eo̯	0.106
i	o	0.074
iː	e	0.601
iː	-	0.399
j	x	0.382
j	j	0.347
j	w	0.102
j	r	0.089
j	ˈeːo̯	0.08
k	ʧ	0.456
k	-	0.378
k	k	0.166
kʷ	k	1.0
l	l	0.563
l	ɫ	0.437
lː	ɫ	0.574
lː	lː	0.426
m	m	0.898
m	-	0.102
n	n	0.95
nː	nː	1.0
oː	e	0.677
oː	-	0.176
oː	ɑ	0.147
p	p	0.881
p	pː	0.119
r	r	0.889
s	-	0.691
s	s	0.25
t	t	0.873
t	d	0.068
u	-	0.648
u	o	0.257
u	e	0.05
w	w	0.992
x	j	1.0
z	r	0.515
z	ʃː	0.485
ð	d	0.825
ð	dː	0.126
ŋ	ŋ	0.809
ŋ	ˈɑː	0.136
ŋ	-	0.056
ɔː	ɑ	1.0
ɡ	ɡ	0.469
ɡ	j	0.279
ɡ	-	0.184
ɡ	ɣ	0.068
ɡʷ	ɡ	1.0
ɡːʷ	-	1.0
ɣ	-	0.563
ɣ	ɣ	0.437
ʍ	ʍ	0.654
ʍ	ˈeːo̯	0.346
ˈa	ˈæɑ̯	0.334
ˈa	ˈɑ	0.298
ˈa	ˈæ	0.109
ˈa	ˈoː	0.054
ˈeː	ˈoː	0.444
ˈeː	ˈæː	0.225
ˈeː	ˈeː	0.166
ˈeː	ˈæːɑ̯	0.165
ˈi	ˈi	0.468
ˈi	ˈe	0.136
ˈi	ˈu	0.075
ˈi	ˈeo̯	0.065
ˈi	-	0.06
ˈi	ˈiː	0.059
ˈiu̯	ˈeːo̯	0.658
ˈiu̯	ˈi	0.192
ˈiu̯	ˈiːy̯	0.111
ˈiː	ˈiː	0.766
ˈiː	ˈeː	0.117
ˈiː	ˈeːo̯	0.058
ˈiː	ˈi	0.058
ˈoː	ˈoː	0.795
ˈoː	ˈyː	0.108
ˈoː	ˈeː	0.096
ˈu	ˈu	0.655
ˈu	ˈuː	0.173
ˈu	ˈo	0.072
ˈu	ˈoː	0.068
ˈuː	ˈuː	0.686
ˈuː	ˈeː	0.186
ˈuː	ˈu	0.128
ˈɔ	ˈo	0.739
ˈɔ	ˈæːɑ̯	0.203
ˈɔ	ˈy	0.059
ˈɔː	ˈæːɑ̯	0.617
ˈɔː	ˈo	0.249
ˈɔː	ˈiːy̯	0.134
ˈɛ	ˈeo̯	0.697
ˈɛ	ˈi	0.087
ˈɛ	ˈe	0.086
ˈɛ	-	0.076
ˈɛ	ˈiːy̯	0.053
ˈɛː	ˈɑː	0.851
ˈɛː	ˈeː	0.062
ˈɛː	ˈe	0.059
β	v	0.846
β	bː	0.12
θ	d	0.449
θ	θ	0.378
θ	ð	0.173
