Logudorese	Logudorese	probability
ˈu_ɾ	ˈu_r	1.0
ʦ	θ	1.0
ʣ_u	j	1.0
ʃ	s	1.0
ɾ_ˈa	j_ˈa	1.0
ɾ_ɛ_#>	r_#>	1.0
ɾ_u	r_o	1.0
ɲ	ɲ	1.0
ɡ_ɾ	ʤ	1.0
ɡ	ɡ	1.0
ɛ_ɾ	r	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ_z_ɔ̆_#>	#>	1.0
ɔ_#>	#>	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z	-	1.0
ŭ	-	1.0
u_ɾ	o_l	1.0
u_z	o	1.0
u_#>	#>	1.0
t_ɛ_#>	t_#>	1.0
t	t	1.0
s_k	s	1.0
r	r	1.0
o	-	1.0
n_a	n	1.0
l	l	1.0
k_ɾ	ʧ	1.0
k_ɛ	e	1.0
j_u	ʧ_o	1.0
f	f	1.0
e	e	1.0
b_e	ð_e	1.0
ă	e	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_a	<#	1.0
ˈa	ˈa	0.955
s	s	0.935
a	a	0.923
p	p	0.909
d	d	0.857
ˈo	ˈo	0.833
ɾ	r	0.824
n_ɛ_#>	ŋ_#>	0.778
m	m	0.767
u	o	0.762
k	k	0.744
ˈe	ˈɛ	0.684
nː	n	0.667
ˈɔ	ˈo	0.615
ʣ	ð	0.6
ˈi	ˈi	0.571
j	-	0.571
ˈu	ˈo	0.55
ɛ	e	0.55
β	v	0.5
β	-	0.5
n	n	0.5
ɣ	ɡ	0.45
n	ŋ	0.441
ˈɛ	ˈe	0.44
ˈi	ˈe	0.429
j	z	0.429
b	b	0.429
ð	d	0.417
ʣ	-	0.4
b	v	0.371
i	e	0.364
ˈɛ	ˈɛ	0.36
ɣ	-	0.35
ð	t	0.333
nː	-	0.333
ˈe	ˈe	0.316
ˈɔ	ˈɔ	0.308
ˈu	ˈu	0.3
i	i	0.273
i	-	0.273
k	θ	0.256
ð	-	0.25
n_ɛ_#>	#>	0.222
ˈɛ	j_ˈe	0.2
ɣ	z	0.2
ɛ	o	0.2
ˈo	ˈɔ	0.167
m	ŋ	0.167
ˈu	ˈɔ	0.15
ɛ	v_e	0.15
u	s	0.143
d	-	0.143
b	ɡ	0.114
ɛ	r	0.1
u	v_o	0.095
p	-	0.091
i	d_e	0.091
ɾ	j	0.088
ɾ	-	0.088
b	w	0.086
ˈɔ	-	0.077
a	-	0.077
m	ŋ_k	0.067
s	l	0.065
n	-	0.059
