Portuguese	Logudorese	probability
f	f	1.0
p	p	1.0
t	t	1.0
ˈõ	ˈo_n	1.0
ˈu	ˈu	1.0
j	e	0.551
n	nː	0.181
ˈo	ˈu	0.171
i	a	0.142
l	ɖː	0.32
m	m	0.932
ð	ð	0.942
ɐ	-	0.072
ɐ	a	0.742
ɣ	ɡ	0.232
ɾ	r	0.542
ʁ	rː	0.062
ʃ	-	0.112
ʃ	z	0.132
ʒ	-	0.422
ˈi	i	0.102
l	sː	0.073
w	-	0.403
ɡ	m_b	0.323
ɫ	l	0.33
ɾ	e_r	0.053
ɾ	r_e	0.303
ʎ	-	0.163
ʎ	k_r	0.553
ʒ	ɡ	0.413
ˈa	-	0.103
ˈi	ˈi	0.853
ˈɐ	ˈa	0.543
ˈɐ̃	ˈa_n	0.673
ˈɔ	ˈo	0.933
j	j	0.424
v	β	0.144
w̃	e	0.554
ɣ	ɣ	0.594
ɲ	n	0.834
ʎ	ʣ	0.284
ˈẽ	n	0.094
ˈɛ	ˈi	0.064
b	b	0.955
j̃	n_e	0.145
j̃	e	0.855
w	o	0.145
z	ɣ	0.205
z	-	0.795
ɐ	n_a	0.095
ɾ	-	0.075
ʃ	s	0.405
ʒ	ŋ_ɡ	0.165
ˈe	e	0.255
ˈe	ˈi	0.395
ˈĩ	-	0.155
ˈĩ	ˈi_n	0.845
ˈɐ	-	0.15
β	β	0.565
k	k	0.966
s	k	0.246
w	u	0.246
w̃	u	0.446
ɨ	u	0.086
ɲ	ɲː	0.086
ʃ	ɣ_e	0.206
ˈẽ	ˈe_n	0.906
ˈɛ	ˈe	0.936
l	l	0.607
s	sː	0.097
u	o	0.107
w	i	0.207
ɐ	e	0.07
ɡ	ɡ	0.677
ɫ	l_e	0.67
ˈɐ	ˈe	0.307
ˈɔ	ˈu	0.067
β	p	0.157
d	d	0.988
i	i	0.858
s	s	0.578
v	b	0.608
ð	t	0.058
ɣ	-	0.138
ɲ	n_ʣ	0.08
ʁ	r	0.938
ˈa	l_ˈa	0.068
ˈɐ̃	ˈa	0.198
β	-	0.278
n	n	0.819
u	u	0.829
v	-	0.249
ɨ	i	0.089
ɨ	e	0.709
ˈa	ˈa	0.829
ˈe	ˈe	0.349
ˈo	ˈo	0.829
ˈɐ̃	ˈo_n	0.129
