Russian	Kashubian	probability
d	d	1.0
k	k	1.0
kʲ	-	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m_j	1.0
n	n	1.0
nʲ	ɲ	1.0
p	p	1.0
r	r	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
v	v	1.0
x	x	1.0
zʲ	z	1.0
ɡ	ɡ	1.0
ɫ	w	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʦ	ʦ	1.0
ʨ	ʧ	1.0
ˈu	ˈõ	1.0
ˈɨ	ˈə	1.0
ˈɵ	ˈɛ	1.0
dʲ	ʣ	0.781
pʲ	p_j	0.141
ə	ɔ	0.381
ɪ	j_ˈɞ	0.121
ˈe	ˈe	0.151
ˈo	u̯ˈɛ	0.251
j	i	0.972
ˈe	-	0.082
rʲ	ʐ	0.903
z	z	0.853
ə	ɛ	0.123
ɪ	ˈe	0.103
ˈa	a	0.73
ˈi	ˈi	0.503
ˈo	ˈɞ	0.103
ˈo	ˈɔ	0.133
tʲ	ŋ_ʦ	0.104
ˈe	ˈa	0.244
ˈo	ˈɛ	0.14
ə	-	0.125
ə	u̯ɛ	0.155
ɪ	-	0.365
tʲ	ʦ	0.806
ɐ	-	0.336
ɐ	u̯ˈɛ	0.496
ə	a	0.216
ɪ	ɛ	0.106
ɪ	j	0.156
ˈa	ˈa	0.16
ˈe	ˈɛ	0.466
ˈo	-	0.126
rʲ	-	0.097
z	ŋ_z	0.147
ˈa	ˈa_ŋ	0.087
ˈe	ɛ	0.057
ˈi	ˈə	0.497
ˈo	ˈu	0.247
tʲ	ʧ	0.08
vʲ	v_j	0.168
dʲ	d	0.219
pʲ	p	0.859
vʲ	v	0.809
ɐ	ˈɔ	0.129
ɪ	e	0.109
