North Frisian	Proto-Germanic	probability
b	b	0.958
d	d	0.382
d	ð	0.319
d	θ	0.199
d	ɣ	0.068
dʲ	ð	0.746
dʲ	θ	0.254
f	ɸ	0.757
f	β	0.12
f	xʷ	0.055
h	x	0.966
i	ɑ	0.481
i	i	0.273
i	iː	0.123
i	ɑ̃	0.123
j	ɣ	0.49
j	-	0.252
j	j	0.128
j	ˈiu̯	0.064
k	k	0.806
k	kː	0.074
k	kʷ	0.063
k	x	0.057
l	l	0.808
l	ɑ_l	0.075
lʲ	l	0.899
lʲ	r	0.101
m	m	0.906
m	-	0.087
n	n	0.881
n	nː	0.074
nʲ	n	0.549
nʲ	d	0.451
p	p	0.833
p	pː	0.065
p	ɸ	0.058
r	r	0.943
s	s	0.888
t	t	0.731
t	θ	0.187
tʲ	t	0.854
tʲ	θ	0.146
v	w	0.631
v	β	0.24
v	xʷ	0.063
w	j	0.456
w	w	0.374
w	ɔ̃ː	0.066
w	ɔːː	0.061
x	x	0.983
z	s	0.52
z	t	0.426
z	θ	0.054
ŋ	ŋ	0.727
ŋ	-	0.166
ŋ	n	0.108
ə	ɑ	0.465
ə	-	0.202
ə	ɔːː	0.086
ɛi̯	e	1.0
ɡ	ɣ	1.0
ʃ	s	0.822
ʃ	i_s	0.072
ʃ	k	0.07
ˈa	ˈɑ	0.378
ˈa	ˈi	0.15
ˈa	ˈu	0.133
ˈa	ˈuː	0.13
ˈa	-	0.071
ˈa	ˈe	0.061
ˈa	ˈɑi̯	0.059
ˈai̯	ˈi	0.578
ˈai̯	j	0.198
ˈai̯	ˈiu̯	0.198
ˈaː	ˈu	0.429
ˈaː	ˈe	0.315
ˈaː	ˈi	0.256
ˈeː	ˈe	0.299
ˈeː	ˈɑ	0.275
ˈeː	ˈu	0.183
ˈeː	ˈeː	0.082
ˈeː	ˈi	0.061
ˈeː	ˈiː	0.061
ˈi	ˈiː	0.388
ˈi	ˈi	0.341
ˈi	ˈe	0.135
ˈi	ˈu	0.111
ˈiː	ˈɑi̯	0.287
ˈiː	ˈeu̯	0.256
ˈiː	ˈɑu̯	0.149
ˈiː	ˈi	0.121
ˈiː	ˈe	0.089
ˈu	ˈi	0.5
ˈu	ˈu	0.5
ˈuː	ˈɑu̯	0.52
ˈuː	ˈɑ	0.317
ˈuː	w	0.06
ˈuː	ˈɑi̯	0.056
ˈyː	ˈuː	0.357
ˈyː	ˈɑu̯	0.186
ˈyː	ˈɑ	0.131
ˈyː	ˈu	0.12
ˈyː	j	0.073
ˈyː	ˈe	0.05
ˈyː	ˈiː	0.05
ˈøː	ˈuː	0.531
ˈøː	ˈu	0.217
ˈøː	-	0.129
ˈœ	ˈɑ	0.512
ˈœ	ˈu	0.22
ˈœ	ˈɔː	0.212
ˈœi̯	ˈɔː	1.0
ˈɒ	ˈɑ	0.792
ˈɒ	ˈeu̯	0.116
ˈɒ	ˈɑi̯	0.092
ˈɒː	ˈɑ	0.826
ˈɒː	ˈɑi̯	0.088
ˈɒː	ˈɛː	0.086
ˈɔ	ˈu	1.0
ˈɔi̯	jː	1.0
ˈɔu̯	ˈɛː	0.378
ˈɔu̯	ˈu	0.35
ˈɔu̯	w	0.132
ˈɔu̯	wː	0.064
ˈɔː	ˈɑ	0.423
ˈɔː	ˈu	0.277
ˈɔː	ˈe	0.192
ˈɔː	ˈeu̯	0.057
ˈɔː	ˈɑu̯	0.051
ˈɛ	ˈɔː	0.638
ˈɛ	ˈi	0.234
ˈɛ	ˈe	0.128
ˈɛi̯	ˈɛː	0.304
ˈɛi̯	ˈɑ	0.283
ˈɛi̯	ˈe	0.191
ˈɛi̯	ˈɔː	0.152
ˈɛi̯	ˈɔ	0.07
ˈɛː	ˈe	0.376
ˈɛː	ˈɑ	0.324
ˈɛː	ˈɛː	0.19
ˈɛː	ˈɑi̯	0.111
ˈʊ	ˈu	0.474
ˈʊ	ˈɑ	0.177
ˈʊ	ˈi	0.095
ˈʊ	-	0.073
ˈʊ	w_ˈu	0.063
ˈʊ	ˈɑː	0.05
ˈʏ	ˈu	0.395
ˈʏ	ˈiu̯	0.24
ˈʏ	ˈe	0.182
ˈʏ	ˈuː	0.182
