Swabian	Swabian	probability
ˈʌ	ˈɝ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_ʕ	ɹ	1.0
ˈɔə̯	ˈu	1.0
ˈuː	ˈaʊ̯	1.0
ˈiː	-	1.0
ˈeə̯	ˈɛ	1.0
ˈe	ˈɪ	1.0
ˈaː_ɡ	ˈeɪ̯	1.0
ˈa_l	ˈæ	1.0
ʣ	ʔ	1.0
ʕ_#>	ɚ_#>	1.0
ʌ_#>	#>	1.0
ʌ	ɚ	1.0
ʃ_d	s_t	1.0
ʁ	ɹ	1.0
ɪ_ɡ	i	1.0
ɡ_a	k	1.0
ɡ_#>	#>	1.0
ŋ	ŋ	1.0
ç_d	ʔ	1.0
x_d	ʔ	1.0
x	-	1.0
t	d	1.0
s_a	ʔ	1.0
p͡f	pʰ	1.0
m	m	1.0
j	j	1.0
i	ŋ	1.0
h	h	1.0
f_a	p	1.0
e	-	1.0
b_a	v	1.0
b_#>	f_#>	1.0
<#_ˈɛ	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_d	<#_θ	1.0
ʋ	w	0.88
n	n	0.857
a	-	0.8
kʰ	kʰ	0.778
d	d	0.772
ˈaː	-	0.75
ʕ	ɹ	0.75
b	b	0.727
ɡ_a_#>	#>	0.714
ʦ	tʰ	0.692
f	f	0.677
ˈɛː	-	0.667
ˈiə̯	ˈi	0.667
ç	k	0.667
ˈɛ	ˈɛ	0.643
ʃ	ʃ	0.619
s	s	0.617
ˈeː	-	0.571
ˈɔe̯	ˈoʊ̯	0.556
l	ɫ	0.535
ˈɔː	ˈi	0.5
ˈɔː	-	0.5
ˈɔe̯_#>	ˈoʊ̯_n_#>	0.5
ˈɔe̯_#>	#>	0.5
ˈao̯	ˈaʊ̯	0.5
#>	ˈaɪ̯_#>	0.5
#>	ɚ_#>	0.5
ˈo	ˈʌ	0.471
l	l	0.465
ˈɔe̯	-	0.444
ˈuə̯	-	0.444
ˈu	ˈʌ	0.444
ˈi	ˈɪ	0.429
ˈeː	ˈi	0.429
ɡ	k	0.417
ˈəi̯	ˈʌɪ̯	0.385
ʃ	s	0.381
ˈae̯	ˈoʊ̯	0.364
ˈo	-	0.353
ˈɛː	ˈɪ	0.333
ˈɔ	ˈɔ	0.333
ˈɔ	ˈɑ	0.333
ˈɔ	-	0.333
ˈuə̯	ˈʊ	0.333
ˈu	-	0.333
ˈoː	ˈɛ	0.333
ˈiə̯	ˈaɪ̯	0.333
ç	ʧ	0.333
ˈəi̯	ˈaɪ̯	0.308
ʦ	ʔ	0.308
ˈi	-	0.286
ɡ_a_#>	ˈaɪ̯_#>	0.286
ˈae̯	ˈaɪ̯	0.273
ˈoː	ˈʌ	0.25
ˈoː	ˈi	0.25
ˈaː	ˈeɪ̯	0.25
ʕ	-	0.25
ɡ	ʤ	0.25
s	ʔ	0.234
ˈa	ˈɑ	0.231
ˈuə̯	ˈʌ	0.222
ˈu	ˈɪ	0.222
kʰ	ʧ	0.222
ˈɛ	ˈɑ	0.214
f	p	0.194
ˈa	ˈeɪ̯	0.192
ˈao̯	ˈʌ	0.188
ˈao̯	-	0.188
ˈae̯	ˈi	0.182
ˈae̯	-	0.182
b	v	0.182
ˈo	ˈʊ	0.176
ˈoː	-	0.167
ɡ	ˈeɪ̯	0.167
ɡ	oʊ̯	0.167
ˈəi̯	ˈɪ	0.154
ˈəi̯	-	0.154
ˈa	ˈæ	0.154
ˈɛ	-	0.143
ˈi	ˈɔ	0.143
ˈi	ˈi	0.143
n	-	0.143
f	v	0.129
ˈao̯	ˈi	0.125
d	ð	0.123
ʋ	-	0.12
a	n	0.12
ˈa	ˈoʊ̯	0.115
b	b_ˈæ	0.091
s	-	0.085
a	ə_n	0.08
ˈa	ˈɛə̯	0.077
ˈa	ˈɛ	0.077
ˈa	ˈɔ	0.077
ˈa	-	0.077
d	θ	0.07
s	z	0.064
