Bavarian	Bavarian	probability
β	v	1.0
ˈoː	-	1.0
ˈou̯	ˈɛːi̯	1.0
ˈiː	-	1.0
ˈeɐ̯	-	1.0
ˈau̯	ˈʉːu̯	1.0
ˈa	-	1.0
ʃ_d̥	s_t	1.0
ə_#>	#>	1.0
ɐ_n	t͡n̥	1.0
ɐ_d̥	ɹ	1.0
ɐ	ɹ	1.0
ŋ_ɡ̊	ʰk	1.0
ç	-	1.0
x_d̥	ʰt_ʊ	1.0
s_n	t_a	1.0
s_a	ʰt͡n̥	1.0
n_d̥	nː	1.0
n_a	n_a	1.0
n_#>	#>	1.0
eɐ̯	a_n	1.0
d̥_r	d̥_ɹ	1.0
d̥_n	j	1.0
d̥_a	ɪ_ɹ	1.0
b̥͡v̥	pʰ	1.0
a_#>	#>	1.0
<#_ʋ	<#	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_s	<#_s	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d̥	1.0
h	h	0.905
m	m	0.875
b̥	b̥	0.857
r	ɹ	0.846
l	l	0.833
ʋ	v	0.789
ˈai̯	ˈʊ̯iː	0.765
kʰ	kʰ	0.75
ˈɒː	ˈɛːa̯	0.727
f	f	0.724
ˈɑ	-	0.667
ˈɑː	-	0.6
ʦ	tʰ	0.571
ˈuɐ̯	ˈɔːu̯_w	0.5
ˈiɐ̯	-	0.5
ˈaː	ˈɛːi̯	0.5
ˈaː	ˈɔːi̯	0.5
ə	ʊ	0.5
ə	a	0.5
#>	ʊ_ɹ_#>	0.494
ɡ̊	-	0.474
j	l	0.471
ˈi	ˈɪ	0.458
x	k	0.455
a	a	0.441
ˈu	ˈʊ	0.438
ʃ	s	0.438
ŋ	ŋ	0.438
n	n	0.433
ˈeː	-	0.429
ʦ	-	0.429
ˈɑː	ˈa	0.4
ˈoɐ̯	ˈai̯	0.4
s	s	0.4
ʃ	ʃ	0.375
ɡ̊	ɡ̊	0.368
x	-	0.364
#>	ɹ_#>	0.354
ˈɑ	ˈa	0.333
ˈiɐ̯	ˈɔːu̯	0.333
d̥	-	0.295
j	t͡l̥	0.294
ˈo	ˈa	0.286
ˈe	ˈɛ	0.278
ˈe	-	0.278
ˈɒː	-	0.273
ˈoɐ̯	ˈaːi̯	0.267
n	a	0.267
ˈuɐ̯	ˈɔːu̯	0.25
ˈuɐ̯	ˈøː	0.25
ˈu	ˈɔ	0.25
ŋ	ɡ̊	0.25
kʰ	ʧʰ	0.25
s	t_ʊ	0.24
ˈai̯	-	0.235
j	-	0.235
d̥	d̥	0.227
ˈeː	ˈɛ	0.214
ˈeː	ˈeː	0.214
ˈi	ˈiː	0.208
ˈi	-	0.208
ˈoɐ̯	-	0.2
s	ʰt	0.2
ˈo	ˈɔ	0.19
ˈo	-	0.19
ˈu	ˈɪ	0.188
ʃ	s_k	0.188
ŋ	a	0.188
x	ˈɔ	0.182
f	p	0.172
ˈiɐ̯	ˈøː	0.167
ˈe	ˈeː	0.167
ˈe	j	0.167
l	-	0.167
d̥	tʰ	0.159
r	-	0.154
#>	a_#>	0.152
a	ʊ	0.147
ˈo	ˈʊ	0.143
ˈeː	ˈʊ	0.143
b̥	v_ʊ	0.143
ˈoɐ̯	ˈɛ	0.133
n	-	0.133
ˈu	ˈœ	0.125
ˈi	ˈeː	0.125
ŋ	ʤ̊ː_a	0.125
m	v_a	0.125
a	ɪ_ɹ	0.118
ˈe	j_ˈœ	0.111
ʋ	kʰ_v	0.105
ʋ	-	0.105
ɡ̊	ʤ̊	0.105
f	-	0.103
n	nː	0.1
ˈo	ˈœ	0.095
ˈo	ˈoː	0.095
h	-	0.095
a	ɹ_ʊ	0.088
a	ɹ	0.088
s	ʃ	0.08
s	t	0.08
d̥	ʰt	0.068
d̥	t	0.068
n	ˈʊ_nː	0.067
a	ɪ	0.059
a	ɡ̊_ʊ	0.059
ɡ̊	ʰʧ	0.053
