Afrikaans	West Frisian	probability
b	b	1.0
j	j	1.0
v̥	f	1.0
w	v	1.0
ɦ	h	1.0
ˈyː	j_ˈuə̯	1.0
ˈæː	ˈɛ	1.0
ˈɛː	ˈɪ	1.0
ˈɪø̯	ˈoə̯	1.0
d	d	0.691
d̥	d̥	0.841
s	s_k	0.061
s	s	0.811
ˈɪə̯	ˈeː	0.091
ˈʊə̯	ˈuː	0.111
ˈʊə̯	ˈɪə̯	0.601
r	r	0.92
ŋ	ŋ	0.82
ˈa	ə_#>	0.322
ˈœ	ˈɛː	0.552
ˈɔ	ˈoə̯	0.082
ˈə	ˈɪ	0.712
ˈəɪ̯	ˈɪ	0.092
ˈʊə̯	ˈuə̯	0.102
ˈʊə̯	j	0.112
χ	χ_t	0.122
d	-	0.083
m	m_ə	0.183
n	n	0.83
t	t_ə	0.103
ə	ə	0.803
ˈæ	ˈɛ	0.33
ˈœu̯	ˈɔː	0.443
ˈɔ	ˈu	0.183
χ	ɡ	0.3
d̥	d_ə	0.104
k	k_ə	0.134
v	v	0.124
ŋ	ŋ_ə	0.084
ˈa	ˈɔː	0.124
ˈa	ˈa	0.314
ˈi	ˈiə̯	0.434
ˈu	ˈuə̯	0.634
ˈœɪ̯	ˈuː	0.814
ˈɑː	ˈaː	0.214
ˈɔ	ˈuː	0.064
ˈəɪ̯	ˈiː	0.414
ˈɪə̯	ˈaː	0.304
ˈʊə̯	ˈeː	0.074
d̥	-	0.055
f	f	0.985
k	k	0.815
p	p_ə	0.175
p	p	0.825
s	s_t	0.065
v	ʋ	0.795
ɫ	l	0.955
ˈi	ə	0.315
ˈɑː	ˈø	0.065
ˈɑː	ˈa	0.105
ˈɑː	ˈiə̯	0.45
t	t	0.876
ŋ	n	0.096
ˈa	ˈaː	0.106
ˈi	j_ˈɪ	0.16
ˈu	ˈiə̯	0.366
ˈœɪ̯	ˈyː	0.186
ˈə	ˈi	0.16
ˈɪə̯	ˈɪə̯	0.26
ˈɪə̯	ˈiə̯	0.286
χ	χ	0.236
m	m	0.817
ˈæ	ˈɪ	0.67
ˈœu̯	ˈɔu̯	0.557
ˈɔ	ˈɔ	0.67
χ	ɣ_j	0.057
χ	-	0.107
n	-	0.128
r	-	0.08
ə	ə_n	0.058
ˈa	ˈɛː	0.058
ˈœ	ˈɪ	0.448
ˈɑː	ˈɪə̯	0.078
ˈə	ˈɔ	0.128
χ	ɣ_ə	0.178
d	t	0.189
ə	-	0.09
ˈi	ˈiː	0.09
ˈɑː	ˈoə̯	0.089
ˈəɪ̯	ˈi	0.469
ˈɛ	ˈɪ	0.959
ˈɪə̯	ˈɪ	0.059
