Eastphalian	Eastphalian	probability
ˈɛə̯	ˈaː	1.0
ˈɛ	-	1.0
ˈœ	-	1.0
ˈyː	-	1.0
ˈaː	ˈaː	1.0
ˈaɪ̯	ˈɛːi̯	1.0
ɪ	ɑu̯	1.0
ɣ̊	ɣ_ʏ	1.0
ɡ	ɟ̊ː	1.0
ə_#>	#>	1.0
ɒː	aːu̯	1.0
ɐ_t	r̥_t	1.0
ŋ_k	ʰk	1.0
z̥_#>	s_#>	1.0
z	s	1.0
w	v	1.0
v_ˈʊ	ˈʏ	1.0
t_ɐ	ʰt͡n̥	1.0
t_#>	#>	1.0
s	s	1.0
r	r	1.0
n_#>	#>	1.0
k_n	n̥	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d̥	1.0
<#	<#_kʰ	1.0
m	m	0.917
b	b̥	0.913
ˈiː	ˈiː	0.833
h	h	0.824
d	θ	0.824
v	v	0.81
f	f	0.8
t	t	0.765
ˈuː	ˈuː	0.75
p	p	0.75
ŋ	ŋ	0.727
<#_r	<#_r	0.714
ˈɔʏ̯	ˈaːi̯	0.667
ˈaʊ̯	ˈoːu̯	0.667
x	-	0.667
ˈeː	j	0.625
ˈɔ	-	0.6
ç	-	0.6
ˈɛː	-	0.571
l	l	0.571
j	-	0.571
#>	r̥_#>	0.558
ˈeo̯	ˈœːy̯	0.545
d̥	ð	0.52
ˈʏ	-	0.5
ʃ	s_k	0.5
ʃ	s_c	0.5
ə	a	0.481
ˈeo̯	-	0.455
ə	ʏ	0.444
ˈɛː	ˈœ	0.429
ɣ	-	0.429
j	ɡ̊	0.429
ˈa	ˈa	0.423
ˈʊ	ˈʏ	0.4
ˈʊ	ˈu	0.4
ç	ˈɛ	0.4
ˈeː	-	0.375
#>	ʏ_r̥_#>	0.372
n	a	0.364
ˈɪ	ˈɪ	0.348
ˈɔʏ̯	-	0.333
ˈɒː	ˈɑːu̯	0.333
ˈaʊ̯	-	0.333
x	ʰt	0.333
ˈʏ	ˈɪ	0.3
ˈoː	ˈɔ	0.3
ˈoː	-	0.3
n	n	0.288
ɣ	ɡ̊	0.286
ɣ	ɟ̊	0.286
<#_r	<#_r̥	0.286
ɐ	r	0.257
ˈɒː	ˈaː	0.25
ˈɒː	-	0.25
ˈuː	ˈʏ	0.25
p	ʰp	0.25
ɐ	ɪ	0.229
ɐ	r̥	0.229
l	t͡l̥	0.229
k	kʰ	0.227
k	k	0.227
ˈɛɪ̯	j_ˈoːu̯	0.208
ˈʏ	ˈʏ	0.2
ˈʊ	ˈoːu̯	0.2
ˈɔ	ˈʏː	0.2
ˈɔ	ˈa	0.2
ˈoː	ˈɔː	0.2
ˈoː	r	0.2
l	l̥	0.2
f	v_ʏ	0.2
d̥	d̥_ʏ	0.2
ˈa	ˈɑu̯	0.192
ŋ	ˈuː_a	0.182
t	ʰt	0.176
h	ç	0.176
d	ð	0.176
ˈɪ	ˈi	0.174
ˈɪ	-	0.174
ˈɛɪ̯	j	0.167
ˈɛɪ̯	-	0.167
ˈɒː	ˈa	0.167
ˈiː	j_ˈɛː	0.167
d̥	d̥	0.16
k	k_ʏ	0.136
k	cʰ	0.136
k	c	0.136
ˈɪ	ˈɛ	0.13
ˈɛɪ̯	ˈɛːi̯	0.125
ˈɛɪ̯	ˈɛi̯	0.125
ˈɛɪ̯	ˈiː	0.125
n	nː	0.121
d̥	-	0.12
ˈa	ˈaː	0.115
ˈa	-	0.115
ɐ	ʏ	0.114
v	v_ˈɪː	0.095
v	-	0.095
ŋ	ɲ	0.091
k	ʰk	0.091
ˈɪ	ˈɪː	0.087
ˈɪ	j	0.087
b	-	0.087
ˈɛɪ̯	j_ˈuː	0.083
m	p_n̥	0.083
ˈa	ˈɛ	0.077
ˈa	ˈœ	0.077
n	t͡n̥	0.076
ə	ɡ̊_a	0.074
#>	a_#>	0.07
n	j_a	0.061
n	-	0.061
t	-	0.059
ɐ	ɡ̊_ʏ	0.057
ɐ	r_ɪ	0.057
ɐ	a_r̥	0.057
