Čakavian	Belarusian	probability
aː	a	1.0
âː	a	1.0
ǎː	ˈo	1.0
b	b	1.0
c	ʧ	1.0
eː	æ	1.0
ê	ˈe	1.0
êː	ˈæ	1.0
i	ˈi	1.0
o	a	1.0
ôː	ˈo	1.0
r̩̂	r	1.0
uː	u	1.0
x	x	1.0
ɲ	nʲ	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʧ	ʧ	1.0
m	mʲ	0.591
t	t	0.601
z	zʲ	0.541
ʋ	vʲ	0.571
r	a_r	0.12
ûː	ˈo_w	0.492
ʦ	ʦ	0.932
n	m	0.163
a	ˈa	0.234
d	ʣʲ	0.44
î	ˈɨ	0.384
îː	ˈɨ	0.374
j	-	0.344
l	ɫ	0.484
n	n_ɨ	0.194
ô	a	0.144
p	pʲ	0.474
s	sʲ	0.584
ɡ	ɣ	0.934
n	n	0.495
ʋ	v_ɨ	0.05
d	d	0.56
îː	ˈe	0.626
j	j	0.656
k	x	0.066
k	kʲ	0.106
ô	ˈo	0.856
p	p	0.526
s	s	0.416
ɡ	ɣ_ˈo	0.066
e	a	0.677
î	ˈe	0.557
a	-	0.378
â	ˈo	0.208
â	ˈa	0.748
l	lʲ	0.468
n	nʲ	0.148
r	r	0.88
ûː	ˈu	0.508
ʦ	-	0.068
a	a	0.349
e	æ	0.279
î	-	0.059
k	k	0.829
m	m	0.409
t	ʦʲ	0.399
z	z	0.459
ʋ	v	0.379
