Swiss German	Swiss German	probability
χː_ə	k	1.0
χː_sː	k_s	1.0
ˈɒ_l	ˈɑː	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː_ɡ̊	ˈɛː	1.0
ˈæi̯_#>	ˈe_n_#>	1.0
ˈyː_ɡ̊	ˈiː	1.0
ˈyː_#>	ˈiː_#>	1.0
ˈyə̯	ˈi	1.0
ˈei̯	ˈiː	1.0
ʒ̊_l	s_l	1.0
ʃː_tː	s_t	1.0
ʃː_#>	ʃ_#>	1.0
ʃː	s	1.0
ɡ̊_ə	ə	1.0
ɡ̊_#>	#>	1.0
æ	i_n	1.0
w	ˈʌu̯	1.0
v̥	f	1.0
r_n	r_n	1.0
m	m	1.0
l	l	1.0
i_χː	ɪ	1.0
i_ɡ̊	e	1.0
h	h	1.0
d̥_ə	ə	1.0
d̥_l	d_l	1.0
<#_ɣ̊	<#_k	1.0
<#_ɡ̊	<#	1.0
<#_d̥	<#_θ	1.0
#>	ˈuː_#>	1.0
b̥	b	0.905
sː	t	0.9
r	r	0.897
z̥	s	0.893
ˈi	ˈɪ	0.857
n	n	0.857
fː	p	0.818
ʋ	w	0.815
ˈiː	ˈəi̯	0.8
ɣ̊	kʰ	0.778
ŋ	ŋ	0.75
ˈuː	ˈu	0.727
b̥_#>	f_#>	0.714
ə	-	0.703
ˈæi̯	ˈe	0.667
ˈau̯	ˈi	0.667
ˈiə̯	-	0.6
ˈe	-	0.6
tː	d	0.6
p͡f	pʰ	0.6
i	i	0.6
ʒ̊	s	0.588
ˈo	ˈo	0.571
ɡ̊	ɡ	0.571
ʦ	tʰ	0.562
ˈy	-	0.556
kː	k	0.556
d̥	d	0.556
ˈæː	ˈɛ	0.5
ˈæː	ˈiː	0.5
ˈuə̯	ˈø	0.455
ˈy	ˈɪ	0.444
ˈɒː	ˈeː	0.438
ʦ	t	0.438
ˈo	-	0.429
ˈoː	-	0.417
χː	ç	0.412
ʒ̊	ʃ	0.412
ˈiə̯	ˈɪ	0.4
ˈe	ˈɛ	0.4
p͡f	p	0.4
i	-	0.4
ˈu	ˈʌ	0.389
ˈæ	ˈɛ	0.368
ˈuə̯	-	0.364
ˈæi̯	ˈɛ	0.333
ˈeː	ˈɑː	0.333
ˈeː	ˈiː	0.333
ˈeː	-	0.333
ˈau̯	-	0.333
kː	-	0.333
ˈyː	ˈəi̯	0.3
χː	k	0.294
b̥_#>	#>	0.286
tː	t	0.28
ˈu	-	0.278
ˈuː	ˈuː	0.273
ˈɒ	ˈɑː	0.269
ˈæ	-	0.263
ˈoː	ˈi	0.25
ŋ	n_d	0.25
ˈu	ˈɪ	0.222
ɣ̊	ʧ	0.222
d̥	θ	0.222
d̥	ð	0.222
ə	ə	0.219
ˈæ	ˈa	0.211
ˈyː	ˈɪ	0.2
ˈyː	ˈiː	0.2
ˈyː	ˈi	0.2
ˈiː	ˈɪ	0.2
ˈɒ	ˈe	0.192
ˈɒː	ˈi	0.188
ˈɒː	ˈa	0.188
ˈɒː	-	0.188
ˈuə̯	ˈɪ	0.182
fː	v	0.182
χː	x	0.176
ˈoː	ˈɪ	0.167
ˈoː	ˈe	0.167
ˈæ	ˈɪ	0.158
ˈɒ	ˈa	0.154
ˈɒ	-	0.154
ɡ̊	-	0.143
χː	-	0.118
ˈɒ	ˈɪ	0.115
ˈɒ	ˈeː	0.115
ˈu	ˈi	0.111
kː	ʤ	0.111
z̥	z	0.107
ˈyː	ˈaːɪ̯	0.1
sː	s	0.1
ˈi	-	0.095
ɡ̊	ˈiː	0.095
ɡ̊	ə	0.095
ɡ̊	x	0.095
b̥	v	0.095
n	-	0.086
ʋ	ʍ	0.074
ʋ	-	0.074
ə	ə_n	0.062
tː	θ	0.06
tː	ð	0.06
n	ˈɪ_n	0.057
