Sicilian	Sicilian	probability
ˈɔ_ɾ	ˈɔ_l	1.0
ˈɔ	ˈɔ	1.0
ˈu_ɾ	ˈo_d	1.0
ˈi_ɾ	i_d	1.0
ˈi_l	ˈi_l	1.0
ˈe	ˈe	1.0
ˈa_#>	ˈa_i_#>	1.0
ˈa	ˈa	1.0
ʧː	-	1.0
ʦ	ʦ	1.0
ʤː	ʤ	1.0
ʐː	rː	1.0
ʊ_#>	#>	1.0
ʈː	tː	1.0
ʈ	t	1.0
ʃ	s	1.0
ɾ_ɪ_#>	#>	1.0
ɽ	r	1.0
ɲː	ɲː	1.0
ɲ	ɲː	1.0
ɪ_ɕ	i_ʧ	1.0
ɪ_r	ˈi	1.0
ɪ_#>	#>	1.0
ɡ	ɡ	1.0
ɟː	ɖː	1.0
ɖː	ɖː	1.0
ɕ	ʧ	1.0
ŋ	ŋ	1.0
ç	f_j	1.0
z	z	1.0
v_ɪ	i	1.0
v_i	i	1.0
u	u	1.0
tː	tː	1.0
r_ɪ_#>	#>	1.0
r_a	r_a	1.0
n_ɕ	ɲː	1.0
mː	m	1.0
lː	ɖː	1.0
l_a	l_a	1.0
l	l	1.0
kː	kː	1.0
k_ɾ	k_r	1.0
j_#>	j_#>	1.0
fː	fː	1.0
f	f	1.0
dː	tː	1.0
d	d	1.0
cː	cː	1.0
c	p_j	1.0
bː	bː	1.0
b	b	1.0
a	a	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
ʊ	u	0.981
k	k	0.953
p	p	0.952
n	n	0.935
m	m	0.913
s	s	0.905
t	t	0.879
w	-	0.778
ɪ	i	0.755
<#_a	<#_a	0.75
ˈɛ	ˈɛ	0.676
ʦː	ʦː	0.667
ˈu	ˈu	0.658
ɪ_ɾ	a_r	0.625
v	v	0.625
<#_ˈɔ	<#_ˈɔ	0.625
ˈi	ˈi	0.604
ˈo	ˈo	0.6
ʤ	-	0.6
ʃː	ʃː	0.6
r	r	0.583
ɾ	r	0.577
nː	nː	0.556
i	i	0.545
sː	sː	0.5
sː	-	0.5
j	ɟ	0.5
r	l	0.417
ˈo	ˈɔ	0.4
ʤ	ɟ	0.4
ʃː	-	0.4
ɪ_ɾ	ˈe	0.375
<#_ˈɔ	<#_ˈo	0.375
ʦː	ʣ	0.333
j	j	0.3
v	b	0.25
<#_a	<#	0.25
ˈɛ	ˈe	0.235
ˈi	ˈe	0.229
i	-	0.227
w	w	0.222
nː	n_d	0.222
nː	-	0.222
j	ɟː	0.2
ɾ	d	0.192
ˈu	ˈo	0.184
ɾ	l	0.154
i	ˈi	0.136
ɪ	u	0.132
ˈi	ˈɛ	0.125
v	-	0.125
s	-	0.095
i	a	0.091
ˈɛ	-	0.088
m	mː	0.087
ɾ	i	0.077
ɪ	ˈi	0.075
n	-	0.065
t	tː	0.061
t	d	0.061
ˈu	ˈɔ	0.053
ˈu	u	0.053
ˈu	-	0.053
