Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	ˈaː	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈøː	ˈɜɪ̯	1.0
ˈæː	-	1.0
ˈæ	ˈiː	1.0
ˈiː_n	ˈæːɪ̯_n	1.0
ˈiː_#>	ˈe_ŋ_#>	1.0
ʰtː	ɕ_t	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_#>	v̥_#>	1.0
ʉ	p	1.0
ɾ_n_#>	ʀ_#>	1.0
ɲ	ŋ	1.0
ɡː	k	1.0
ɡ_l	l	1.0
ɛ	-	1.0
ŋː	ŋ	1.0
ŋ	k	1.0
çː	-	1.0
v	v	1.0
tː	ʦ	1.0
t_#>	ʦ_#>	1.0
sː	z̥	1.0
s_l	ʃ_l	1.0
s_e	z̥	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
p_#>	f_#>	1.0
nː_#>	n_d̥_#>	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
l_#>	l_#>	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
jː	ə	1.0
j_ˈʉː	l_ˈɜɪ̯	1.0
h	h	1.0
f	f	1.0
d_ə	ɐ	1.0
b	b	1.0
<#_ˈɛ	<#_ˈeː	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_v	1.0
m	m	0.92
d	d	0.895
ˈæɪ̯	ˈeː	0.846
l	l	0.833
e	-	0.815
ˈɑː	ˈaː	0.8
lː	l	0.75
ʂ	ʃ	0.7
ɡ_#>	ɕ_#>	0.7
n	n	0.682
ɡ	ɡ	0.667
ə	-	0.667
ɑ	ə	0.667
p	f	0.667
t	s	0.652
ˈiː	ˈæːɪ̯	0.636
ˈeː	-	0.636
tʰ	d	0.6
#>	n_#>	0.587
ɾ	ʀ	0.576
ʋ	v	0.571
s	ʃ	0.552
ɾ_#>	#>	0.55
ˈɑ	ˈɑ	0.524
ˈʉː	ˈæːʊ̯	0.5
ˈɔ	-	0.5
ˈæʉ̯	ˈəʊ̯	0.5
ˈæʉ̯	ˈaː	0.5
ˈyː	ˈɜɪ̯	0.5
ˈyː	ˈɑɪ̯	0.5
ç	kʰ	0.5
ç	d	0.5
k	ɕ	0.5
j	ə	0.5
ɾ_#>	ɐ_#>	0.45
s	z	0.448
tʰ	ʦ	0.4
ˈɪ	ˈɑ	0.385
ˈʏ	-	0.357
t	t	0.348
ˈɑ	ˈaː	0.333
ə	ɐ	0.333
p	p	0.333
k	χ	0.333
n	-	0.318
ˈɪ	ˈə	0.308
ˈɔ	ˈuə̯	0.3
ˈuː	ˈʊ	0.3
ˈuː	ˈu	0.3
ʂ	z	0.3
ɡ_#>	#>	0.3
ˈoː	ˈoː	0.294
ˈoː	-	0.294
ˈʏ	ˈe	0.286
ˈɛ	ˈə	0.286
ˈʉ	ˈo	0.267
#>	d̥_#>	0.261
ˈʉː	ˈɑʊ̯	0.25
ˈʉː	-	0.25
lː	l_d̥	0.25
j	ɡ	0.25
j	-	0.25
ɾ	ɐ	0.242
ˈʏ	ˈə	0.214
ˈʉ	ˈɔ	0.2
ˈʉ	v_ˈo	0.2
ˈʉ	-	0.2
ˈɔ	ˈuː	0.2
ˈɑː	ˈuə̯	0.2
ˈuː	ˈəʊ̯	0.2
ˈuː	-	0.2
ɑ	n	0.194
ʋ	w	0.19
e	ɐ	0.185
ˈiː	ˈə	0.182
ˈiː	ˈɑɪ̯	0.182
ˈeː	ˈə	0.182
ˈeː	ˈiə̯	0.182
ˈoː	ˈɜɪ̯	0.176
ɡ	ə	0.167
ɡ	-	0.167
l	l_ə	0.167
k	-	0.167
ˈɪ	ˈe	0.154
ˈɪ	-	0.154
ˈæɪ̯	-	0.154
ˈʏ	ˈo	0.143
ˈɛ	ˈɛ	0.143
ˈɛ	ˈæ	0.143
ˈɛ	ˈiː	0.143
ˈɛ	ˈaː	0.143
ˈɛ	-	0.143
ˈɑ	-	0.143
ʋ	ə_f	0.143
ˈʉ	ˈə	0.133
ɾ	ˈiː_ɐ	0.121
ˈoː	ˈoː_ə	0.118
ˈoː	ˈi	0.118
d	d̥	0.105
ʋ	v_ˈɑ	0.095
ɑ	-	0.083
m	ə	0.08
#>	ɐ_#>	0.065
ɾ	-	0.061
ɑ	ɐ	0.056
