Luxembourgish	Middle High German	probability
ˈɛː	ˈɛ	1.0
ˈɛ_l	i	1.0
ˈɛ	ˈɛ	1.0
ˈəʊ̯_n	ˈɑː_n	1.0
ˈə_n	n	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈuː	1.0
ˈɑ_l	ˈɑ_l	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæːɪ̯	ˈiː	1.0
ˈæ	ˈɑ	1.0
ˈuː	ˈu	1.0
ˈiː_ɕ	x	1.0
ˈiː_ɐ	r	1.0
ˈiə̯	ˈɛ	1.0
ˈaː_ʀ	ˈo_r	1.0
ʑ	ɡ	1.0
ʃ_t	s_t	1.0
ʀ	r	1.0
ɣ̊	ɡ̊	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ə_v̥	b̥	1.0
ə_f	f	1.0
z̥	s_ə	1.0
z	s	1.0
w	w	1.0
v̥	b̥	1.0
v_ə	b_ə	1.0
tʰ	t	1.0
t	t	1.0
pʰ	p͡f	1.0
j	j	1.0
h	h	1.0
e	ɛ	1.0
b	b	1.0
m	m	0.981
l	l	0.98
n	n	0.907
ʃ	ʃ	0.899
ʦ	ʦ	0.88
kʰ	kʰ	0.857
ə	ə	0.853
d	d	0.839
v	w	0.819
ˈeː	ˈei̯	0.807
k	kː	0.775
f	v	0.775
ˈəʊ̯	ˈoː	0.679
ˈuə̯	ˈɑ	0.667
s	s̻	0.652
p	p͡f	0.641
ˈoː	ˈɑː	0.635
d̥	d̥	0.622
ˈaː	ˈɑ	0.599
ɐ	r	0.591
ˈɑɪ̯	ˈyː	0.575
ɕ	x	0.569
ˈiː	ˈi	0.554
χ	x	0.549
ˈɑ	ˈi	0.537
ˈo	ˈu	0.526
ˈu	ˈuə̯	0.501
ˈə	ˈi	0.491
ˈo	ˈo	0.474
ŋ	ŋ	0.463
χ	xː	0.451
ˈə	ˈy	0.413
ˈɑ	ˈɑ	0.408
ˈe	-	0.394
ˈɜɪ̯	ˈiə̯	0.387
ˈi	-	0.38
d̥	t	0.378
ˈi	ˈy	0.364
p	p	0.359
ˈiː	ˈɛ	0.343
ˈuə̯	ˈo	0.333
ˈe	ˈi	0.331
ˈəʊ̯	ˈuə̯	0.321
ˈu	-	0.311
ŋ	-	0.291
s	s̻ː	0.288
ˈe	ˈy	0.275
ɐ	ə_r	0.275
ˈi	ˈyə̯	0.256
ŋ	ŋ_ɡ	0.246
k	k	0.225
ˈaː	ˈou̯	0.216
ˈɑɪ̯	ˈi	0.212
ˈɑɪ̯	-	0.212
ˈɜɪ̯	ˈeː	0.192
ɕ	ɡ̊	0.192
ˈu	ˈo	0.188
ˈoː	ˈɑ_ɡ	0.183
ˈoː	ˈɑ	0.183
f	f	0.179
d	t	0.161
ˈaː	ˈɑ_r	0.16
ˈɜɪ̯	ˈiə̯_ɡ	0.145
kʰ	k	0.143
ˈɜɪ̯	ˈɑː	0.136
ɕ	xː	0.132
v	b_ə	0.125
ʦ	ʦː	0.12
ˈeː	-	0.117
ə	-	0.107
ɕ	xː_ə	0.107
ˈiː	rː	0.103
ʃ	ʃː	0.101
ˈə	ˈɛ	0.096
ˈɜɪ̯	ˈyə̯	0.094
ɐ	ə	0.088
ˈeː	ˈøy̯	0.075
s	-	0.06
v	v	0.056
ˈɑ	-	0.055
