Štokavian	Ukrainian	probability
ʨ	ʧ	1.0
ʒ_ě	ʒʲ	1.0
ʎ	lʲ	1.0
ʋ_j	ʋʲ	1.0
ʃ	ʃʲ	1.0
ɲ	nʲ	1.0
ɡ̊	k	1.0
x	x	1.0
ǔː	ʊ	1.0
uː	ʊ	1.0
u	u	1.0
r̩̂	ˈɛ_r	1.0
r̩̂ː	r	1.0
r̩̂	ˈɛ_r	1.0
r_j	rʲ	1.0
ǒ	ɔ	1.0
j_êː	ˈi	1.0
j_ê	ˈi	1.0
j	-	1.0
ǐː	ɪ	1.0
îː	ˈɪ	1.0
iː	e_j	1.0
d_j	dʲ	1.0
d	d	1.0
a_r	r_e	1.0
a_n	n	1.0
k	k	0.918
t	t	0.899
l	ɫ	0.891
z	z	0.884
b	b	0.869
ɡ	ɦ	0.862
m	m	0.822
êː	ˈi	0.793
n	n	0.767
ʋ	ʋ	0.757
p	p	0.747
ôː	ˈi	0.73
ʒ	ʒ	0.728
s	s	0.725
i	ˈɪ	0.718
î	ˈɪ	0.717
ěː	i	0.694
eː	i	0.693
r	r	0.661
âː	-	0.652
ǎ	ɐ	0.593
o	ɫ	0.586
ûː	ˈu	0.556
ʦ	ʦʲ	0.551
û	ˈɔ_ʋ	0.539
ʧ	ʧʲ	0.524
ǎː	ɔ	0.5
ǎː	-	0.5
ʧ	-	0.476
ô	ˈɔ	0.471
a	ˈɑ	0.462
û	w_ˈu	0.461
ʦ	ʦ	0.449
ê	ˈɔ	0.449
e	ˈi	0.435
o	ˈɔ	0.414
ǎ	-	0.407
ê	ˈɛ	0.368
âː	ɔ	0.348
ě	ɛ	0.346
ô	ˈi	0.338
â	ˈɔ	0.316
â	ˈɑ	0.316
eː	ɐ	0.307
ěː	-	0.306
ě	-	0.289
î	-	0.283
i	ɪ	0.282
s	sʲ	0.275
ʒ	-	0.272
ôː	ˈɔ	0.27
p	pʲ	0.253
e	-	0.252
a	-	0.238
â	ˈa	0.235
n	nʲ	0.233
ûː	ˈɔ_ʍ	0.222
ûː	ʊ	0.222
ě	ɐ	0.211
êː	j_ˈɑ	0.207
r	ɔ_r	0.197
ô	ɔ	0.191
ê	ˈi	0.184
e	i	0.181
m	mʲ	0.178
ě	e	0.154
a	ɔ	0.148
r	rʲ	0.142
ɡ	-	0.138
e	ˈɑ	0.133
â	ˈɛ	0.132
b	bʲ	0.131
ʋ	w	0.124
ʋ	ʋʲ	0.119
z	zʲ	0.116
l	lʲ	0.109
t	tʲ	0.101
k	kʲ	0.082
a	ˈɔ	0.077
a	i	0.077
