Danish	West Flemish	probability
b̥	b	0.832
b̥	p	0.166
d̥	d	1.0
e	-	0.388
e	m	0.199
f	v	0.984
f	ʃ	0.041
h	-	0.862
h	z	0.074
h	k	0.068
i	ə	0.512
j	k	0.309
j	-	0.285
j	h	0.211
j	ɦ	0.169
j_ˈɛ	ˈæ	1.0
jˀ	ɦ	0.574
jˀ	ə	0.294
k	-	0.557
k	k	0.246
k	h	0.145
kʰ	k	0.827
kʰ	v	0.165
l	l	0.961
l	-	0.045
lˀ	t	0.296
lˀ	w	0.257
lˀ	ɾ	0.148
lˀ	l	0.115
lˀ	ˈu	0.104
m	m	0.728
m	ɾ_m	0.263
mˀ	m	0.594
mˀ	v	0.392
n	n	0.733
n	-	0.198
n	n_d	0.062
nˀ	n_t	0.746
nˀ	n	0.136
nˀ	t	0.106
p	p	0.512
pʰ	p	1.0
s	s	0.47
s	z	0.4
s	ɾ_s	0.058
s	ʃ	0.045
s	-	0.037
t	t	0.929
t	-	0.071
v	f	0.574
v	v	0.294
w	-	0.386
w	f	0.212
w	ˈeː	0.14
w	v	0.14
w	p	0.106
wˀ	m	0.574
wˀ	v	0.294
ð̞ˠ	t	0.884
ð̞ˠ	-	0.049
ð̞ˠ	ɾ	0.049
ð̞ˠ	p	0.044
ŋ	ŋ	0.704
ŋ	n	0.141
ŋ	-	0.105
ŋˀ	ŋ_k	0.618
ŋˀ	ŋ	0.269
ɐ	ɾ	0.727
ɐ	-	0.142
ɐ	ɾ_ə	0.108
ɐˀ	ɾ	0.61
ɐˀ	ɾ_t	0.38
ə	ə	0.455
ə	-	0.253
ə	n	0.214
ə	ɦ_n	0.066
ɡ̊	ɦ	0.866
ɡ̊	h	0.086
ɡ̊	-	0.056
ʁ	ɾ	0.836
ʁ	-	0.162
ʋ	ʋ	0.912
ʋ	-	0.088
ʦʰ	d	0.562
ʦʰ	t	0.289
ʦʰ	t_ʋ	0.138
ʨ	d	1.0
ˈa	ˈɑ	0.607
ˈa	ˈɒː	0.252
ˈa	ˈæ	0.119
ˈaː	ˈɒː	0.512
ˈe	ˈɪ	0.512
ˈe	ˈɛ	0.212
ˈe	ˈæ	0.137
ˈe	ˈeː	0.075
ˈe	-	0.061
ˈeˀ	ˈɛː	0.579
ˈeˀ	-	0.122
ˈeˀ	j	0.095
ˈeˀ	ˈɛ	0.095
ˈeˀ	ˈiə̯	0.075
ˈeː	ˈiə̯	0.388
ˈeː	ˈɑ	0.199
ˈi	ˈiə̯	0.488
ˈi	ˈæ	0.25
ˈi	ˈi	0.087
ˈiˀ	ˈi	0.536
ˈiˀ	ˈɛ	0.147
ˈiˀ	ˈeː	0.147
ˈiˀ	ˈiə̯	0.111
ˈiː	ˈɛ	0.37
ˈiː	ˈi	0.25
ˈiː	ˈiə̯	0.19
ˈo	ˈoː	0.668
ˈo	ʋ	0.187
ˈo	ˈuə̯	0.127
ˈoˀ	ˈuə̯	0.715
ˈoˀ	ˈɛː	0.28
ˈoː	ˈoː	0.248
ˈoː	ˈɑ	0.171
ˈoː	ˈu	0.164
ˈoː	ˈuə̯	0.109
ˈoː	ˈɔ	0.105
ˈu	ˈu	0.495
ˈu	ˈɔ	0.192
ˈu	ˈœ	0.153
ˈuˀ	ˈyː	0.734
ˈuˀ	ˈøː	0.137
ˈuˀ	ˈeː	0.093
ˈuː	ˈyː	0.388
ˈuː	ˈiə̯	0.199
ˈy	ˈiə̯	0.287
ˈy	ˈʏ	0.25
ˈy	ˈyː	0.147
ˈyˀ	ˈiə̯	0.752
ˈyˀ	ˈeː	0.211
ˈyˀ	ˈœ	0.048
ˈyː	ˈiə̯	1.0
ˈæ	ˈæ	0.263
ˈæˀ	ˈɑ	0.263
ˈø	ˈɪ	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈœ	0.251
ˈœ	ˈɔ	0.251
ˈœ	ˈuə̯	0.144
ˈœ	ˈoː	0.144
ˈœ	ˈæ	0.106
ˈœˀ	ˈoː	0.768
ˈœˀ	ˈuə̯	0.218
ˈɑ	ˈɑ	0.336
ˈɑ	ə	0.174
ˈɑ	ˈeː	0.174
ˈɑ	ˈɒː	0.127
ˈɑ	ˈiə̯	0.127
ˈɑˀ	ˈɑ	0.392
ˈɑˀ	ˈæ	0.231
ˈɑˀ	ˈɒː	0.231
ˈɑː	ˈɒː	1.0
ˈɒ	ˈoː	0.512
ˈɒˀ	ˈɒː	0.512
ˈɒː	ˈɒː	0.446
ˈɒː	ˈɔ	0.117
ˈɔ	ˈu	1.0
ˈɔˀ	ˈɒː	0.361
ˈɔˀ	ˈɔ	0.361
ˈɔˀ	ˈɑ	0.213
ˈɔː	ˈɒː	0.512
ˈɛ	ˈɑ	0.269
ˈɛ	ˈɔ	0.184
ˈɛ	ˈɛ	0.139
ˈɛ	ˈæ	0.106
ˈɛ	ˈœ	0.106
ˈɛˀ	ˈeː	0.5
ˈɛˀ	ˈiə̯	0.287
ˈɛˀ	ˈɑ	0.169
ˈɛː	ˈeː	0.446
ˈɛː	ˈøː	0.06
ˈʌ	ˈuə̯	0.215
ˈʌ	ˈu	0.215
ˈʌ	ˈoː	0.192
ˈʌ	ˈɛː	0.101
ˈʌ	ˈɑ	0.093
ˈʌˀ	ˈoː	1.0
