Romanian	Neapolitan	probability
#>	#>	0.988
<#	<#	1.0
<#_ɨ	<#	1.0
a	a	0.576
a	ə	0.231
a	-	0.153
a	ˈa	0.051
b	v	0.512
b	b	0.468
d	d	0.595
d	ɾ	0.257
d	-	0.118
e	ə	0.647
e	-	0.223
e	i	0.051
e̯ˈa	ˈi	0.496
e̯ˈa	ˈa	0.359
e̯ˈa	ˈe	0.131
f	f	0.929
f	ʃ	0.075
i	i	0.475
i	e	0.141
i	ˈe	0.141
i	ɾ	0.103
i	ˈɛ	0.103
i	a	0.051
j	j	0.474
j	-	0.372
j	i	0.051
j	ɲ	0.051
j	ɾ	0.051
k	k	0.74
k	k_ə	0.224
kʲ	k	0.279
l	l	0.572
l	j	0.187
l	-	0.11
l	w	0.054
m	m	0.946
m	n	0.053
n	n	0.845
n	ɲ	0.056
n	-	0.05
nʲ	n	1.0
o	a	0.258
o	u	0.195
o	ə	0.103
o	o	0.095
o̯ˈa	ˈɔ	0.553
o̯ˈa	ˈo	0.364
o̯ˈa	ˈa	0.078
p	p	0.517
p	k	0.162
p	t	0.154
p	p_ə	0.083
r	ɾ	0.441
r	-	0.238
r	r	0.183
r	l	0.074
r	l_ə	0.058
s	s	0.638
s	ʃ	0.325
s	-	0.052
t	t	0.814
t	ʃ	0.066
u	u	0.416
u	ə	0.282
u	o	0.138
u	ˈɔ	0.072
u	a	0.061
u	-	0.057
v	v	1.0
w	ə	0.32
w	v_ə	0.206
w	a	0.106
w	j	0.106
w	v	0.106
w	ˈo	0.106
w	ʎ_ə	0.053
z	-	0.389
z	ʦ	0.257
z	d	0.242
ŋ	ŋ	0.258
ŋ	ɲ	0.258
ŋ	ʤ	0.258
ə	ə	0.887
ɡ	ɡ	0.548
ɡ	-	0.347
ɡ	ɲ	0.1
ɨ	ˈa	1.0
ʃ	ʃ	0.492
ʃ	s	0.386
ʃ	ɾ	0.103
ʒ	j	0.815
ʒ	ʤ	0.159
ʤ	ʤ	0.369
ʤ	ɲ	0.224
ʤ	-	0.129
ʤ	ɡ	0.1
ʤ	ɾ	0.085
ʤ	d	0.08
ʦ	ʦ	0.274
ʦ	j	0.158
ʦ	ʃ	0.158
ʦ	ʤ	0.158
ʦ	t	0.119
ʦ	-	0.115
ʦʲ	t	0.529
ʧ	ʃ	0.618
ʧ	-	0.205
ʧ	k	0.099
ʧ	ʧ	0.053
ʧʲ	k	0.574
ʧʲ	ʃ	0.304
ˈa	ˈa	0.801
ˈa	ˈɛ	0.119
ˈe	ˈɛ	0.353
ˈe	ˈe	0.312
ˈe	ˈi	0.151
ˈe	-	0.133
ˈi	ˈi	0.667
ˈi	ˈɛ	0.178
ˈi	ˈe	0.055
ˈi	ˈi_ʎ	0.052
ˈi	ˈa	0.052
ˈi_r	ˈi	0.529
ˈo	w_ˈɔ	0.503
ˈo	ˈu	0.334
ˈo	ˈɔ	0.094
ˈo	-	0.054
ˈu	ˈu	0.576
ˈu	ˈo	0.18
ˈu	w_ˈɔ	0.143
ˈə	ˈa	0.304
ˈə	ˈi	0.184
ˈə	ˈe	0.129
ˈɨ	ˈa	0.812
ˈɨ	ˈa_n	0.105
ˈɨ	j	0.086
