Dutch	Old Norse	probability
b	b	0.947
d	θ	0.374
d	d	0.351
d	ð	0.246
f	v	0.683
f	f	0.188
f	mː	0.129
i	ɑː	1.0
j	-	0.837
j	ˈeː	0.163
k	k	0.459
k	kʰ	0.286
k	kː	0.088
k	cː	0.074
m	m	0.832
m	n	0.069
m	-	0.05
n	n	0.64
n	nː	0.174
n	-	0.099
p	p	0.739
p	v	0.114
p	-	0.109
s	s	0.751
s	sː	0.081
s	-	0.066
s	v	0.055
t	t	0.421
t	ð	0.254
t	d	0.103
t	tʰ	0.091
t	-	0.055
v	f	0.764
v	v	0.153
v	-	0.051
w	r	1.0
z	s	1.0
ŋ	ŋ	1.0
ə	ɑ	0.457
ə	-	0.189
ə	i	0.168
ə	a	0.074
ə	j_ɑ	0.052
ɦ	h	0.927
ɦ	ç	0.073
ɪ	u	0.5
ɪ	ɑ	0.5
ɫ	l	0.848
ɫ	lː	0.105
ɾ	r	0.843
ɾ	rː	0.061
ʋ	v	0.678
ʋ	-	0.131
ʋ	x_w	0.086
ʋ	ç	0.071
ˈaː	ˈɑː	0.443
ˈaː	ˈɑ	0.299
ˈaː	ˈɔ	0.088
ˈaː	ˈe	0.085
ˈeː	ˈɛi̯	0.289
ˈeː	j	0.231
ˈeː	ˈe	0.141
ˈeː	ˈɑː	0.088
ˈeː	ˈi	0.083
ˈi	j	0.205
ˈi	j_ˈoː	0.192
ˈi	ˈiː	0.12
ˈi	ˈeː	0.117
ˈi	ˈɛ	0.101
ˈi	ˈyː	0.098
ˈi	ˈoː	0.087
ˈoː	ˈo	0.43
ˈoː	ˈøy̯	0.14
ˈoː	ˈɑu̯	0.11
ˈoː	ˈy	0.103
ˈoː	ˈu	0.057
ˈu	ˈoː	0.542
ˈu	ˈøː	0.254
ˈu	ˈɔː	0.189
ˈyː	ˈyː	0.499
ˈyː	ˈuː	0.434
ˈyː	ˈɛ	0.067
ˈøː	ˈɛ	1.0
ˈœy̯	ˈuː	0.844
ˈœy̯	ˈyː	0.064
ˈɑ	ˈɑ	0.641
ˈɑ	ˈa	0.122
ˈɑ	ˈɛ	0.092
ˈɑ	ˈɑː	0.073
ˈɑ	ˈɔ	0.054
ˈɑu̯	ˈɑ	0.599
ˈɑu̯	lː	0.31
ˈɑu̯	a	0.091
ˈɔ	ˈu	0.673
ˈɔ	ˈo	0.206
ˈɛ	ˈe	0.361
ˈɛ	j_ˈɑ	0.172
ˈɛ	ˈøː	0.115
ˈɛ	ˈɑ	0.109
ˈɛ	ˈɛ	0.106
ˈɛi̯	ˈiː	0.59
ˈɛi̯	ˈɛi̯	0.172
ˈɛi̯	ˈi	0.131
ˈɪ	ˈi	0.636
ˈɪ	ˈy	0.1
ˈɪ	-	0.092
ˈɪ	ˈe	0.05
ˈʏ	ˈy	0.538
ˈʏ	ˈu	0.462
χ	ɡ	0.261
χ	ɣ	0.242
χ	-	0.137
χ	c	0.095
χ	ɡː	0.085
χ	ɟ	0.085
