Asturian	Romansch	probability
f	f	1.0
i	-	1.0
m	m	1.0
p	p	1.0
ɡ	ɡ	1.0
ʃ	ʃ	1.0
ʝ	ʎ	1.0
w	j	0.291
ɲ	n	0.161
ˈa	ˈɔ	0.171
ˈe	ˈe	0.091
ˈi	ˈiː	0.471
ˈo	ˈa_w	0.051
ˈo	ˈuː	0.261
b	v	0.672
l	-	0.142
s	s	0.82
t	-	0.072
u	i	0.072
ɣ	ɡ	0.22
ˈe	ˈiː	0.062
ˈo	w	0.072
ð	t	0.103
ɾ	-	0.073
ˈa	ˈa_w	0.143
ˈe	ˈeː	0.103
ˈe	ˈɛ	0.113
ˈe	ə	0.113
ˈu	ˈi	0.373
θ	ʧ	0.383
d	d	0.894
e	ə	0.884
j	j	0.134
k	ʨ	0.734
a	-	0.165
a	ə	0.835
ŋ	ŋ	0.225
ŋ	n	0.775
ˈe	-	0.055
β	f	0.295
d	t	0.106
e	i	0.116
j	-	0.866
k	k	0.266
o	o	0.076
u	-	0.36
ˈo	ˈu	0.616
β	v	0.566
o	u	0.397
o	-	0.527
s	ʃ	0.17
ð	d	0.897
ɾ	r	0.927
θ	ʃ	0.617
b	b	0.328
l	l	0.858
n	n	0.998
r	r	0.968
t	t	0.858
u	w	0.568
ɣ	-	0.78
ʎ	l	0.968
ˈa	ˈa	0.258
ˈe	ˈɛː	0.138
w	-	0.709
ɲ	ɲ	0.839
ˈa	ˈaː	0.429
ˈe	ˈa_j	0.219
ˈi	ˈi	0.529
ˈu	ˈiː	0.229
ˈu	ˈu	0.399
β	-	0.139
