Dutch	East Frisian Low Saxon	probability
χ_ˈɪ	k_ˈɪ	1.0
χ_ɾ	ɡ_r	1.0
χ_ə	ɡ	1.0
ˈøː	ˈøːø̯	1.0
ˈyː	-	1.0
ˈeː_n	n	1.0
ɾ_ə	ɐ	1.0
ɾ_t	ɐ_t	1.0
ɫ_ə	l	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ə_ɫ	ˈyːʏ̯	1.0
ŋ	ŋ	1.0
z_ə	z	1.0
w	ˈɛːɪ̯	1.0
v̥	v̥	1.0
v_ə	v	1.0
v	f	1.0
t_ə	t	1.0
t	t	1.0
s_χ	s_k	1.0
p_ə	p	1.0
p	p	1.0
n_t	n_t	1.0
n_d	n	1.0
m	m	1.0
k_ə	k	1.0
k	k	1.0
j	j	1.0
i	ɑɪ̯	1.0
d	d	1.0
b	b	1.0
n	n	0.983
ɫ	l	0.978
ˈɪ	ˈɪ	0.92
d̥	d̥	0.889
z	z	0.856
ə_n	n	0.828
ʋ	v	0.827
z̥	z̥	0.767
s	s	0.739
ˈɛi̯	ˈiː	0.728
ˈɑu̯	ˈɔ_l	0.667
ˈœy̯	ˈuː	0.666
ə	ɐ	0.651
ɾ	ɐ	0.608
ˈoː	ˈoː	0.597
ˈu	ˈɑʊ̯	0.591
ˈɑ	ˈɑ	0.569
ˈʏ	ˈʏ	0.562
ˈaː	ˈɒː	0.555
ˈɔ	ˈʊ	0.515
ˈeː	ˈæɪ̯	0.454
ˈʏ	ˈʏə̯	0.438
ˈi	ˈæɪ̯	0.403
χ	ɣ̊	0.394
χ	ɡ	0.382
ˈɛ	ˈɛ	0.359
ə	-	0.349
ɾ	r	0.345
ˈi	-	0.344
ˈɑu̯	ˈɑːʊ̯	0.333
ˈoː	ˈøː	0.281
ˈɛ	-	0.279
z̥	s	0.233
ˈɛi̯	-	0.232
ˈeː	ˈeː	0.23
χ	χ	0.225
ˈɔ	ˈɔ	0.216
ˈu	ˈœy̯	0.21
ˈɑ	ˈɑː	0.201
ˈœy̯	ˈuːu̯	0.2
s	s_k	0.193
ˈɛ	ˈɑː	0.188
ʋ	w	0.173
ə_n	m	0.172
ˈi	ˈæː	0.164
ˈaː	-	0.16
ˈeː	ˈeːe̯	0.159
ˈeː	-	0.157
ˈaː	ˈɔː	0.148
ˈɑ	ˈɑːɑ̯	0.147
z	s	0.144
ˈaː	ˈɒːɒ̯	0.137
ˈœy̯	ˈyː	0.134
d̥	-	0.111
ˈɔ	ˈœ	0.099
ˈu	ˈœːy̯	0.099
ˈɔ	-	0.097
ˈi	ˈæːɪ̯	0.09
ˈɛ	ˈʏ	0.087
ˈɛ	ˈɛə̯	0.087
ˈɑ	-	0.083
ˈoː	ˈœ	0.083
ˈɪ	ˈɪə̯	0.08
ˈɔ	ˈʊə̯	0.073
s	-	0.067
