Piedmontese	Brazilian Portuguese	probability
ə	-	1.0
e	e	0.591
j	j	0.101
l	l_u	0.11
s	s	0.601
u	ẽ	0.101
ʤ	ʒ	0.691
ʧ	ʃ	0.481
ˈe	ˈa_h	0.551
ˈø	ˈɔ	0.141
a	ɐ	0.782
e	ˈi	0.082
e	i	0.132
f	-	0.082
t	t	0.462
ŋ	w̃	0.342
ɡ	ɡ_u	0.452
ˈa	ˈa	0.52
ˈi	ˈĩ	0.522
ˈu	ˈo	0.482
ˈy	ˈu	0.752
ˈɛ	ˈe	0.42
d	-	0.123
j	ʎ	0.213
j	-	0.43
k	k	0.943
r	ɾ_u	0.073
r	ɦ	0.183
u	-	0.133
z	z	0.083
ˈa	a	0.063
ˈe	ˈe	0.133
ˈi	ˈi	0.3
ˈø	o	0.133
ˈø	<#_e	0.23
ˈɔ	ˈɔ	0.253
l	l	0.54
m	-	0.064
w	-	0.054
ŋ	-	0.174
ŋ	n	0.214
ɲ	j̃	0.844
ˈu	ˈɐ̃	0.054
ˈy	ˈũ	0.084
ˈy	u	0.164
ˈɛ	ˈe_j	0.064
a	a	0.115
b	v	0.225
b	b	0.775
e	ˈe_h	0.105
i	ĩ	0.35
i	u	0.65
m	m	0.895
n	n	0.625
s	s_u	0.085
t	ʧ_i	0.175
ˈe	ˈa	0.05
ˈɔ	ˈo	0.515
p	-	0.146
t	t_u	0.256
w	w	0.946
z	ʒ	0.06
ɲ	j̃_u	0.156
ˈu	ˈɔ	0.406
j	u	0.07
l	-	0.107
r	ɾ	0.297
r	-	0.447
t	d	0.057
v	b	0.187
v	v	0.697
ŋ	j̃	0.27
ˈa	ˈɐ̃	0.417
ˈe	ˈɛ	0.137
ˈu	ˈu	0.057
ˈø	ˈo_j	0.07
ˈɛ	ˈẽ	0.157
f	f	0.918
j	ʎ_u	0.148
l	w	0.18
n	-	0.328
s	ʃ	0.258
u	õ	0.178
u	o	0.588
z	j_ʃ	0.378
ɡ	ɡ	0.548
ˈi	ˈe	0.148
ˈø	ˈo	0.408
d	d	0.829
e	j	0.09
p	p	0.849
v	-	0.079
z	-	0.239
z	ʃ	0.239
ʤ	-	0.309
ʧ	s	0.519
ˈe	ˈi	0.069
ˈɔ	ˈõ	0.189
ˈɛ	ˈɛ	0.359
