North Frisian	Old English	probability
b	b	0.956
d	d	0.673
d	θ	0.114
d	ð	0.075
d	t	0.064
d	dː	0.052
dʲ	d	1.0
f	f	1.0
h	h	1.0
i	i	0.719
i	e	0.121
i	w	0.121
j	-	0.399
j	j	0.386
j	ɣ	0.18
k	k	0.584
k	ʧ	0.357
l	l	0.735
l	ɫ	0.188
lʲ	ɫ	0.742
lʲ	r	0.181
lʲ	l	0.076
m	m	0.985
n	n	0.909
n	nː	0.053
nʲ	n	1.0
p	p	0.838
p	pː	0.162
r	r	0.918
s	s	0.857
s	θ	0.053
t	t	0.756
t	θ	0.179
tʲ	t	0.887
tʲ	θ	0.113
v	w	0.602
v	v	0.189
v	f	0.117
v	ʍ	0.06
w	ɣ	0.411
w	ʤ	0.304
w	ʧ	0.285
x	x	0.531
x	ç	0.469
z	t	0.459
z	z	0.415
z	r	0.107
ŋ	ŋ	0.678
ŋ	n	0.128
ŋ	j	0.118
ŋ	-	0.076
ə	ɑ	0.53
ə	e	0.194
ə	o	0.132
ə	-	0.108
ɛi̯	iːy̯	1.0
ɡ	ɡ	0.873
ɡ	j	0.127
ʃ	ʃ	0.753
ʃ	ʧ	0.166
ʃ	ʃː	0.075
ˈa	ˈæɑ̯	0.217
ˈa	ˈeː	0.185
ˈa	-	0.138
ˈa	ˈi	0.133
ˈa	ˈeːo̯	0.085
ˈa	ˈeo̯	0.076
ˈai̯	ˈi	0.764
ˈai̯	ˈiːy̯	0.134
ˈai̯	ˈɑː	0.102
ˈaː	ˈu	0.622
ˈaː	ˈi	0.378
ˈeː	ˈeː	0.281
ˈeː	ˈy	0.199
ˈeː	ˈe	0.125
ˈeː	ˈeo̯	0.08
ˈeː	ˈiy̯	0.075
ˈeː	ˈæ	0.072
ˈeː	ˈæː	0.055
ˈi	ˈiː	0.439
ˈi	ˈi	0.291
ˈi	ˈy	0.095
ˈiː	ˈeːo̯	0.35
ˈiː	ˈɑː	0.251
ˈiː	ˈiːy̯	0.151
ˈiː	ˈiː	0.072
ˈiː	ˈi	0.071
ˈuː	ˈæːɑ̯	0.508
ˈuː	ˈæɑ̯	0.198
ˈuː	ˈɑː	0.112
ˈuː	ˈo	0.112
ˈyː	ˈuː	0.33
ˈyː	ˈæːɑ̯	0.287
ˈyː	ˈeːo̯	0.121
ˈyː	ˈyː	0.08
ˈyː	ˈi	0.053
ˈøː	ˈuː	0.459
ˈøː	ˈu	0.293
ˈøː	ˈyː	0.092
ˈøː	ˈiːy̯	0.079
ˈøː	e	0.053
ˈœ	ˈɑ	0.4
ˈœ	ˈi	0.215
ˈœ	ˈoː	0.163
ˈœ	ˈu	0.119
ˈɒ	ˈi	0.305
ˈɒ	ˈæ	0.266
ˈɒ	ˈɑː	0.165
ˈɒ	ˈæɑ̯	0.16
ˈɒ	-	0.104
ˈɒː	ˈɑ	0.334
ˈɒː	ˈæ	0.299
ˈɒː	ˈæː	0.196
ˈɒː	ˈiy̯	0.171
ˈɔ	ˈo	1.0
ˈɔi̯	ˈæː	1.0
ˈɔu̯	ˈo	0.454
ˈɔu̯	ˈoː	0.395
ˈɔu̯	w	0.151
ˈɔː	ˈɑ	0.374
ˈɔː	ˈo	0.245
ˈɔː	ˈe	0.106
ˈɔː	ˈæɑ̯	0.085
ˈɔː	ˈeo̯	0.084
ˈɔː	ˈu	0.075
ˈɛ	ˈeː	0.596
ˈɛ	ˈeo̯	0.202
ˈɛ	ˈi	0.202
ˈɛi̯	j	0.241
ˈɛi̯	ˈeː	0.212
ˈɛi̯	ˈiːy̯	0.129
ˈɛi̯	ˈæːɑ̯	0.129
ˈɛi̯	ˈæː	0.118
ˈɛi̯	ˈeːo̯	0.085
ˈɛi̯	ˈoː	0.085
ˈɛː	ˈe	0.379
ˈɛː	ˈæː	0.324
ˈɛː	ˈæ	0.177
ˈɛː	ˈɑː	0.121
ˈʊ	ˈu	0.472
ˈʊ	ˈɑ	0.128
ˈʊ	ˈi	0.117
ˈʊ	w_ˈu	0.066
ˈʊ	ˈeː	0.055
ˈʊ	ˈɑː	0.054
ˈʏ	ˈeo̯	0.219
ˈʏ	ˈeːo̯	0.219
ˈʏ	ˈi	0.219
ˈʏ	ˈuː	0.136
ˈʏ	ˈy	0.117
ˈʏ	ˈo	0.089
