Zeelandic	Zeelandic	probability
ˈɪ_n	n	1.0
ˈɒː	-	1.0
ˈɑu̯	ˈa_l	1.0
ˈɑ_n	ˈaː	1.0
ˈæi̯	ˈɔe̯	1.0
ˈu	ˈo	1.0
ˈiːə̯	ˈeː	1.0
ɾ_ə	ʕ	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɪ	i	1.0
ə_ɾ	ʌ	1.0
ə_n	a	1.0
ŋ_k	ɡ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x_ɾ	ɡ_ʁ	1.0
w_#>	#>	1.0
v̥_#>	b_#>	1.0
v̥	f	1.0
t_#>	s_#>	1.0
s_x	ʃ	1.0
s_t	ʃ_d	1.0
s_#>	ʃ_#>	1.0
s	ʃ	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_#>	#>	1.0
j	j	1.0
iː	eə̯	1.0
i	ɪ	1.0
d̥_#>	d_#>	1.0
d̥	t	1.0
d	d	1.0
b	b	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_ʦ	1.0
<#	<#_h	1.0
#>	a_#>	1.0
x	ɡ	0.931
ʋ	ʋ	0.9
ˈyː	ˈao̯	0.846
z	s	0.818
v	f	0.818
ˈɑ	ˈa	0.812
n	n	0.811
t_ə	s	0.667
k	kʰ	0.643
ˈeː	-	0.625
ˈʏ	-	0.6
ˈi	ˈəi̯	0.6
x_t	x_d	0.6
p	f	0.6
ˈøː	-	0.571
ˈuː	-	0.571
ˈɪ	ˈi	0.545
ˈɪə̯	ˈɔe̯	0.5
k_ə	ɡ	0.5
k_ə	x	0.5
ˈæ	ˈɛ	0.462
ə	-	0.456
ə	a	0.439
ˈʊə̯	ˈoː	0.438
ˈøː	ˈoː	0.429
ˈuː	ˈuə̯	0.429
t	ʦ	0.429
ɾ	ʕ	0.406
ɾ	ʁ	0.406
ˈʏ	ˈo	0.4
x_t	ç_d	0.4
p	b̥͡f	0.4
ˈɔ	ˈo	0.389
ˈeː	ˈɛ	0.375
t	s	0.357
k	ç	0.357
ˈiː	ˈiə̯	0.333
t_ə	ʣ	0.333
ˈæ	-	0.308
ˈɪə̯	ˈae̯	0.3
ˈɪ	-	0.273
ˈɛː	ˈɔː	0.261
ˈɛː	ˈa	0.261
ˈʊə̯	ˈao̯	0.25
ˈiː	ˈəi̯	0.25
ˈiː	-	0.25
ˈɔ	ˈɔ	0.222
ˈɔ	ˈu	0.222
t	d	0.214
ˈɪə̯	-	0.2
ˈi	ˈɪ	0.2
ˈi	ˈe	0.2
ˈʊə̯	ˈɔ	0.188
ˈɑ	ˈɛ	0.188
ɾ	ʌ	0.188
ˈɪ	ˈe	0.182
z	ʃ	0.182
v	b	0.182
ˈiː	ˈiː	0.167
ˈæ	ˈa	0.154
ˈyː	ˈəi̯	0.154
ˈɛː	ˈɛː	0.13
ˈɛː	ˈɛ	0.13
ˈɛː	ˈaː	0.13
ˈʊə̯	-	0.125
ˈɔ	-	0.111
n	-	0.108
ʋ	ʋ_ˈo	0.1
ˈɛː	ˈoː	0.087
n	a	0.081
ˈæ	ˈʌ	0.077
x	x	0.069
ˈɔ	ˈɔə̯	0.056
