Alsatian	German	probability
ˈəi̯	ˈaɪ̯	1.0
ˈyː	ˈaʊ̯	1.0
ˈo	ˈɔ	1.0
ˈiː_t	ˈaɪ̯_t	1.0
ˈei̯	ˈaɪ̯	1.0
ˈaː	ˈaː	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʃ_t	s_t	1.0
ɡ̊	ɡ	1.0
ə_ʁ	ɐ	1.0
ŋ	ŋ	1.0
x	x	1.0
w	v	1.0
s_ə	s_n	1.0
p͡f	p͡f	1.0
n_t	n_t	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
i	ɪ_ç	1.0
h	h	1.0
f_ə	f_n	1.0
f	f	1.0
<#_n	<#_n	1.0
b̥	b	0.913
ˈɒ	ˈa	0.889
t	t	0.818
ˈe	ˈɛ	0.8
ˈeː	ˈeː	0.75
ʃ	ʃ	0.741
ˈi	ˈɪ	0.704
ˈɒː	ˈaː	0.7
ˈʊː	ˈuː	0.692
ˈoː	ˈoː	0.667
j	ɡ	0.667
ə	n	0.643
ˈu	ˈʊ	0.619
ˈæː	ˈɛː	0.6
ʁ	ʁ	0.588
s	s	0.525
ˈæ	ˈɛ	0.5
ˈæ	ˈeː	0.5
v	ɡ	0.5
v	b	0.5
s	z	0.475
d̥	d	0.457
ʁ	ɐ	0.412
ˈæː	ˈeː	0.4
ˈiː	ˈiː	0.368
ˈoː	ˈaː	0.333
j	j	0.333
ˈʊː	ˈaʊ̯	0.308
ˈɒː	ˈa	0.3
ə	ə_n	0.286
d̥	d̥	0.286
d̥	tʰ	0.257
ˈeː	ˈøː	0.25
ˈiː	ˈɔʏ̯	0.211
ˈe	ˈœ	0.2
ˈu	ˈʏ	0.19
ˈu	ˈɔ	0.19
ʃ	ç	0.185
t	tʰ	0.182
ˈiː	ˈyː	0.158
ˈiː	ˈaɪ̯	0.158
ˈɒ	ˈaː	0.111
ˈi	ˈɔʏ̯	0.111
ˈi	ˈaɪ̯	0.111
ˈiː	ˈɪ	0.105
b̥	b̥	0.087
ˈi	ˈʏ	0.074
ʃ	x	0.074
ə	ə	0.071
