West Flemish	Old English	probability
b	b	0.987
d	d	0.534
d	θ	0.395
d	-	0.06
f	f	0.971
h	-	0.395
h	ç	0.258
h	j	0.19
h	x	0.146
iə̯	iːy̯	1.0
j	j	0.777
j	ˈɑː	0.223
k	ʧ	0.423
k	k	0.423
k	ʤ	0.067
k	ɡ	0.053
l	l	0.92
m	m	0.894
m	i	0.057
n	n	0.936
p	p	0.902
p	pː	0.079
s	s	0.703
s	ʃ	0.125
s	z	0.117
t	t	0.64
t	d	0.311
v	f	0.687
v	v	0.239
w	ɫ	0.788
w	eo̯	0.121
w	w	0.091
z	s	0.895
ç	j	1.0
ŋ	ŋ	1.0
ə	e	0.691
ə	ɑ	0.188
ɦ	ɡ	0.327
ɦ	ɣ	0.245
ɦ	j	0.215
ɦ	ʤː	0.081
ɦ	ʤ	0.065
ɦ	h	0.058
ɪ	i	1.0
ɾ	r	0.894
ʃ	ʃ	1.0
ʋ	w	0.901
ʋ	ʍ	0.099
ˈeː	ˈɑː	0.292
ˈeː	ˈe	0.257
ˈeː	ˈi	0.209
ˈeː	ˈeo̯	0.13
ˈeː	ˈiy̯	0.056
ˈeː	ˈæː	0.056
ˈi	ˈiː	0.769
ˈi	ˈeː	0.178
ˈi	ˈeːo̯	0.052
ˈiə̯	ˈeːo̯	0.543
ˈiə̯	ˈiːy̯	0.213
ˈiə̯	ˈeː	0.06
ˈiə̯	ˈæː	0.059
ˈoː	ˈo	0.354
ˈoː	ˈæːɑ̯	0.338
ˈoː	ˈu	0.091
ˈoː	ˈiːy̯	0.087
ˈu	ˈu	0.527
ˈu	ˈæɑ̯	0.25
ˈu	ˈuː	0.088
ˈu	-	0.069
ˈu	ɫ	0.066
ˈuə̯	ˈoː	0.561
ˈuə̯	ˈeː	0.373
ˈuə̯	ˈuː	0.066
ˈyː	ˈuː	0.833
ˈyː	ˈeːo̯	0.12
ˈæ	ˈi	0.309
ˈæ	ˈe	0.276
ˈæ	ˈeo̯	0.193
ˈæ	-	0.119
ˈæ	ˈæɑ̯	0.08
ˈøː	ˈo	0.594
ˈøː	ˈu	0.406
ˈœ	ˈu	0.361
ˈœ	ˈy	0.34
ˈœ	ˈeo̯	0.157
ˈœ	ˈiː	0.074
ˈœ	ˈeːo̯	0.069
ˈɑ	ˈɑ	0.376
ˈɑ	ˈæɑ̯	0.211
ˈɑ	ˈæ	0.175
ˈɑ	ˈoː	0.169
ˈɒː	ˈæːɑ̯	0.227
ˈɒː	ˈɑː	0.145
ˈɒː	ˈæː	0.144
ˈɒː	ˈɑ	0.143
ˈɒː	ˈæ	0.138
ˈɒː	ˈeo̯	0.074
ˈɒː	ˈæɑ̯	0.068
ˈɔ	ˈo	0.651
ˈɔ	ˈu	0.16
ˈɔ	-	0.078
ˈɛ	ˈi	0.543
ˈɛ	ˈe	0.27
ˈɛ	ˈiː	0.113
ˈɛ	ˈɑː	0.074
ˈɛː	ˈɑː	0.664
ˈɛː	ˈu	0.138
ˈɛː	ˈæː	0.105
ˈɛː	ˈeo̯	0.082
ˈɪ	ˈi	0.899
ˈɪ	ˈy	0.053
