Friulian	Friulian	probability
ˈɔː	w_ˈɛ	1.0
ˈuː_r	ˈu_r	1.0
ˈuː	w_ˈɛ	1.0
ˈoː_#>	ˈo_s_#>	1.0
ˈoː	ˈo_w	1.0
ˈiː_#>	ˈi_#>	1.0
ˈiː	j_ˈɛ	1.0
ˈeː	ˈe_j	1.0
ˈa_ɡ	ˈɛ_ɡ	1.0
ʤ	ʒ	1.0
ɟ	ʥ	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈa	ˈɔ	1.0
t_#>	#>	1.0
t	t	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
r_i	e_r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_t	w_t	1.0
l_i	d_l	1.0
k_w	k	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j	j	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
a_r	r	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_l	1.0
r	r	0.958
l	l	0.934
ˈi	ˈi	0.92
c	ʨ	0.905
a	a	0.889
ˈa	ˈa	0.875
d	d	0.871
e	a	0.857
v	v	0.821
ɡ	ɡ	0.818
ɲ	ɲ	0.8
ˈu	ˈu	0.786
o	o	0.778
ŋ	n	0.731
s	s	0.691
ˈɛ	ˈɛ	0.667
ˈo	ˈo	0.667
z	ʒ	0.667
ˈe	ˈe	0.636
ˈi_n	ˈɛ_n	0.625
i	e	0.621
ˈaː	ˈe	0.615
#>	n_#>	0.6
ˈɔ	ˈɔ	0.556
u	o	0.5
<#_j	<#_l	0.5
<#_j	<#	0.5
#>	m_#>	0.4
ʧ	ʦ	0.389
ˈi_n	n	0.375
w	ˈɔ	0.364
w	w	0.364
ʧ	ʧ	0.333
s	ʃ	0.309
ˈaː	ˈɛ	0.308
ʧ	ʨ	0.278
ˈe	ˈe_j	0.273
w	-	0.273
ŋ	ŋ	0.269
u	u	0.25
u	-	0.25
ˈɔ	ˈɛ	0.222
ˈɔ	ˈe	0.222
z	-	0.222
o	-	0.222
ˈu	-	0.214
i	-	0.207
ˈɛ	ˈe	0.2
ɲ	n	0.2
ɡ	-	0.182
i	i	0.172
ˈɛ	j_ˈɛ	0.133
d	-	0.129
ˈa	ˈɛ	0.125
e	e	0.114
ˈo	ˈɔ	0.111
ˈo	ˈe	0.111
ˈo	-	0.111
z	z	0.111
a	-	0.111
v	w	0.107
c	-	0.095
ˈe	-	0.091
ˈi	ˈɛ	0.08
ˈaː	ˈa	0.077
v	ɡ	0.071
