West Flemish	Proto-Germanic	probability
b	b	1.0
d	θ	0.507
d	d	0.334
d	ð	0.096
d	-	0.041
d	z	0.034
f	β_ɑ	0.341
f	β_ɑ̃	0.297
f	β	0.196
f	pː	0.128
h	x	0.447
h	k	0.228
h	ɣ_ɑ	0.175
h	-	0.08
h	ɣ	0.056
j	j	0.561
j	ˈɑi̯	0.425
k	k	0.685
k	k_s	0.097
k	k_i	0.069
k	ɡ_ɑ	0.059
k	ɡ	0.046
l	l	0.755
l	l_i	0.106
l	z	0.064
l	lː	0.045
l	w	0.033
m	m	0.557
m	m_ɑ	0.376
m	mː	0.065
n	n	0.452
n	n_ɑ̃	0.38
n	n_ɑ	0.069
n	nː	0.041
p	p	0.699
p	pː	0.125
p	z	0.091
p	-	0.07
s	s	0.623
s	s_k	0.224
s	s_ɑ̃	0.085
s	x_s	0.058
t	t	0.59
t	ð_ɑ̃	0.073
t	d_ɑ	0.073
t	d	0.06
t	ɑ_z	0.058
v	ɸ	0.81
v	β	0.166
v	x	0.034
v_ə	ɸ	1.0
w	l	0.283
w	w	0.215
w	u	0.14
z	s	1.0
ç	ɣ	0.493
ŋ	ŋ	0.861
ŋ	n	0.117
ə	ɔːː	0.182
ə	ɔː	0.13
ə	ɔ̃ː	0.124
ə	-	0.116
ə	ɑ	0.11
ɦ	ɣ	0.763
ɦ	ɣ_j	0.159
ɦ	-	0.072
ɪ	i	0.243
ɾ	r	0.667
ɾ	ɛː_r	0.066
ɾ	r_ɑ̃	0.051
ɾ	r_ɑ	0.047
ɾ	-	0.038
ʃ	s	0.805
ʃ	ɸ	0.156
ʋ	w	0.805
ʋ	xʷ	0.133
ʋ	j	0.056
ˈeː	ˈe	0.62
ˈeː	ˈɑi̯	0.177
ˈeː	ˈi	0.089
ˈeː	ˈɑ	0.089
ˈi	ˈiː	0.768
ˈi	ˈi	0.218
ˈiə̯	ˈeu̯	0.304
ˈiə̯	ˈe	0.202
ˈiə̯	ˈiu̯	0.17
ˈiə̯	ˈi_j	0.093
ˈiə̯	ˈiː	0.052
ˈoː	ˈɑu̯	0.558
ˈoː	ˈu	0.41
ˈoː	u	0.037
ˈu	ˈɑ_l	0.351
ˈu	ˈu	0.299
ˈu	x_ˈu	0.165
ˈu	ˈɑ	0.09
ˈu	ˈuː	0.038
ˈuə̯	ˈɔː	0.825
ˈuə̯	ˈuː	0.097
ˈuə̯	ˈɔ	0.076
ˈyː	ˈuː	0.609
ˈyː	wː	0.149
ˈyː	ˈiu̯	0.149
ˈyː	ˈiː	0.074
ˈæ	ˈe	0.539
ˈæ	ˈi	0.126
ˈæ	-	0.126
ˈæ	ˈɑ	0.126
ˈæ	ˈɑi̯	0.07
ˈøː	ˈu	0.337
ˈøː	ˈɑ	0.222
ˈœ	ˈu	0.498
ˈœ	ˈeu̯	0.238
ˈœ	w	0.111
ˈœ	ˈi	0.111
ˈɑ	ˈɑ	1.0
ˈɒː	ˈɑ	0.538
ˈɒː	ˈɛː	0.251
ˈɒː	ɑ	0.152
ˈɒː	ˈe	0.057
ˈɔ	ˈu	0.728
ˈɔ	ˈɑ	0.199
ˈɔ	-	0.065
ˈɛ	ˈi	0.339
ˈɛ	ˈɑ	0.295
ˈɛ	ˈɑi̯	0.127
ˈɛ	ˈe	0.09
ˈɛ	ˈiː	0.066
ˈɛː	ˈɑi̯	0.871
ˈɛː	ˈe	0.129
ˈɪ	ˈi	0.655
ˈɪ	ˈu	0.098
ˈɪ	-	0.093
ˈɪ	ˈɑ	0.074
ˈɪ	ˈe	0.057
ˈʏ	ˈu	0.493
