Old English	West Frisian	probability
a	-	1.0
b	b	0.98
bː	v	1.0
d	t	0.481
d	d	0.416
d	-	0.104
dː	d	1.0
e	ə	0.687
e	-	0.174
e	j	0.08
e	ˈuː	0.059
eo̯	-	1.0
f	f	0.973
h	h	1.0
i	j	0.42
i	ə	0.277
i	ɪ	0.173
i	-	0.13
iː	ɪ	1.0
iːy̯	ɪ	1.0
j	j	0.359
j	ˈɛi̯	0.278
j	ɡ	0.206
j	χ	0.116
k	k	0.924
k	-	0.065
kː	k	1.0
l	l	1.0
lː	l	1.0
l̥	l	1.0
m	m	0.967
mː	m	1.0
n	n	0.98
nː	n	1.0
o	ə	0.636
o	-	0.364
p	p	1.0
pː	p	1.0
r	r	0.876
r	-	0.122
rː	r	1.0
r̥	r	1.0
s	s	0.954
t	t	0.91
tː	t	1.0
v	-	0.67
v	v	0.33
w	ʋ	0.427
w	v	0.348
w	-	0.177
x	χ	1.0
z	s	0.589
z	z	0.411
ç	χ	1.0
ð	-	0.754
ð	d	0.246
ŋ	ŋ	0.954
ɑ	ə	0.88
ɑ	j_ə	0.084
ɡ	ɡ	0.848
ɡ	-	0.152
ɣ	ɣ	0.498
ɣ	χ	0.428
ɣ	-	0.075
ɫ	l	0.929
ɫ	-	0.054
ʃ	s	1.0
ʃː	s	1.0
ʍ	v	0.602
ʍ	ʋ	0.398
ʤ	χ	0.696
ʤ	ɣ	0.304
ʤː	z	1.0
ʧ	k	0.765
ʧ	ʦ	0.235
ʧː	k	1.0
ˈe	-	0.233
ˈe	ˈa	0.201
ˈe	ˈɪə̯	0.185
ˈe	ˈɪ	0.155
ˈe	ˈɛ	0.062
ˈeo̯	ˈɛ	0.341
ˈeo̯	ˈiə̯	0.239
ˈeo̯	ˈø	0.187
ˈeo̯	ˈɛː	0.157
ˈeː	ˈiə̯	0.309
ˈeː	ˈɪ	0.227
ˈeː	ˈi	0.214
ˈeː	ˈɛi̯	0.119
ˈeː	ˈɪə̯	0.075
ˈeː	ˈɵ	0.056
ˈeːo̯	j	0.246
ˈeːo̯	ˈɪə̯	0.14
ˈeːo̯	ˈiə̯	0.099
ˈeːo̯	ˈɛ_j	0.09
ˈeːo̯	ˈɪ	0.09
ˈeːo̯	ˈeː	0.065
ˈeːo̯	ˈøə̯	0.065
ˈeːo̯	ˈyː	0.06
ˈeːo̯	ˈiː	0.051
ˈi	ˈɪ	0.449
ˈi	ˈiː	0.15
ˈi	ˈi	0.116
ˈi	j_ˈɔ	0.077
ˈi	ˈɛ	0.062
ˈiy̯	ˈa	0.597
ˈiy̯	ˈaː	0.319
ˈiy̯	ˈi	0.085
ˈiː	ˈiː	0.452
ˈiː	ˈi	0.421
ˈiː	ˈuː	0.084
ˈiːy̯	j	0.357
ˈiːy̯	ˈiə̯	0.266
ˈiːy̯	ˈɪə̯	0.217
ˈiːy̯	ˈɛ	0.095
ˈiːy̯	ˈiː	0.066
ˈo	ˈoə̯	0.65
ˈo	ˈɔ	0.156
ˈo	ˈuə̯	0.117
ˈo	ˈuː	0.054
ˈoː	ˈuə̯	0.534
ˈoː	ˈoə̯	0.319
ˈoː	ˈoː	0.11
ˈu	ˈɔ	0.459
ˈu	ˈu	0.228
ˈu	ˈy	0.094
ˈu	ˈɪ	0.075
ˈu	ˈoə̯	0.072
ˈu	ˈuː	0.072
ˈuː	ˈuː	0.58
ˈuː	ˈoː	0.193
ˈuː	ˈyː	0.12
ˈuː	ˈuə̯	0.107
ˈy	ˈɪ	0.475
ˈy	ˈɛː	0.166
ˈy	-	0.165
ˈy	ˈeː	0.099
ˈy	ˈy	0.095
ˈyː	ˈuː	0.482
ˈyː	ˈɪ	0.322
ˈyː	ˈuə̯	0.196
ˈæ	-	0.33
ˈæ	ˈɛː	0.235
ˈæ	ˈa	0.205
ˈæ	ˈaː	0.129
ˈæ	ˈɪ	0.052
ˈæ	ˈɛ	0.05
ˈæɑ̯	ˈɛː	0.209
ˈæɑ̯	ˈɪə̯	0.184
ˈæɑ̯	ˈa	0.162
ˈæɑ̯	ˈaː	0.157
ˈæɑ̯	ˈɛ	0.157
ˈæɑ̯	ˈɔː	0.131
ˈæː	ˈaː	0.433
ˈæː	ˈiə̯	0.399
ˈæː	ˈø	0.103
ˈæːɑ̯	ˈɪə̯	0.508
ˈæːɑ̯	ˈaː	0.194
ˈæːɑ̯	ˈiə̯	0.116
ˈæːɑ̯	ˈeː	0.065
ˈæːɑ̯	ˈɛ	0.065
ˈæːɑ̯	ˈuː	0.053
ˈɑ	ˈa	0.508
ˈɑ	ˈɔː	0.341
ˈɑ	ˈaː	0.137
ˈɑː	ˈiə̯	0.542
ˈɑː	ˈɪə̯	0.197
ˈɑː	ˈɪ	0.052
ˈɑː	ˈoə̯	0.051
ˈɛ	ˈɛ	1.0
θ	t	0.509
θ	d	0.278
θ	ʦ	0.15
θ	-	0.063
