Western Lombard	Ligurian	probability
b	b	1.0
i	e	1.0
w	w	1.0
z	ʒ	1.0
ɡ	ɡ	1.0
ʦ	s	1.0
ˈãː	ˈa_ŋ	1.0
ˈẽː	ˈe	1.0
ˈĩː	ˈi_ŋ	1.0
ˈũː	ˈu_ŋ	1.0
ˈy	ˈy	1.0
ˈø	ˈø	1.0
ˈøː	ˈøː	1.0
k	ɡ_u	0.11
l	l_u	0.251
l	l	0.561
s	ʃ	0.131
t	d	0.061
t	t	0.61
ɲ	ɲ_u	0.601
ˈa	ˈɛː	0.121
ˈe	ˈe	0.711
ˈɛ	ˈɛː	0.331
a	-	0.072
a	a	0.902
d	d	0.692
e	-	0.232
s	ʒ_e	0.202
u	w	0.152
ʋ	v	0.982
ˈu	ˈu	0.372
ˈyː	ˈuː	0.092
ˈɛ	ˈeː	0.222
m	m_e	0.123
s	s	0.593
t	t_e	0.053
ʤ	z	0.623
ʧ	s	0.633
ˈa	ˈa	0.373
e	j	0.174
e	e	0.594
l	-	0.154
n	ŋ	0.244
s	s_u	0.074
ˈaː	ˈaː	0.784
ˈɔ	ˈɔ	0.14
f	v_e	0.185
r	-	0.195
t	t_u	0.275
ˈa	ˈaː	0.505
ˈi	ˈiː	0.465
ˈi	ˈi	0.535
j	-	0.546
n	n	0.756
ˈaː	ˈɛː	0.216
ˈɔ	ˈɔː	0.86
f	f	0.787
j	j	0.437
m	m	0.877
ʤ	ʤ	0.377
ˈɛ	ˈɛ	0.097
d	-	0.308
p	p	0.968
u	u	0.848
ʧ	t_e	0.138
ˈu	ˈuː	0.628
ˈyː	ˈyː	0.908
k	k	0.869
r	r	0.719
ɲ	ɲ	0.399
ʧ	ʤ_u	0.229
ˈe	ˈeː	0.289
ˈɛ	ˈe	0.339
