Slovenian	Standard Croatian	probability
́	̂	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː	e	1.0
ə_w	a_o	1.0
ə_n	a_n	1.0
ə_k	a_k	1.0
z	z	1.0
w	-	1.0
uː	uː	1.0
u	u	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r_j	r	1.0
p	p	1.0
oː_́	uː	1.0
oː_̀	o_̂	1.0
o	o	1.0
m	m	1.0
k	k	1.0
j	-	1.0
iː_̀	i_̂	1.0
i	i	1.0
eː_̀	j	1.0
d	d	1.0
b	b	1.0
aː_́	aː	1.0
aː_̀	a_̂	1.0
aː	aː	1.0
a_t	a_t	1.0
a	a	1.0
n	n	0.927
x	x	0.876
l	l	0.874
iː	iː	0.82
̀	̌	0.795
ʋ	ʋ	0.791
r	r	0.736
ɔ	o	0.711
ɛ	e	0.672
eː_́	eː	0.65
e	e	0.6
ʧ	ʨ	0.586
ə	a	0.556
ɔː	o	0.481
eː	j_eː	0.474
ʧ	ʧ	0.414
e	eː	0.4
oː	oː	0.393
eː_́	e	0.35
ɔː	uː	0.312
r	-	0.264
ə	r̩	0.258
oː	uː	0.253
oː	o	0.247
eː	eː	0.237
ɔː	u	0.207
eː	e	0.192
ɔ	oː	0.191
ʋ	ʋ_j	0.187
iː	i	0.18
̀	̂	0.159
ə	r̩ː	0.127
x	k	0.124
ɛ	j_e	0.123
ɛ	a	0.123
oː	u	0.108
ɔ	-	0.099
eː	j	0.097
ɛ	e_̌	0.083
n	ɲ	0.073
l	ʎ	0.072
ə	eː	0.06
l	-	0.054
