Limburgish	Limburgish	probability
ˈʏː	ˈʏ	1.0
ˈʏ	-	1.0
ˈʊː_n	n	1.0
ˈʊ	ˈʊ	1.0
ˈɪː_n	n	1.0
ˈɛːi̯	-	1.0
ˈɛ_j	ˈi	1.0
ˈɛ	-	1.0
ˈɔu̯	-	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈoː	-	1.0
ˈeː_ʀ	ʀ	1.0
ˈaː_t	ˈɒː_d	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɦ	h	1.0
ɣ̊_#>	#>	1.0
ɡ	d	1.0
ə_ɣ̊	i	1.0
ə_v̥	v_ə	1.0
ə_l	ə_l	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
w	lʲ	1.0
v̥	v̥	1.0
v_ə	v_ə	1.0
v	f	1.0
n_d̥	nʲ	1.0
n_d	n	1.0
m	m	1.0
l_ˈeː	l_ˈiː	1.0
j_#>	#>	1.0
j	-	1.0
i	ɛi̯	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_β	<#	1.0
<#_ʀ	<#_ʀ	1.0
#>	n_#>	1.0
z	s	0.92
k	k	0.9
β	v	0.889
p	p	0.857
l	l	0.85
ə	ə	0.818
n	n	0.806
ʀ	ʀ	0.803
x	x_t	0.778
t	t	0.744
ˈiː	ˈi	0.727
ˈœ	-	0.667
ˈu	ˈyː	0.667
ˈuː	ˈʏ	0.636
d	d	0.621
ˈæː	ˈeː	0.6
ˈæ	-	0.6
d̥	d̥	0.562
<#	<#_j	0.556
ɣ	ɡ	0.55
ˈøː	-	0.545
s	s	0.52
ˈɛː	ˈiː	0.5
ˈyː	ˈiː	0.5
ˈyː	-	0.5
ˈi	ˈiː	0.5
ʀ_ə	ʀ_n	0.5
ʀ_ə	ʀ	0.5
k_#>	x_#>	0.5
k_#>	#>	0.5
ˈaː	-	0.467
ˈɪ	ˈa	0.429
ˈɑː	ˈœ	0.429
ˈɒː	-	0.4
ˈæː	-	0.4
ˈæ	ˈeː	0.4
ˈɑ	-	0.385
ˈɪː	ˈi	0.375
ˈɪː	-	0.375
ˈɔː	ˈuː	0.375
ˈɔː	-	0.375
ˈɔ	ˈʊ	0.375
ˈɔ	ˈɔː	0.375
ˈʊː	ˈʊ	0.333
ˈœ	ˈeː	0.333
ˈu	-	0.333
ɣ̊	ˈɛi̯	0.333
ɣ̊	ç	0.333
ɣ̊	x	0.333
d	t	0.31
ˈɑ	ˈɒː	0.308
ˈɑ	ˈɒ	0.308
ˈi	-	0.3
ˈʊː	-	0.286
ˈɪ	ˈɒ	0.286
ˈɪ	-	0.286
ˈɑː	ˈɒ	0.286
ˈɑː	-	0.286
s	ʃ	0.28
ˈøː	ˈɛ	0.273
ˈiː	ˈiː	0.273
ˈɪː	ˈai̯	0.25
ˈɛː	-	0.25
ˈɔː	ˈœ	0.25
ˈɔ	-	0.25
ɣ	j	0.25
d̥	dʲ	0.25
ˈeː	ˈiː	0.238
x	k	0.222
<#	<#_ˈa	0.222
<#	<#_ʃ	0.222
t	tʲ	0.205
ˈɒː	ˈɛi̯	0.2
ˈɒː	ˈɔː	0.2
ˈɒː	ˈɔu̯	0.2
ˈi	ˈa	0.2
s	s_t	0.2
ˈʊː	ˈɔ	0.19
ˈʊː	ˈœ	0.19
d̥	z̥	0.188
ˈøː	ˈɔu̯	0.182
ˈuː	ˈuː	0.182
ˈuː	-	0.182
ə	-	0.152
ɣ	-	0.15
ˈeː	j	0.143
ˈeː	-	0.143
p	-	0.143
n	nʲ	0.139
ˈaː	ˈʊ	0.133
ˈaː	ˈɛː	0.133
ˈaː	ˈœ	0.133
ˈaː	ˈuː_l	0.133
ˈɛː	ˈi	0.125
ˈɛː	ˈaː	0.125
β	ˈuː	0.111
k	-	0.1
ˈeː	ˈɛː_d	0.095
ˈeː	ˈɛː	0.095
ˈeː	ˈɔː	0.095
ˈeː	ˈa	0.095
ˈeː	j_ˈa	0.095
z	-	0.08
l	lʲ	0.075
l	-	0.075
d	-	0.069
n	-	0.056
t	z	0.051
