Dutch	Bokmål Norwegian	probability
b	b	0.939
b	-	0.061
d	d	0.5
d	tʰ	0.31
d	-	0.183
f	-	0.438
f	ʋ	0.428
f	m	0.109
j	ˈʊ	0.574
j	-	0.277
k	kʰ	0.468
k	k	0.406
k	-	0.065
k	ç	0.05
l	l	0.78
l	lː	0.219
m	m	0.827
m	mː	0.147
m	-	0.035
n	-	0.57
n	n	0.344
n	nː	0.083
n_d	nː	1.0
n_t	nː	1.0
p	p	0.771
p	-	0.131
p	pʰ	0.087
s	s	0.656
s	s_k	0.164
s	sː	0.083
s	ʃ	0.048
s	k_s	0.042
t	t	0.323
t	-	0.315
t	d	0.14
t	tʰ	0.132
t	tː	0.039
v	f	0.763
v	ʋ	0.141
v	-	0.079
w	-	0.574
w	ˈøː	0.277
z	s	0.959
z	ʂ	0.046
ŋ	ŋː	0.81
ŋ	ə	0.108
ŋ	ŋ	0.077
ŋ_k	kː	1.0
ə	ə	0.596
ə	-	0.355
ə	i	0.033
ɦ	h	0.988
ɦ	-	0.031
ɪ	ŋ	0.574
ɪ	ɪ	0.277
ɫ	l	0.801
ɫ	lː	0.127
ɫ	-	0.036
ɫ	nː	0.036
ɾ	ɾ	0.891
ɾ	-	0.054
ɾ_n	ɳ	0.482
ʋ	ʋ	0.642
ʋ	-	0.354
ˈaː	ˈoː	0.523
ˈaː	ˈɑː	0.119
ˈaː	ˈɔ	0.082
ˈaː	ˈæɪ̯	0.066
ˈaː	ˈuː	0.065
ˈeː	ˈeː	0.31
ˈeː	ˈiː	0.152
ˈeː	ˈæɪ̯	0.152
ˈeː	ˈʉː	0.098
ˈeː	j	0.085
ˈi	ˈyː	0.492
ˈi	ˈeː	0.142
ˈi	ˈiː	0.121
ˈi	ˈʉː	0.08
ˈi	ˈæː	0.08
ˈoː	ˈøː	0.299
ˈoː	ˈuː	0.223
ˈoː	ˈœ	0.127
ˈoː	ˈʊ	0.094
ˈoː	ˈoː	0.082
ˈoː_t	ˈøː	1.0
ˈu	ˈuː	0.681
ˈu	ˈœ	0.108
ˈu	ˈʉː	0.082
ˈu	ˈøː	0.08
ˈu_d	ˈuː	1.0
ˈyː	ˈyː	0.482
ˈyː	ˈɪ	0.054
ˈøː	ˈeː	1.0
ˈœy̯	ˈʉː	0.735
ˈœy̯	ˈʉ	0.165
ˈœy̯	ˈʏ	0.075
ˈɑ	ˈɑ	0.652
ˈɑ	ˈɛ	0.168
ˈɑ	ˈɑː	0.113
ˈɑ	-	0.04
ˈɑ	ˈoː	0.035
ˈɑu̯	ˈɑ	0.594
ˈɑu̯	lː	0.392
ˈɔ	ˈʉ	0.386
ˈɔ	-	0.127
ˈɔ	ˈœ	0.127
ˈɔ	ˈɔ	0.11
ˈɔ	ˈʊ	0.11
ˈɛ	ˈɛ	0.39
ˈɛ	ˈœ	0.133
ˈɛ	ˈøː	0.076
ˈɛ	ˈɑː	0.076
ˈɛ	ˈæɪ̯	0.062
ˈɛi̯	ˈiː	0.659
ˈɛi̯	ˈæɪ̯	0.2
ˈɛi̯	ˈɛ	0.129
ˈɪ	ˈɪ	0.547
ˈɪ	ˈiː	0.171
ˈɪ	ˈʉː	0.073
ˈɪ	ˈʏ	0.058
ˈɪ	ˈeː	0.058
ˈʏ	ˈʏ	0.616
ˈʏ	ˈʉ	0.171
ˈʏ	ˈœ	0.102
χ	-	0.36
χ	ɡ	0.325
χ	j	0.135
χ	ɡː	0.092
χ	k	0.058
χ_t	tː	1.0
