Aragonese	Aragonese	probability
ˈu_ɾ	ˈy	1.0
ˈu_j	ˈy	1.0
ˈo_ɾ	ˈu	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈi_ɾ	e	1.0
ˈi_n	ˈi	1.0
ˈe_ɾ	e	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_m	ˈa_m	1.0
ˈa	ˈa	1.0
ʧ	ʒ	1.0
ʝ_o_#>	j_#>	1.0
ʝ	-	1.0
ʎ_o_#>	t_#>	1.0
ʃ	ʃ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_o	e	1.0
ɾ_n_o_#>	r_#>	1.0
ɾ_e	e	1.0
ɾ_a	ɾ_ɔ	1.0
ɾ_#>	#>	1.0
ɲ	ɲ	1.0
ɣ_ˈa	ʤ	1.0
ɣ_o_#>	k_#>	1.0
ɣ	ɣ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈa	ˈa	1.0
t_o_#>	#>	1.0
s_a	z_ɔ	1.0
s_#>	s_#>	1.0
r	a_r	1.0
p_o	s	1.0
p	p	1.0
o_l	u_l	1.0
o_#>	#>	1.0
n_w	n_ˈa	1.0
n_o	ŋ	1.0
n_#>	ŋ_#>	1.0
l_o_#>	w_#>	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
e_ʝ	ˈe_ð	1.0
e_#>	#>	1.0
d_o	w	1.0
d	d	1.0
b_ɾ_e_#>	#>	1.0
b_ɾ	i	1.0
b	b	1.0
a_ð	a	1.0
a_n	a_n	1.0
a_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
m	m	0.966
f	h	0.95
ˈi	ˈi	0.913
s	s	0.905
<#_l	<#_l	0.889
t	t	0.853
w	w	0.846
β	β	0.818
n	n	0.808
ʎ	ʎ	0.789
ˈu	ˈy	0.714
#>	t_#>	0.714
a	ɔ	0.705
l	l	0.7
ˈe	ˈe	0.694
ɡ	ɡ	0.667
e	e	0.654
u	u	0.625
ɾ	ɾ	0.611
w_ˈe	ˈɔ	0.6
<#	<#_e	0.6
θ	ʦ	0.533
ð	ð	0.529
ˈo	ˈu	0.484
j	j	0.464
w_ˈe	ˈu	0.4
i	i	0.4
<#	<#_a	0.4
j	-	0.357
o	u	0.35
ɾ	r	0.333
ɡ	k	0.333
i	e	0.3
i	-	0.3
ð	t	0.294
ˈu	ˈu	0.286
#>	r_#>	0.286
a	a	0.269
θ	z	0.267
u	-	0.25
o	w	0.25
o	-	0.25
θ	s	0.2
ˈo	ˈɔ	0.194
n	-	0.192
e	-	0.192
β	-	0.182
ð	-	0.176
l	-	0.167
ʎ	l	0.158
w	-	0.154
e	ˈe	0.154
o	e	0.15
ˈe	ˈɛ	0.143
l	w	0.133
u	y	0.125
<#_l	<#_ʎ	0.111
j	ˈɛ	0.107
ˈo	ˈa_w	0.097
ˈo	w	0.097
s	z	0.095
t	w_t	0.088
ˈi	-	0.087
ˈe	j	0.082
ˈe	-	0.082
j	ˈe_j	0.071
ˈo	ˈy	0.065
ˈo	ˈa	0.065
t	-	0.059
ɾ	ˈa	0.056
ʎ	lː	0.053
