German	Wymysorys	probability
ˈʏ	ˈɘ̟	1.0
ˈɔʏ̯	ˈɑi̯	1.0
ˈyː	ˈi	1.0
ˈaː_ɡ	ˈi̯ø	1.0
ˈaʊ̯	ˈɑi̯	1.0
ˈa_ɐ	ˈi̯ø	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʁ	r	1.0
ɪ	ɪ	1.0
ɡ̊	ɡ̊	1.0
ɡ_ə	ɡ̊	1.0
ɡ_n	n	1.0
ə_n	a	1.0
ŋ	ŋ	1.0
z_ə	s	1.0
z	z	1.0
x	x	1.0
v	v	1.0
tʰ	t	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n_ɪ	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
l_ə_#>	w_#>	1.0
kʰ	k	1.0
k_ə_#>	k_#>	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b̥	b̥	1.0
b_n	n	1.0
<#_n	<#_n	1.0
#>	w_#>	1.0
ˈɪ	ˈɘ̟	0.889
b	b	0.842
ˈiː	ˈi	0.833
d̥	d̥	0.833
ˈuː	ˈy	0.818
ɡ	ɡ	0.812
l	w	0.805
ˈɔ	ˈu	0.8
ə	-	0.75
ç	x	0.733
ˈoː	ˈu	0.727
ˈʊ	ˈu	0.7
n	n	0.667
ˈa	ˈɑ	0.654
ˈaɪ̯	ˈai̯	0.542
ɐ	ɛ_r	0.5
ˈeː	ˈɑ	0.417
ɐ	r	0.406
ˈaɪ̯	ˈa	0.375
ˈɛ	ˈɛ	0.364
ˈɛ	ˈɑ	0.364
ˈaː	ˈø	0.364
ˈaː	ˈo	0.364
n	a	0.333
ˈʊ	ˈʏ	0.3
ˈɛ	ˈa	0.273
ˈoː	ˈø	0.273
ˈaː	ˈɔ	0.273
ˈa	ˈɔ	0.269
ˈeː	ˈei̯	0.25
ə	a	0.25
ˈɔ	ˈɔ	0.2
ɡ	ɟ	0.188
ˈuː	ˈi	0.182
ˈiː	ˈei̯	0.167
ˈeː	ˈi	0.167
ˈeː	ˈa	0.167
d̥	t	0.167
b	v_ɛ	0.158
l	l	0.146
ç	ɡ̊	0.133
ç	k	0.133
ˈɪ	ˈei̯	0.111
ɐ	ə	0.094
ˈaɪ̯	ˈɛ	0.083
ˈa	ˈɛ	0.077
