Upper Sorbian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʥ	d	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʀ_ɪ	ə_r	1.0
ʀ_ɔ	r_aː	1.0
ʀ	r	1.0
ɥ_a	ʋ_eː	1.0
ɥ	ʋ	1.0
z̥	z̥	1.0
z	z	1.0
xʲ	́_x	1.0
x_#>	ɡ̊_#>	1.0
x	x	1.0
w_ɪ	w	1.0
t_ɔ	t_ɔ	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	ə_k	1.0
k	k	1.0
i_#>	#>	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
<#_ʨ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_x	<#_x	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	ɡ̊_#>	1.0
ɦ	ɡ	0.875
t	t	0.857
l	l	0.714
ʀʲ	r	0.7
<#_w	<#	0.688
a	a	0.659
j	j	0.636
ʦ	ʦ	0.6
n_ɪ	n	0.6
ɲ	n	0.571
o	oː_́	0.571
ʨ	t	0.562
ɔ_#>	ɛ_#>	0.5
ɔ_#>	#>	0.5
ʨ	t_i	0.438
ɲ	́_n	0.429
ʦ	ʧ	0.4
n_ɪ	ə_n	0.4
i	iː	0.4
e	eː_́	0.4
w	l	0.385
j	-	0.364
ɛ	ɛ	0.346
ʃ	ʃ	0.333
ʃ	r	0.333
ʃ	-	0.333
ɪ	-	0.333
<#_w	<#_ʋ	0.312
w	ʋ	0.308
ʀʲ	̀_r	0.3
i	iː_́	0.3
i	i	0.3
l	w	0.286
e	eː	0.28
u	uː	0.25
u	oː	0.25
w	́_w	0.231
a	aː_̀	0.227
o	aː_́	0.214
o	-	0.214
ɔ	oː_́	0.196
ɔ	ɔ	0.174
ɪ	iː_̀	0.167
ɪ	iː	0.167
ɛ	ɛː	0.154
ɛ	eː_̀	0.154
ɛ	eː	0.154
u	oː_̀	0.15
u	-	0.15
t	t_ə	0.143
ɔ	ɔː_̀	0.13
ɦ	-	0.125
e	ə_́	0.12
e	e	0.12
ɛ	ə	0.115
ɪ	ə	0.111
ɪ	i	0.111
ɪ	eː_́	0.111
ɔ	ə	0.109
ɔ	ɔː	0.109
u	ʋ	0.1
u	u	0.1
ɔ	oː_̀	0.087
e	-	0.08
ɛ	-	0.077
w	w	0.077
a	-	0.068
ɔ	o	0.065
