Catalan	Italian	probability
d	d	1.0
f	f	1.0
i	i	1.0
j	-	1.0
z	z	1.0
ð	t	1.0
b	b	0.381
k	kː	0.1
l	l_o	0.11
u	o	0.841
w	v_e	0.151
ə	o	0.081
ɡ	k	0.071
ɣ	-	0.291
ɣ	k	0.31
ɾ	e_r	0.1
ʎ	ʎː	0.081
ʎ	lː_o	0.21
ˈa	ˈa_r	0.161
ˈa	ˈa	0.741
ˈe	ˈa	0.101
ˈɔ	ˈo	0.251
s	ʧː	0.102
s	s	0.562
t	tː_e	0.132
u	u	0.112
w	ʧ_e	0.152
w	w	0.212
ɡ	ɡ	0.902
ʃ	sː_o	0.192
ʒ	ʤː	0.072
ˈo	ˈu	0.142
b	v	0.613
k	k_o	0.073
m	m_e	0.123
n	n	0.753
r	r	0.863
s	-	0.13
ŋ	ŋ_k	0.143
ŋ	ŋ_ɡ	0.143
ɲ	nː	0.083
ɲ	ɲː	0.563
ˈi	ˈi	0.663
ˈo	ˈo_r	0.153
ˈɔ	ˈɔ	0.503
ˈɛ	ˈo	0.073
p	p	0.964
t	t_o	0.104
w	-	0.084
ŋ	ŋ	0.714
ʎ	kː_j	0.074
ˈi	ˈɛ	0.154
ˈɛ	ˈɛ	0.374
l	l_e	0.105
s	ʧ	0.15
t	tː_o	0.15
w	d_e	0.095
ˈe	ˈɛ	0.545
ˈi	ˈi_n	0.095
β	b	0.095
k	k	0.746
l	j	0.276
n	n_t	0.226
w	ʦː_o	0.106
ɲ	n	0.106
ɾ	-	0.116
ɾ	r	0.736
ʎ	lː	0.086
ʎ	l	0.466
ˈo	ˈo_n	0.166
ˈu	ˈo	0.126
ˈɔ	w_ˈɔ	0.246
β	p	0.506
r	r_o	0.107
t	t	0.457
w	o	0.057
ə	a	0.697
ˈa	ˈa_n	0.087
ˈu	ˈu	0.677
ˈɛ	ˈe	0.457
t	tː	0.088
w	e	0.128
ɲ	ɲː_o	0.248
ʃ	ʃː	0.808
ʒ	ʤ	0.928
ˈi	ˈi_r	0.088
ˈu	ˈɔ	0.168
β	v	0.398
l	lː	0.159
l	l	0.349
m	m	0.839
ə	e	0.149
ɣ	ɡ	0.399
ʎ	-	0.059
ˈe	ˈe	0.319
ˈo	ˈo	0.509
