Zeelandic	Middle High German	probability
ˈɒː	ˈɑ	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈɑ	ˈɑ	1.0
ˈæi̯	ˈei̯	1.0
ˈoː	ˈo	1.0
ˈiːə̯	ˈɛ_h	1.0
ʋ	w	1.0
ɪ	ə	1.0
ə_ɫ	ə_l	1.0
ŋ_k	ɡ̊	1.0
z̥	s	1.0
z_ə	s_ə	1.0
x_t	x_t	1.0
w	w	1.0
v_ə	b_ə	1.0
v	v	1.0
s_x	ʃ	1.0
s_t	s_t	1.0
m	m	1.0
l	l	1.0
iː	ɛ	1.0
i	ˈo_n	1.0
d̥	d̥	1.0
b	b	1.0
ɾ	r	0.998
ɫ	l	0.962
d	d	0.877
z	s	0.836
n	n	0.806
ˈyː	ˈuː	0.765
v̥	b̥	0.764
x	ɡ	0.737
ˈuː	ˈuə̯	0.701
ˈu	ˈu	0.644
ˈɪ	ˈi	0.625
ˈiː	ˈiə̯	0.613
ˈi	ˈi	0.611
ŋ	ŋ	0.597
ˈɛː	ˈɑː	0.591
ˈɪə̯	ˈei̯	0.588
j	-	0.574
p	f	0.555
ˈøː	-	0.549
ə	ə	0.547
ˈeː	ˈɛ	0.5
s	ʃ	0.5
ˈɔ	ˈu	0.459
ˈøː	ˈu	0.451
j	j	0.426
t	ʦ	0.413
ŋ	ŋ_ɡ	0.403
k	kʰ	0.391
ˈi	ˈiː	0.389
ˈæ	ˈɛ	0.388
ˈɛː	ˈɑ	0.38
ˈu	ˈuə̯	0.356
ˈʊə̯	ˈoː	0.34
ˈeː	-	0.331
ˈʏ	ˈu	0.324
s	ʃː	0.315
ˈɔ	-	0.31
ˈʊə̯	ˈo	0.303
ˈuː	ˈyə̯	0.299
p	p͡f	0.266
ˈʏ	ˈy	0.25
ˈʏ	ˈo	0.25
ˈɪ	-	0.25
ˈʊə̯	ˈou̯	0.248
v̥	f	0.236
ˈæ	ˈɑ	0.235
ˈæ	ˈe	0.235
ˈɔ	ˈo	0.232
ˈɪə̯	-	0.226
t	t	0.225
k	xː	0.216
ə	-	0.215
ˈiː	ˈyː	0.213
ə	ə_n	0.199
ˈɪə̯	ˈeː	0.186
s	s	0.185
t	s̻ː	0.182
ˈʏ	-	0.176
ˈiː	-	0.175
ˈeː	ˈi	0.169
z	ʃ	0.164
k	k	0.149
ˈæ	ˈi	0.142
x	kː	0.137
k	kː	0.136
t	s̻	0.13
ˈɪ	ˈy	0.125
d	t	0.123
ˈyː	ˈyː	0.118
ˈyː	-	0.118
k	ɡ̊	0.108
p	fː	0.091
p	p	0.088
n	-	0.076
ˈʊə̯	ˈøː	0.072
x	x	0.067
n	h_ə	0.061
x	-	0.058
n	nː	0.058
t	ʦː	0.051
