Slovenian	Slovenian	probability
̀_r	r	1.0
̀_l	d_l	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ_ĭ	1.0
ʒ	ʒ	1.0
ʋ_#>	v_ŭ_#>	1.0
ʃ	-	1.0
ɡ̊	ɡ_ŭ	1.0
ɡ	ɡ	1.0
ɛː_̀	e	1.0
ɛː	ẽ	1.0
ə_w	l_ĭ	1.0
ə_r	r_ŭ	1.0
ɔː_̀	o	1.0
ɔ_#>	o_#>	1.0
z̥	z_ŭ	1.0
u	uː_̂	1.0
t_a	t_a	1.0
s_a	s_a	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r_aː	oː	1.0
p	p	1.0
oː_́	o	1.0
oː_̀	o_̌	1.0
o	o_̂	1.0
m	m	1.0
l_eː	l	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
iː_̀	i	1.0
i_́	ɨ_ˀ	1.0
i	i	1.0
eː_́	e	1.0
eː_̀	ɛː	1.0
d̥	d_ŭ	1.0
d	d	1.0
b̥	b_ŭ	1.0
b	b	1.0
aː_́	̂	1.0
<#_ʋ	<#_v	1.0
<#_ɔː	<#_o	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
a	a	0.929
n	n	0.882
ʋ	v	0.867
z	z	0.867
uː	uː	0.833
l	l	0.824
x	x	0.778
t	t	0.778
r	r	0.741
ɛ	e	0.714
ɔ	o	0.714
aː_̀	a_ˀ	0.714
w	l_ŭ	0.636
̀_d	̌_d	0.6
ʧ	ʧ	0.6
ə	-	0.6
̀_t	̌_t	0.571
̀	-	0.571
́	̂	0.544
ɔː_́	ĭ_̂	0.5
ɔː_́	ĭ_ˀ	0.5
t_#>	t_ŭ_#>	0.5
t_#>	t_ĭ_#>	0.5
oː	õː	0.5
l_aː	oː	0.5
l_aː	o_l	0.5
e	e_̂	0.5
e	-	0.5
aː	aː	0.5
aː	-	0.5
̀_t	t	0.429
̀	̌	0.429
j	j	0.429
j	-	0.429
eː	ɛː	0.407
̀_d	d	0.4
ʧ	k_t	0.4
ə	ĭ	0.4
#>	ŭ_#>	0.381
w	l	0.364
ə_́	ŭ_̌	0.333
ə_́	ĭ_̌	0.333
ə_́	ĭ	0.333
oː	o	0.333
#>	̌_#>	0.333
ɔ	o_̌	0.286
aː_̀	ˀ	0.286
#>	ĭ_#>	0.286
iː	ɨ	0.267
x	ŭ	0.222
t	̌_t	0.222
iː	ɨː	0.2
iː	iː	0.2
iː	i	0.2
́	-	0.193
eː	e	0.185
l	ʎ	0.176
́	̌	0.175
uː	u	0.167
oː	oː	0.167
eː	ẽ	0.148
ɛ	ɛː_̌	0.143
ɛ	ɛː	0.143
j	rʲ	0.143
ʋ	ŭ	0.133
z	-	0.133
iː	-	0.133
n	ɲ	0.118
r	r_ŭ	0.111
eː	ẽː	0.111
r	o	0.074
r	-	0.074
eː	ɛː_ˀ	0.074
eː	-	0.074
a	-	0.071
́	̂_l	0.053
