French	Western Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
p	p	1.0
v	v	1.0
y	ˈyː	1.0
ɔ̃	ˈũ	1.0
i	ˈeː	0.11
t	t	0.751
ø	ˈøː_k	0.451
ʁ	-	0.081
a	e	0.092
l	-	0.062
l	l_a	0.122
s	ʧ	0.172
u	ˈuː	0.182
u	ˈu	0.32
z	z	0.432
ə	e	0.942
ɲ	ɲ	0.692
j	j	0.053
m	m	0.83
o	ˈɛ_l	0.523
w	ˈiː	0.273
ɑ̃	ˈã	0.113
ɑ̃	ˈẽ	0.313
ɔ	ˈɔ	0.633
a	ˈɑː	0.114
a	a	0.44
e	ˈɑː	0.444
j	ʧ	0.164
k	-	0.054
u	ˈy	0.094
u	u	0.174
ɛ	ˈa	0.24
ɥ	ˈyː	0.64
ʒ	ʒ	0.754
i	ˈiː	0.465
o	ˈɔ	0.215
s	s	0.765
t	s_t	0.205
u	ˈɔ	0.115
w	ˈeː_d	0.065
w	ˈeː	0.165
ɑ̃	ˈẽ_t	0.15
ʃ	k_a	0.215
ʃ	k	0.785
e	ˈa	0.556
j	ˈe	0.096
n	n_a	0.426
u	ˈu_l	0.116
œ	ˈuː	0.416
ɑ̃	ˈã_k	0.136
ɡ	ɡ	0.926
ɥ	-	0.36
ʁ	r_a	0.06
ʁ	e_r	0.076
j	ˈeː	0.117
j	-	0.57
l	j	0.137
m	m_a	0.17
n	-	0.077
w	-	0.497
œ	ˈœ	0.057
œ	ˈøː	0.527
ɛ	ˈɑː	0.167
ɛ	ˈɛ	0.287
ɛ̃	ɲ	0.197
ɛ̃	ˈã	0.357
a	ˈa	0.128
a	-	0.138
i	a	0.108
n	n	0.498
z	ʒ	0.568
ɑ̃	n	0.288
ɔ	ˈu	0.068
ə	a	0.058
ɛ	e	0.058
ɛ	-	0.198
ɛ̃	ˈẽ	0.078
ɛ̃	ˈĩ	0.368
ɲ	ɲ_a	0.308
i	ˈi	0.099
i	ˈɛ	0.139
k	k	0.879
l	l	0.679
o	ˈa_l	0.219
ø	-	0.549
ɔ	u	0.299
ʁ	r	0.749
ʒ	-	0.09
ʒ	ʤ	0.139
