Sicilian	Neapolitan	probability
ˈo	ˈo	1.0
ˈe	ˈe	1.0
ˈa_w	ˈɔ	1.0
ˈa_r	ˈa	1.0
ˈa_k	ˈa_k	1.0
ˈa	ˈa	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʤː	ʤː	1.0
ʤ	ʤ	1.0
ʐː	rː	1.0
ʐ	r	1.0
ʊ	ə	1.0
ʈː	tː	1.0
ʈ	t	1.0
ʃː	ʃː	1.0
ʃ	ʃ	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɽ	ɾ	1.0
ɲ	ɲː	1.0
ɡ_ʊ	ɡ_ə	1.0
ɡ	ɡ	1.0
ɟː	ʎː	1.0
ɟ	j	1.0
ɖː	lː	1.0
ɕ_ɪ	ʃ_ə	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
z	s	1.0
w_ˈa	w_ˈa	1.0
u	u	1.0
tː	tː	1.0
t_a	t_ə	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
p_ʊ	p_ə	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_ɪ	n_ə	1.0
n_ɕ	ɲː	1.0
n	n	1.0
mː	mː	1.0
m_ʊ	mː_ə	1.0
m_ɪ	mː_ə	1.0
m_a	m_ə	1.0
m	m	1.0
lː	lː	1.0
kː_a	kː_ə	1.0
kː	kː	1.0
j	j	1.0
fː	fː	1.0
f	f	1.0
dː	dː	1.0
d	d	1.0
cː	kː_j	1.0
c	k_j	1.0
bː	bː	1.0
a_l	a_l	1.0
k	k	0.98
v	v	0.946
ɕ	ʃ	0.921
l	l	0.915
ɪ	ə	0.89
a	ə	0.813
ɲː	ɲː	0.812
ˈu	ˈu	0.782
ɾ	ɾ	0.768
ɪ_ɾ	ə_ɾ	0.754
ˈi	ˈi	0.681
b	b	0.674
w	w	0.612
r	ɾ	0.569
ʧː	ʃː	0.525
ˈɛ	j_ˈɛ	0.502
ʧː	ʧː	0.475
ˈɔ	ˈɔ	0.472
ˈɛ	ˈɛ	0.419
w	-	0.388
i	i	0.369
ˈɔ	w_ˈɔ	0.355
b	v	0.326
i	e	0.281
r	-	0.27
ɪ_ɾ	ə	0.246
ˈi	ˈe	0.242
i	ə	0.231
ˈu	ˈo	0.218
ɲː	ɲ	0.188
a	a	0.187
r	r	0.162
ɾ	-	0.134
i	-	0.119
ɪ	i	0.11
ɾ	r	0.098
ˈɔ	ˈo	0.089
l	-	0.085
ˈɔ	ˈu	0.084
ˈɛ	-	0.079
ɕ	ʧ	0.079
ˈi	ˈɛ	0.077
v	v_ə	0.054
