Bulgarian	Proto-Slavic	probability
b	b	1.0
d	d	1.0
f	v	1.0
j	t	1.0
l	l	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m	1.0
v	v	1.0
vʲ	v	1.0
z	z	1.0
ʃ	-	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ʦ	-	0.761
ˈa	ɛ̂ː	0.191
ˈɤ	ĭ	0.261
o	ǒ	0.062
o	o	0.832
ɐ	a	0.202
ʦ	<#_ô	0.072
ˈa	aˀ	0.232
ˈɔ	o	0.262
ˈɛ	e	0.202
n	n_ŭ	0.473
x	x_ŭ	0.393
ɐ	t_i	0.063
ɐ	-	0.173
ɫ	l	0.643
ˈɤ	ĭ̂	0.293
k	k	0.614
r	r_ŭ	0.084
s	s_ŭ	0.194
t	t	0.484
ɡ	ɡ	0.784
ˈa	ǎ	0.414
ˈɛ	ê	0.314
n	n	0.5
ɐ	ŭ	0.165
ɐ	ĭ	0.215
ɛ	ɛː	0.115
ˈɔ	ôː	0.155
ˈɔ	ǒ	0.315
ˈɤ	ĭ_#>	0.055
ˈɤ	-	0.195
k	ɡ_ŭ	0.06
k	k_ŭ	0.326
o	ô	0.106
s	s	0.806
ˈa	ɛˀ	0.076
ˈi	ɨˀ	0.226
ˈɛ	ẽ	0.326
ˈɤ	ĭˀ	0.156
p	b_ŭ	0.077
x	x	0.607
ɛ	ẽ	0.087
ɡ	ɡ_ôː	0.167
ʦ	ĭ_ʦ	0.167
ˈi	i	0.207
ˈɛ	ě	0.157
r	oˀ_r	0.058
r	r	0.858
ɛ	e	0.598
ɫ	l_ŭ	0.28
ˈi	ǐ	0.568
p	p	0.899
t	t_ŭ	0.199
t	t_ĭ	0.279
ɐ	i	0.159
ɛ	-	0.199
ˈɔ	ô	0.269
