Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɛː	ˈeɪ̯	1.0
ˈɛ_ɐ	ˈɑː	1.0
ˈɔː	-	1.0
ˈɔ	ˈɐ	1.0
ˈɒˀ	ˈɛ_ə	1.0
ˈɑː	-	1.0
ˈœː	ˈe	1.0
ˈæˀ	ˈeɪ̯	1.0
ˈyː_w	ˈaɪ̯	1.0
ˈyː	-	1.0
ˈy	ˈɪ	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈeˀ_#>	ˈiː_#>	1.0
ˈe_ɡ̊	ˈaɪ̯	1.0
ʨ	θ	1.0
ʁ_ˈœ	ɹ	1.0
ɡ̊_ə	ŋ_k	1.0
ɡ̊_#>	ʤ_#>	1.0
ə_#>	#>	1.0
ɕ	s	1.0
ɐˀ_n	n	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
w_ə	v	1.0
w_#>	#>	1.0
s_ɡ̊	ʃ	1.0
s_ə	z	1.0
s_#>	s_#>	1.0
s	s	1.0
pʰ	pʰ	1.0
n_#>	#>	1.0
mˀ	-	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kʰ_ˈʌ	kʰ	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
jˀ	-	1.0
j_#>	#>	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
d̥	t	1.0
b̥_ə	p	1.0
<#_ˈeˀ	<#_ˈe	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_j	<#	1.0
<#_d̥	<#_d	1.0
n	n	0.941
l	l	0.917
ʁ	ɹ	0.895
ˈuˀ	ˈaʊ̯	0.8
ʋ	w	0.783
<#	<#_w	0.778
b̥	b	0.769
ˈø	ˈɪ	0.714
ɐ	ə	0.714
ˈuː	-	0.667
ʁ_ˈɑ	ɹ	0.667
lˀ	ɫ	0.615
ˈʌ	ˈɐ	0.6
ˈɛˀ	-	0.6
ˈɑˀ	-	0.6
ˈøː	ˈiː	0.6
ˈøˀ	ˈiː	0.6
ˈiː	ˈaɪ̯	0.6
ˈiˀ	ˈaɪ̯	0.583
ˈɑ	-	0.571
ɐˀ	-	0.571
ˈo	ˈɔː	0.556
ʦʰ	θ	0.55
nˀ	n_d	0.538
ð̞ˠ	t	0.526
ˈœˀ	ˈiː	0.5
ˈœˀ	ˈe	0.5
ˈœ	ˈɐ	0.5
ˈœ	-	0.5
ˈeˀ	ˈəʊ̯	0.462
j	-	0.455
ʦʰ	tʰ	0.45
ˈe	ˈɪ	0.438
ˈɑ	ˈaɪ̯	0.429
ˈyˀ	ˈɪ	0.429
ɡ̊	k	0.429
ɐˀ	ˈɜː	0.429
ˈʌ	-	0.4
ˈɛˀ	ˈiː	0.4
ˈɑˀ	ˈɑː	0.4
ˈøː	ˈɪ	0.4
ˈøˀ	ˈe	0.4
ˈoˀ	ˈuː	0.4
ˈiː	ˈɪ	0.4
ˈu	ˈɐ	0.385
ˈe	ˈe	0.375
ð̞ˠ	d	0.342
ˈɔˀ	ˈəʊ̯	0.333
ˈɔˀ	ˈiː	0.333
ˈɔˀ	-	0.333
ˈuː	ˈɐ	0.333
ʁ_ˈɑ	ɜː	0.333
w	f	0.333
ˈæ	ˈæ	0.312
nˀ	n	0.308
ˈɛ	ˈɪ	0.3
ˈɛ	ˈɔː	0.3
ˈoˀ	ˈʊ	0.3
ˈoˀ	ˈaʊ̯	0.3
ə	ˈiː	0.3
ə	d	0.3
ˈø	-	0.286
ˈyˀ	ˈiː	0.286
ˈyˀ	-	0.286
ɡ̊	ˈuː	0.286
ɡ̊	j	0.286
#>	d_#>	0.286
j	k	0.273
j	h	0.273
ˈiˀ	ˈɪ	0.25
ˈu	ˈʊ	0.231
ˈu	-	0.231
ˈeˀ	-	0.231
lˀ	ɫ_d	0.231
b̥	p	0.231
ˈo	w	0.222
ˈo	-	0.222
w	v	0.222
w	k	0.222
w	-	0.222
<#	<#_j	0.222
#>	ˈuː_#>	0.214
#>	f_#>	0.214
ˈɛ	ˈɛ	0.2
ˈɛ	-	0.2
ˈuˀ	ˈaɪ̯	0.2
ə	n	0.2
ə	-	0.2
ˈæ	ˈɑː	0.188
ˈe	ˈaɪ̯	0.188
ˈiˀ	ˈiː	0.167
ˈu	ˈaʊ̯	0.154
ˈeˀ	ˈɪ	0.154
ˈeˀ	ˈe	0.154
nˀ	θ	0.154
lˀ	f	0.154
ɐ	ð_ə	0.143
ɐ	-	0.143
#>	θ_#>	0.143
#>	k_#>	0.143
ʋ	-	0.13
ˈæ	ˈɔː	0.125
ˈæ	ˈɒ	0.125
ˈæ	ˈeɪ̯	0.125
ˈæ	-	0.125
ʁ	-	0.105
ʋ	w_ˈe	0.087
l	ɫ	0.083
ð̞ˠ	θ	0.079
n	-	0.059
ð̞ˠ	ˈe_d	0.053
