Bellunese	Bellunese	probability
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo_ɡ	ˈɔ_k	1.0
ˈo_n	ˈɔ_n	1.0
ˈi_r	e	1.0
ˈi	ˈi	1.0
ˈa	ˈa	1.0
ʧ	c	1.0
ʤ	ɟ	1.0
ɲ	ɲ	1.0
ŋ_#>	n_u_#>	1.0
w	w	1.0
u	u	1.0
s_#>	sː_u_#>	1.0
r_ˈe	r_ˈɛ	1.0
r_o	r_u	1.0
r_a	r_a	1.0
r_#>	#>	1.0
p	p	1.0
o_r	ˈɔ_r	1.0
o_l	u_l	1.0
j_ˈe	ˈe	1.0
i_#>	i_#>	1.0
i	i	1.0
f	f	1.0
e_r	e	1.0
d_a	t_a	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_ɟ	1.0
<#	<#_a	1.0
a	a	0.968
m	m	0.96
k	k	0.897
ð	ɟ	0.889
s	s	0.833
r	r	0.829
ˈe	ˈɛ	0.788
d	d	0.783
o	u	0.775
v	v	0.767
n	n	0.75
ˈo	ˈɔ	0.633
l	l	0.622
t	t	0.605
θ	ʧ	0.556
ˈɛ	ˈe	0.552
j	j	0.538
#>	u_#>	0.52
ŋ	n	0.517
ɡ	ɡ	0.5
ɡ	k	0.5
z	ʧ	0.5
#>	e_#>	0.427
e	i	0.412
e	e	0.382
ˈɛ	ˈɛ	0.379
l	lː	0.378
ˈo	ˈo	0.367
t	tː	0.316
j	ʎ	0.308
ŋ	ŋ	0.276
d	t	0.217
z	ɟ	0.2
z	z	0.2
θ	ʧː	0.167
θ	-	0.167
j	-	0.154
ŋ	m	0.138
v	p	0.133
n	nː	0.125
n	-	0.125
ˈe	ˈe	0.121
e	-	0.118
θ	ʦ	0.111
ð	ʣ	0.111
k	kː	0.103
z	ʒ	0.1
v	-	0.1
o	-	0.1
ˈe	-	0.091
e	r	0.088
o	o	0.075
r	t_r	0.073
ˈɛ	-	0.069
ŋ	ɲ	0.069
s	ʃː	0.067
s	ʃ	0.067
t	-	0.053
#>	a_#>	0.053
