Asturian	Catalan	probability
b	b	1.0
f	f	1.0
k	k	1.0
m	m	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
j	j	0.431
u	u	0.21
u	-	0.331
w	w	0.511
ð	t	0.081
ʃ	ʒ	0.641
ˈi	ˈi	0.801
ˈu	ˈu	0.931
θ	w	0.1
θ	s	0.501
t	t	0.932
ɾ	-	0.12
ɾ	r	0.232
ˈo	ˈɔ	0.522
d	-	0.083
e	ə	0.803
n	n	0.923
o	ˈɔ	0.073
r	r	0.983
s	s	0.943
u	w	0.193
ɾ	ɾ	0.473
ʃ	-	0.123
i	i	0.944
l	l	0.914
ɣ	ɡ	0.234
ʝ	ʒ	0.054
ˈe	ˈe	0.444
ˈi	t_#>	0.064
β	w	0.204
θ	-	0.324
e	-	0.055
e	u	0.085
n	-	0.065
ɾ	ɾ_ə	0.175
ʎ	p_l	0.075
θ	d	0.075
i	-	0.056
l	-	0.086
p	p	0.96
u	ə	0.266
ɣ	ɣ	0.766
ʎ	l	0.106
ʝ	ʎ	0.946
d	d	0.917
s	z	0.057
ʃ	ʃ	0.237
ˈe	-	0.077
β	-	0.237
β	β	0.537
a	ə	0.948
t	l_t	0.068
ˈo	ˈo	0.398
j	-	0.569
o	-	0.109
o	ə	0.119
o	u	0.699
w	ˈɔ_w	0.489
ð	ð	0.919
ʎ	ʎ	0.819
ˈe	ˈi	0.099
ˈe	ˈɛ	0.29
ˈu	ˈo	0.069
