East Low German	Swedish	probability
h	h	1.0
r	r	1.0
s	s	1.0
tʰ	tʰ	1.0
w	v	1.0
ˈœː	ˈøː	1.0
ˈɔʏ̯	ˈøː	1.0
b	-	0.11
d	tʰ	0.261
l	lː	0.1
æ	r	0.621
ɾ	ɛ	0.541
ˈa	a_#>	0.241
ˈiː	ˈyː	0.061
ˈuː	ˈɔ	0.081
ˈɛː	ˈiː	0.201
kʰ	kʰ	0.82
l	l	0.842
m	m	0.702
n	nː_a	0.052
ç	ɡː	0.342
ŋ	ŋ	0.262
ɡ	j	0.122
ʃ	s_k	0.342
ˈa	ɛ_#>	0.052
ˈaʊ̯	ˈøː	0.392
ˈoː	ˈoː	0.682
ˈuː	ˈɵ	0.072
f	f	0.703
k	kː	0.393
n	nː	0.063
t	t	0.473
z	ɧ	0.303
ʃ	ɧ	0.303
ˈaʊ̯	ˈuː	0.53
ˈiː	ˈæː	0.103
ˈyː	ˈʏ	0.413
ˈɛ	ˈɛ	0.903
ˈʊ	ˈʊ	0.323
ˈʏ	ˈʏ	0.383
d	d	0.594
j	j	0.534
n	a	0.244
v	v	0.994
æ	ɛ	0.074
ˈɔ	ˈɔ	0.704
ˈɛː	ˈɛː	0.554
ˈɪ	ˈiː	0.084
n	n_d	0.075
n	-	0.115
p	p	0.965
t	tː	0.165
x	-	0.375
x	ɡ	0.625
æ	-	0.115
ç	ɡ	0.615
ŋ	-	0.225
ŋ	ŋː	0.435
ʃ	s	0.355
ˈae̯	ˈʉː	0.255
ˈaː	ˈɑː	0.395
ˈaː	ˈa_r	0.605
ˈɒː	ˈoː	0.625
ˈɛː	ˈɛ	0.245
ˈɪ	ˈeː	0.085
j	ɡ	0.466
m	-	0.186
t	-	0.076
t	d	0.286
ˈiː	ˈiː	0.836
ˈɒː	ˈɑː	0.216
ˈɔ	ˈœ	0.296
ˈɪ	ˈɛ	0.06
f	v	0.297
k	k	0.607
z	s	0.697
ˈa	ˈɑː	0.097
ˈaʊ̯	ˈoː	0.077
ˈyː	ˈyː	0.587
ˈɛ	ˈɛː	0.097
ˈɪ	ˈɪ	0.77
ˈʊ	ˈɵ	0.677
kʰ	ɕ	0.18
m	mː_a	0.068
ŋ	ŋː_a	0.078
ɡ	ɡ	0.878
ˈa	ˈa	0.528
ˈae̯	ˈeː	0.548
ˈoː	ˈøː	0.318
ˈuː	ˈuː	0.108
ˈʏ	ˈɛ	0.278
b	b	0.89
d	-	0.099
n	n	0.389
æ	ɛ_r	0.19
ɾ	-	0.459
ˈae̯	ˈɛ	0.149
ˈuː	ˈʉː	0.739
ˈɒː	ˈa	0.159
ˈʏ	ˈɵ	0.339
