Old Chinese	Old Chinese	probability
ʦʰ	ʦʰ	1.0
ʔ_s	ʦ	1.0
ɢʷ	ɦ_ʉ	1.0
ɢ	-	1.0
ɡʷ	ɦ_w	1.0
ɡ_r	ɡˠ_i	1.0
ŋʷ	ŋ	1.0
ŋ_ʔ	ŋ_˧˥	1.0
ŋ_s	ŋ_˥˩	1.0
ŋ_i	ȵ_i	1.0
z_r	ʤ	1.0
z	-	1.0
w	k̚	1.0
u_ʔ	u_˧˥	1.0
u_#>	u_˦_#>	1.0
tʰ	ʨʰ	1.0
sʰ	ʦʰ	1.0
s	-	1.0
r̥ʰ	tʰ	1.0
r_t	ʈˠ	1.0
qʰ	-	1.0
p_r	pˠ	1.0
p	p	1.0
n_ʔ	n_˧˥	1.0
n_s	n_˥˩	1.0
m_ʔ	m_˧˥	1.0
l_ʔ	˧˥	1.0
l_#>	i_˦_#>	1.0
kʷ	k	1.0
kʰʷ	-	1.0
kʰ_l	ʨʰ	1.0
kʰ	kʰ	1.0
j	-	1.0
iː	e	1.0
i_ʔ	ɪ_˧˥	1.0
hʷ	hˠ_w	1.0
h_l	sˠ	1.0
d_s	i_˥˩	1.0
d_#>	t̚_#>	1.0
<#_s	<#_s	1.0
<#	<#_ɦ	1.0
ŋ	ŋ	0.926
#>	˦_#>	0.877
q	ʔ	0.8
aː	ɑ	0.75
ɡ	k̚	0.739
m	m	0.737
n	n	0.72
r_aː	a	0.667
qʰʷ	-	0.667
pʰ	pʰˠ	0.667
l̥ʰ	tʰ	0.667
k	k	0.667
<#_ɡ	<#_ɦ	0.667
e	e	0.636
b	b	0.625
t	ʈ	0.6
lʼ	-	0.6
d	d	0.6
u	ɨ_u	0.583
oː	u	0.556
ɯː	ə	0.545
eː	e	0.545
uː	ʌ	0.5
uː	ɑ	0.5
s_r	ʃˠ	0.5
s_r	ʃ	0.5
r	l	0.5
h	ɕ	0.5
h	h	0.5
ɯ	ɨ	0.471
ɯː	ʌ	0.455
i	i	0.45
o	ʉ_ɐ	0.429
u	u	0.417
t	-	0.4
lʼ	d	0.4
d	ʥ	0.4
l	-	0.368
e	i	0.364
r	i	0.357
ɯ	ɨ_u	0.353
i	ɪ	0.35
r_aː	æ	0.333
qʰʷ	ɕˠ	0.333
pʰ	pʰ	0.333
l̥ʰ	ʑ	0.333
k	-	0.333
<#_ɡ	<#	0.333
l	i	0.316
ʔ	u_˧˥	0.3
o	ɨ_o	0.286
o	u_ɛ	0.286
a	ɐ	0.286
eː	ɛ	0.273
m	-	0.263
ʔ	o_˧˥	0.25
ʔ	-	0.25
b	bˠ	0.25
aː	u	0.25
oː	ə_u	0.222
oː	u_ɑ	0.222
l	ɨ	0.211
q	ʔˠ	0.2
n	ȵ	0.2
i	ɨ	0.2
a	ɨ_ɐ	0.19
a	ɨ	0.19
a	-	0.19
eː	w_e	0.182
ɯ	ɪ	0.176
ɡ	ɡ	0.174
r	-	0.143
a	ɨ_ʌ	0.143
b	p̚	0.125
l	ɑ_˦	0.105
ʔ	ʌ_˧˥	0.1
ʔ	i_˧˥	0.1
ɡ	t̚	0.087
n	-	0.08
ŋ	n	0.074
