Polish	Polish	probability
ʨ_#>	t_#>	1.0
ʨ	i	1.0
ʥ	d	1.0
ʑ	z	1.0
ʐ̊	r	1.0
ʈ͡ʂ	ʧ	1.0
ʂ	-	1.0
ɡ̊	ɡ̊	1.0
ɛ_ŋ	uɔ̯	1.0
ɕ	s	1.0
z̥	z̥	1.0
x	-	1.0
w̃	uɔ̯	1.0
w_ɔ	l̩	1.0
w	l	1.0
v	v	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m_j	m	1.0
m_b̥	b̥	1.0
m	m	1.0
k_ɔ	ʦ	1.0
j_u	æ	1.0
j_a	ai̯	1.0
i	-	1.0
f	v	1.0
b	b	1.0
a_t	j	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_j	<#	1.0
ɡ	ɡ	0.778
#>	s_#>	0.756
r	r	0.75
l	l	0.727
k	k	0.714
n	n	0.7
ʦ	-	0.667
ʐ	ʣ	0.667
z	z	0.667
u	-	0.667
ɲ	-	0.625
a_#>	a_#>	0.615
d̥	d̥	0.6
ɔ	-	0.593
d	d	0.545
j	-	0.5
d	-	0.455
d̥	d_u	0.4
a_#>	#>	0.385
ɲ	n	0.375
ɨ	s	0.375
ɛ	-	0.353
ʦ	k_t	0.333
ʐ	-	0.333
z	z̥_s	0.333
u	æ	0.333
a	ɛ	0.333
a	-	0.333
ɨ	-	0.312
n	-	0.3
k	s	0.286
l	ʎ	0.273
ɛ	ɛ	0.265
ɔ	a	0.259
r	r̩	0.25
j	ɛː	0.25
j	æː	0.25
ɡ	z	0.222
a	a	0.222
ɨ	iː	0.188
ɛ	iɛ̯	0.147
ɛ	i	0.147
ɨ	t_s	0.125
a	aː	0.111
#>	i_#>	0.098
ɔ	æ	0.074
ɔ	uɔ̯	0.074
#>	ʃ_#>	0.073
#>	ɛ_#>	0.073
ɛ	a	0.059
