Westphalian	Palatine German	probability
ˈɪɛ̯_l	l	1.0
ˈɛː	-	1.0
ˈɛ_ç	ʃ	1.0
ˈɒː	ˈɑː	1.0
ˈœː	-	1.0
ˈøː_n	ˈĩː	1.0
ˈø	-	1.0
ˈyːœ̯	-	1.0
ˈyə̯	ˈɛ	1.0
ˈuːə̯_n	ˈõː	1.0
ˈuːə̯	ˈɔ	1.0
ˈuə̯	-	1.0
ˈiɛ̯	-	1.0
ˈaɪ̯_ɡ	ˈi	1.0
ʋ	β	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ	ˈɑ̃ɪ̯	1.0
ɡ	-	1.0
ə	-	1.0
z̥	s	1.0
z_ə	s	1.0
x_t	x_d̥	1.0
v̥	b̥	1.0
t_ə	s	1.0
s_t	ʃ_d̥	1.0
r_ˈaɪ̯	r	1.0
r	r	1.0
n_n	n_ə	1.0
l	l	1.0
k_ə	x	1.0
k_n	ɡ̊_ə	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_ˈyː	d̥_ˈaɪ̯	1.0
d_ɐ	r_ɐ	1.0
d_n	r_ə	1.0
d	d̥	1.0
aɪ̯	eː	1.0
ɐ	ɐ	0.938
m	m	0.938
v	β	0.916
s	s	0.911
b	b̥	0.878
ˈɪ	ˈɪ	0.794
ˈaɪ̯	ˈiː	0.777
ˈa	ˈɑ	0.764
ŋ	ŋ	0.744
ˈiː	ˈaɪ̯	0.734
ˈʏ	ˈɪ	0.712
ç	ʃ	0.71
x	ɡ̊	0.7
ˈʊ	ˈu	0.696
ˈɪɛ̯	ˈɛ	0.693
n	n	0.688
ˈɔː	ˈoː	0.677
ˈoː	ˈuː	0.674
z	-	0.664
ˈɛ	ˈɛ	0.652
ˈaː	ˈɑː	0.567
ˈuː	ˈau̯	0.566
p	f	0.509
ˈɪə̯	ˈɪ	0.5
ˈɪə̯	n	0.5
ˈɔ	ˈɑ	0.5
ˈɔ	-	0.5
p	b̥	0.491
ˈaʊ̯	ˈɑː	0.461
ˈeː	ˈɛː	0.443
ˈaː	ˈɑ	0.433
t	s	0.433
ˈøː	-	0.413
ˈaʊ̯	ˈoː	0.406
t	ʣ̥	0.4
k	kʰ	0.37
ˈøː	ˈiː	0.352
k	ʃ	0.345
z	s	0.336
ˈoː	ˈu	0.326
ˈuː	-	0.322
n	ə	0.312
ˈɪɛ̯	ˈɛ_ɐ	0.307
ˈeː	-	0.307
ç	ɡ̊	0.29
ˈʏ	-	0.288
ˈɔː	-	0.275
ŋ	-	0.256
ˈeː	ˈeː	0.25
ˈøː	ˈuː	0.235
ˈaɪ̯	ˈeː	0.223
x	x	0.196
ˈɛ	-	0.177
k	x	0.175
ˈɛ	ˈɑ	0.17
ˈʊ	ˈau̯	0.168
t	d̥	0.167
ˈiː	-	0.163
ˈʊ	ˈɔ	0.135
ˈaʊ̯	-	0.133
ˈa	-	0.129
b	-	0.122
ˈuː	ˈau̯̯	0.112
k	ɡ̊	0.11
ˈa	ˈɑː	0.107
ˈɪ	ˈaɪ̯	0.105
ˈiː	ˈiː	0.104
x	-	0.104
ˈɪ	-	0.1
s	ɡ̊_s	0.089
ɐ	r_ɐ	0.062
m	ɐ_m	0.062
v	β_ˈɔ	0.056
