Old Church Slavonic	Polish	probability
ˈ	-	1.0
ʧ	ʈ͡ʂ	1.0
ʊ_ˈ	ɛ	1.0
ʃ_t	ʦ	1.0
ɯ_ˈ	ɛ	1.0
ɯ	ɨ	1.0
ɪ_ˈ	ɛ	1.0
ɡ_ʊ	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ɔ	1.0
ɛ_l	ɛ_l	1.0
ɔ_ˈ	u	1.0
ɔ	ɔ	1.0
ɑ	a	1.0
x	x	1.0
u	u	1.0
t_ɪ	ʨ	1.0
t_ɑ	t_a	1.0
rʲ	ʐ	1.0
r_ɪ	a_r	1.0
r_ɑ	r_ɔ	1.0
p	p	1.0
m_ɪ	ɛ_m	1.0
l_ʊ	w	1.0
l_ɑ	w_ɔ	1.0
k	k	1.0
i_ˈ	i	1.0
d_ʊ	d̥	1.0
a	a	1.0
æ	ɛ	0.918
ʦ	ʦ	0.821
l	w	0.731
b	b	0.72
ɛ	ɛ	0.714
n	n	0.681
d	d	0.667
ʒ	ʐ	0.627
s	s	0.577
ʊ	ɨ	0.57
æ_ˈ	a	0.563
ɛ̃_ˈ	ɛ_w̃	0.562
ɛ̃	ɛ_w̃	0.555
m	m	0.553
v	v	0.543
ɪ	-	0.519
i	-	0.5
z	z	0.497
m	m_j	0.447
ɛ̃	ɛ	0.445
ɛ̃_ˈ	ɛ	0.438
æ_ˈ	j_a	0.437
s	ɕ	0.423
r	r	0.419
z	ʑ	0.408
ʒ	ʐ̊	0.373
t	t	0.367
t	ʨ	0.355
r	ʐ	0.353
i	ɨ	0.334
d	ʥ	0.333
n	ɲ	0.319
ɔ̃	ɔ	0.298
b	b̥	0.28
t	ɲ	0.279
v	v_j	0.276
l	l	0.269
ʊ	-	0.265
ɔ̃	ɛ_ŋ	0.234
ɔ̃	ɔ_w̃	0.234
ɔ̃	ɔ_m	0.234
r	ʐ̊	0.227
ɛ	u	0.193
v	f	0.181
ɪ	ʨ	0.18
ʦ	k	0.179
ɪ	r	0.176
ʊ	ɔ	0.166
i	i	0.165
ɪ	ɛ	0.125
z	z̥	0.095
ɛ	ɔ	0.093
æ	j_a	0.082
