Aromanian	Campidanese	probability
a	a	0.38
a	-	0.352
a	ˈa	0.166
a	o	0.088
b	b	0.83
b	v	0.095
b	ɡ	0.077
d	d	0.633
d	-	0.308
e	i	0.839
e	a	0.138
e̯a	-	1.0
e̯ˈa	ˈe	0.549
e̯ˈa	ˈi	0.336
e̯ˈa	ˈa	0.061
e̯ˈa	r	0.06
f	f	0.861
f	s	0.128
i	i	0.668
i	e	0.166
i	a	0.055
j	-	0.552
j	j	0.136
j	ˈu	0.087
j	ɲ	0.072
j	ĕ	0.071
j	ˈe	0.062
k	k	0.594
k	ɣ_u	0.117
k	p	0.074
k	ɣ	0.059
k	ʒ	0.057
k_ʎ	j	0.871
k_ʎ	ʧ	0.102
l	l	0.553
l	r	0.33
l	-	0.059
l	ɖ	0.059
m	m	0.807
m	n	0.112
n	n	0.746
n	n_u	0.114
n	-	0.072
o̯ˈa	ˈo	0.798
o̯ˈa	ˈa	0.096
o̯ˈa	ˈu	0.096
o̯ˈa_p	ˈo	0.265
p	p	0.731
p	β	0.137
p	k_w	0.077
p_t	t	1.0
r	r	0.728
r	-	0.112
r	l	0.071
r	l_u	0.069
r_i	j	1.0
s	s	0.952
s	-	0.054
t	t	0.516
t	ð	0.161
t	ʃ	0.075
t	k	0.057
t	ð_u	0.057
u	u	0.628
u	o	0.198
u	ˈo	0.063
v	b	0.613
v	-	0.193
v	β	0.193
w	β_u	0.25
w	j	0.217
w	u	0.189
w	-	0.143
w	a_z	0.139
z	-	1.0
ç	f	1.0
ŋ	ŋ	0.53
ŋ	-	0.461
ə	a	0.752
ə	-	0.128
ə	e	0.051
ɡ	b	0.564
ɡ	ɡ	0.343
ɡ	β	0.069
ɨ	a	0.488
ɨ	ˈe	0.149
ɨ	ˈo	0.149
ɲ	m	0.63
ɲ	ʤ	0.161
ɲ	-	0.085
ɲ	ɣ	0.068
ʃ	s	0.319
ʃ	ʃ	0.271
ʃ	i_s	0.205
ʃ	ʒ	0.103
ʃ	-	0.08
ʎ	ʣ	0.453
ʎ	l	0.372
ʎ	-	0.123
ʎ_i	a	1.0
ʣ	d	0.45
ʣ	-	0.203
ʣ	ʤ	0.134
ʣ	z	0.079
ʣ	b	0.073
ʣ	n	0.057
ʤ	ʤ	0.425
ʤ	ɡ	0.322
ʤ	-	0.19
ʦ	ʧ	0.334
ʦ	ʒ	0.214
ʦ	-	0.19
ʦ	t	0.127
ʦ	ʦ	0.065
ʦ	k	0.061
ʧ	k	0.266
ʧ	-	0.232
ʧ	p	0.232
ˈa	ˈa	0.77
ˈa	ˈe	0.149
ˈa	ˈo	0.053
ˈe	ˈe	0.693
ˈe	ˈi	0.294
ˈi	ˈi	0.569
ˈi	ˈe	0.244
ˈi	i	0.071
ˈi	-	0.054
ˈi	e	0.052
ˈo	ˈo	0.872
ˈo	e	0.07
ˈo	-	0.062
ˈu	ˈu	0.515
ˈu	ˈo	0.375
ˈu	ˈi	0.053
ˈə	a	0.231
ˈə	ˈe	0.175
ˈə	ˈa	0.103
ˈɨ	ˈa	0.849
ˈɨ	ˈi	0.083
ˈɨ	ˈo	0.069
