Alsatian	East Low German	probability
b̥	b	0.859
b̥	f	0.096
d̥	d	0.76
d̥	-	0.125
d̥	ɾ	0.115
e	-	1.0
eː	ae̯	1.0
f	f	0.759
f	p	0.168
h	h	1.0
i	ɪ	0.617
i	-	0.254
i	æ	0.129
j	j	0.47
j	ŋ	0.267
j	ç	0.262
k	k	0.527
k	ç	0.473
kʰ	kʰ	0.98
l	l	0.986
m	m	0.96
n	n	0.908
n	-	0.058
p	p	1.0
p͡f	p	0.927
p͡f	f	0.073
s	z	0.413
s	t	0.325
s	s	0.245
t	t	0.614
t	d	0.265
t	ɾ	0.091
v	ɡ	0.699
v	m	0.193
v	ŋ	0.109
w	ˈʏ	0.728
w	w	0.272
x	x	0.649
x	k	0.351
ŋ	ŋ	1.0
ə	æ	0.444
ə	n	0.438
ə	m	0.11
ɡ̊	j	0.456
ɡ̊	ɡ	0.409
ɡ̊	kʰ	0.135
ʁ	-	0.593
ʁ	r	0.405
ʃ	ʃ	0.614
ʃ	ç	0.162
ʃ	s	0.089
ʃ	k	0.078
ʃ	d	0.058
ʋ	v	0.952
ʦ	tʰ	0.617
ʦ	t	0.383
ˈai̯	ˈɔʏ̯	1.0
ˈaː	ˈɒː	0.895
ˈaː	ˈɛ	0.105
ˈe	ˈɪ	0.275
ˈe	ˈœː	0.273
ˈe	ˈœ	0.14
ˈe	ˈɛː	0.122
ˈe	ˈiː	0.072
ˈe	-	0.07
ˈei̯	ˈiː	0.569
ˈei̯	ˈae̯	0.431
ˈeː	ˈae̯	0.322
ˈeː	ˈɒː	0.178
ˈeː	ˈeː	0.149
ˈeː	ˈyː	0.122
ˈeː	ˈɔʏ̯	0.102
ˈeː	ˈɛ	0.064
ˈeː	ˈiː	0.063
ˈi	ˈɪ	0.651
ˈi	ˈʏ	0.11
ˈi	ˈiː	0.064
ˈi	ˈøː	0.064
ˈi	ˈɛ	0.053
ˈiː	ˈiː	0.357
ˈiː	ˈyː	0.173
ˈiː	ˈɔʏ̯	0.172
ˈiː	ˈae̯	0.169
ˈiː	ˈɛː	0.075
ˈiː	ˈɪ	0.054
ˈo	ˈuː	0.456
ˈo	ˈʊ	0.365
ˈo	ˈɔ	0.107
ˈoː	ˈɒː	0.386
ˈoː	ˈoː	0.269
ˈoː	ˈaʊ̯	0.222
ˈoː	ˈœː	0.066
ˈu	ˈʊ	0.52
ˈu	ˈʏ	0.179
ˈu	ˈɔ	0.124
ˈu	ˈɒː	0.082
ˈyː	ˈuː	0.955
ˈæ	ˈɛː	0.535
ˈæ	ˈɛ	0.436
ˈæː	ˈoː	0.33
ˈæː	ˈɒː	0.237
ˈæː	ˈɛ	0.2
ˈæː	ˈae̯	0.129
ˈæː	ˈɛɪ̯	0.104
ˈø	ˈɒː	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈaʊ̯	0.671
ˈøː	ˈʊ	0.329
ˈœ	ˈaʊ̯	1.0
ˈɒ	ˈa	0.629
ˈɒ	ˈɒː	0.126
ˈɒ	ˈaʊ̯	0.079
ˈɒ	ˈɪ	0.076
ˈɒ	ˈɔ	0.054
ˈɒː	ˈaː	0.446
ˈɒː	ˈa	0.269
ˈɒː	ˈɛː	0.244
ˈɔi̯	ˈuː	1.0
ˈəi̯	ˈae̯	0.8
ˈəi̯	ˈɪ	0.2
ˈɛ	ˈɛ	1.0
ˈʊː	ˈaʊ̯	0.929
ˈʊː	ˈɔʏ̯	0.071
