Hessian	Mecklenburgisch-Vorpommersch	probability
ˈæː	-	1.0
ˈæ	ˈaː	1.0
ˈuː	ˈaʊ̯	1.0
ˈẽː	-	1.0
ˈãː	ˈae̯_n	1.0
ˈau̯	ˈuː	1.0
ʤ̥	-	1.0
ʒ̊_ə	ŋ	1.0
ʒ̊	ʃ	1.0
ʃ_t	ç	1.0
ʀ	r	1.0
ɡ̊_ə	k_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥_ə	t_n	1.0
v̥	p	1.0
n_ə	nː	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
j_ə	ŋ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
n	n	0.949
f	f	0.923
v	v	0.92
æ̆	æ	0.913
ə	n	0.857
m	m	0.846
ˈɑ	ˈa	0.8
p	b	0.8
ˈe	-	0.714
ɡ̊	ɡ	0.667
ɐ	æ	0.667
b̥	b	0.667
ˈi	ˈɪ	0.656
ˈa	ˈa	0.643
ʃ	ʃ	0.633
ˈɛː	ˈɛ	0.6
ˈɔ	ˈuː	0.6
v_ə	m	0.6
ʦ	tʰ	0.583
ˈoi̯	ˈyː	0.571
x	x	0.556
ˈu	ˈʊ	0.533
ˈɑː	ˈɒː	0.5
ˈo	ˈʊ	0.5
ˈo	ˈɔ	0.5
ˈai̯	ˈiː	0.5
ɣ̊	ɡ	0.5
ɣ̊	-	0.5
s	z	0.5
#>	t_#>	0.5
#>	k_#>	0.5
ˈiː	ˈae̯	0.467
x	k	0.444
ˈoi̯	-	0.429
ʦ	t	0.417
ˈɛː	-	0.4
ˈɛ	ˈɛ	0.4
ˈɔ	-	0.4
ˈaː	ˈaʊ̯	0.4
v_ə	b_m	0.4
t	d	0.389
ˈoː	ˈɒː	0.364
ˈoː	ˈaʊ̯	0.364
d̥	d	0.36
d̥	d̥	0.34
ˈeː	ˈeː	0.333
ˈeː	ˈae̯	0.333
ˈeː	-	0.333
ˈaː	-	0.333
ɡ̊	j	0.333
t	t	0.333
k	ɡ	0.333
b̥	v̥	0.333
ˈɛ	ˈɛː	0.3
ˈɛ	-	0.3
ˈai̯	ˈɪ	0.3
ˈɑː	ˈaː	0.286
ˈe	ˈɛ	0.286
t	-	0.278
ˈoː	-	0.273
ˈaː	ˈae̯	0.267
ʃ	ç	0.233
ɐ	-	0.222
k	ç	0.222
k	kʰ	0.222
k	k	0.222
ˈɑː	ˈoː_æ	0.214
ˈa	ˈɒː	0.214
ˈɑ	-	0.2
ˈu	-	0.2
ˈiː	ˈiː	0.2
ˈiː	-	0.2
ˈai̯	ˈae̯	0.2
s	z̥	0.2
s	t	0.2
p	p	0.2
ˈi	ˈʏ	0.156
ˈa	-	0.143
ə	m	0.143
d̥	t	0.14
ˈu	ˈɔ	0.133
ˈu	ˈaʊ̯	0.133
ˈiː	ˈɔʏ̯	0.133
ʃ	k	0.133
d̥	ɾ	0.12
ɐ	ˈiː_æ	0.111
s	s	0.1
æ̆	-	0.087
v	w	0.08
m	ˈɒː	0.077
m	-	0.077
f	-	0.077
ˈi	ˈɛ	0.062
ˈi	ˈœː	0.062
ˈi	ˈae̯	0.062
n	ˈɪ_n	0.051
