Campidanese	Corsican	probability
f	f	1.0
m	m	1.0
p	p	1.0
sː	lː	1.0
w	w	1.0
ŋ	ŋ	1.0
ɖː	lː	1.0
ɲː	ɲ	1.0
ʃː	ʃː	1.0
ʒ	ʧ	1.0
ʣ	ʎ	1.0
ʤ	ɟ	1.0
e	-	0.101
e	a	0.101
e	i	0.111
k	k	0.801
n	-	0.121
r	-	0.131
ˈe	ˈɛ	0.691
j	-	0.192
j	c	0.742
o	ˈɔ	0.102
s	-	0.112
ˈo	ˈo	0.262
b	ɟ	0.083
b	b	0.313
rː	r_n	0.753
z	-	0.893
ʧ	ʧ	0.783
ˈi	ˈɛ	0.333
ˈi	ˈi	0.543
β	v	0.193
a	u	0.054
d	d	0.824
i	i	0.144
r	j	0.104
t	tː	0.274
u	u	0.904
ð	-	0.084
ɣ	ɡ	0.134
ˈu	ˈo	0.144
b	v	0.605
r	r	0.755
ɡ	ɟ	0.095
ɡ	ɡ	0.905
a	a	0.906
d	-	0.176
e	e	0.656
j	j	0.066
l	l	0.916
ð	t	0.916
ɣ	-	0.076
ˈa	ˈa	0.96
ˈi	ˈe	0.066
l	lː	0.077
n	n	0.847
rː	rː	0.247
t	t	0.677
z	z	0.107
ʧ	c	0.217
ˈu	ˈɔ	0.267
β	p	0.807
k	kː	0.168
o	u	0.898
s	s	0.888
i	u	0.119
i	e	0.659
ɣ	k	0.79
ˈe	ˈe	0.279
ˈo	ˈɔ	0.669
ˈu	ˈu	0.589
