East Low German	Alsatian	probability
ˈɔʏ̯	ˈiː	1.0
ˈœː	ˈe	1.0
ˈœ	ˈe	1.0
ˈyː	ˈiː	1.0
ˈoː	ˈoː	1.0
ˈeː	ˈeː	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɡ	ɡ̊	1.0
ŋ_k	ŋ	1.0
z	s	1.0
x	x	1.0
w	w	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_n	s_ə	1.0
r	ʁ	1.0
p_n	f_ə	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_r	t_ʁ	1.0
b_m	n	1.0
b	b̥	1.0
<#_r	<#_ʁ	1.0
#>	t_#>	1.0
ˈa	ˈɒ	0.857
d	d̥	0.844
ˈuː	ˈyː	0.818
ˈiː	ˈiː	0.75
ˈɪ	ˈi	0.708
m	m	0.708
n	n	0.705
ˈʊ	ˈu	0.667
ŋ	ŋ	0.667
p	f	0.667
ˈʏ	ˈu	0.625
ˈɒː	ˈoː	0.625
s	s	0.615
ɾ	t	0.6
j	ɡ̊	0.6
t	t	0.575
ˈaʊ̯	ˈʊː	0.571
æ	ə_ʁ	0.515
ˈɔ	ˈu	0.5
ˈaː	ˈɒː_ʁ	0.5
ˈaː	ˈɒː	0.5
ç	k	0.5
k	ʃ	0.5
æ	ʁ	0.485
ˈae̯	ˈəi̯	0.412
ɾ	d̥	0.4
j	j	0.4
ˈʏ	ˈi	0.375
ˈɒː	ˈɒ	0.375
ˈʊ	ˈo	0.333
ˈɛː	ˈɒː	0.333
ˈɛː	ˈæ	0.333
ˈɛː	ˈe	0.333
ŋ	j_ə	0.333
p	p͡f	0.333
k	k	0.3
t	s	0.275
ˈɛ	ˈæː	0.25
ˈɛ	ˈæ	0.25
ˈɛ	ˈi	0.25
ˈɛ	ˈe	0.25
ˈɔ	ˈɒ	0.25
ˈɔ	ˈo	0.25
ˈiː	ˈei̯	0.25
ç	ʃ_t	0.25
ç	ʃ	0.25
ˈaʊ̯	ˈoː	0.238
ˈae̯	ˈiː	0.235
ˈae̯	ˈei̯	0.235
s	ʃ	0.231
m	m_ə	0.208
k	x	0.2
ˈuː	ˈo	0.182
d	t	0.156
s	k_s	0.154
t	ʦ	0.15
n	ə	0.148
ˈa	ˈɒː	0.143
ˈɪ	ˈiː	0.125
ˈae̯	ˈeː	0.118
n	n_d̥	0.098
ˈaʊ̯	ˈɒ	0.095
ˈaʊ̯	ˈøː	0.095
ˈɪ	ˈəi̯	0.083
ˈɪ	ˈe	0.083
m	ə	0.083
