English	Ripuarian	probability
b	b	1.0
h	h	1.0
j	j	1.0
kʰ	k	1.0
l	l	1.0
pʰ	p	1.0
tʰ	ʦ	1.0
ð	d	1.0
ɡ	j	1.0
ɪ	ə_ɕ	1.0
ʃ	ʃ	1.0
ʤ	k	1.0
ˈæ	ˈa	1.0
ˈɜː	ˈoː	1.0
d	d_ə	0.101
d	ɡ̊	0.181
m	m	0.781
n	n	0.631
p	f_ə	0.21
s	z	0.491
v	v	0.441
z	s	0.561
ə	-	0.081
ˈe	ˈuː	0.251
ˈɒ	ˈɔ	0.411
ˈəʊ̯	ˈeː	0.321
ˈɪ	ˈeː	0.141
d	d̥	0.302
f	f	0.802
k	k	0.472
n	n_ə	0.072
t	s_ə	0.142
v	v_ə	0.222
z	ɕ_#>	0.102
ˈaɪ̯	ˈe	0.232
ˈaʊ̯	ˈuː	0.512
ˈɐ	ˈoː	0.132
ˈɑː	ˈɛː_ɐ	0.122
ˈəʊ̯	ˈoː	0.162
θ	d	0.652
t	-	0.093
t	t	0.13
w	ʋ	0.873
z	ə_#>	0.153
ˈiː	ˈeː	0.193
ˈiː	ˈoː	0.23
ˈuː	ˈa	0.113
ˈɐ	ˈʊ	0.053
ˈɔː	ɐ	0.363
ˈəʊ̯	ˈiː	0.293
ˈɪ	ˈœ	0.173
ˈɪ	ˈɛ	0.193
s	s	0.264
ɫ	l_ə	0.064
ɹ	ʀ	0.964
ˈe	ˈeɪ̯	0.074
ˈiː	ˈøː	0.324
ˈɑː	ˈaː	0.594
ˈɔː	ˈa	0.184
ˈəʊ̯	ˈeɪ̯	0.074
ˈʊ	ˈoː	0.304
k	ɕ	0.345
p	p	0.185
t	ɕ	0.145
t	ʦ	0.15
ʧ	ɕ	0.135
ʧ	k	0.865
ˈaɪ̯	ˈyː	0.05
ˈaɪ̯	ˈʏ	0.065
ˈaɪ̯	ˈeː	0.155
ˈeɪ̯	ˈaː	0.595
ˈiː	ˈeɪ̯	0.085
ˈɐ	ˈu	0.115
ˈɐ	ˈo	0.525
ˈɑː	ˈa	0.085
k	x	0.066
z	n_#>	0.106
ŋ	ŋ_ɡ̊	0.356
ɫ	l	0.936
ˈe	ˈɛ	0.516
ˈɔː	ˈoː	0.226
ˈɪ	ˈe	0.316
ˈʊ	ˈɔ	0.696
p	f	0.487
s	ʃ	0.217
v	f	0.337
w	-	0.127
z	x_#>	0.077
ŋ	ŋ_ə	0.097
ˈeɪ̯	ˈa	0.267
ˈuː	ˈoː	0.887
ˈɐ	ˈuː	0.087
ˈɔː	ˈɔ_ɐ	0.227
d	d	0.388
f	v̥	0.198
k	k_ə	0.118
n	ŋ	0.288
p	p_ə	0.118
ˈaɪ̯	ˈiː	0.168
m	m_ə	0.219
t	s	0.339
ŋ	ŋ	0.509
ə	ɐ	0.919
ˈaɪ̯	ˈɪ	0.329
ˈaʊ̯	ˈaʊ̯	0.179
ˈaʊ̯	ˈoː	0.309
ˈe	ˈeː	0.159
ˈeɪ̯	ˈɛː	0.139
ˈiː	ˈiː	0.089
ˈɐ	ˈɔ	0.089
ˈɑː	ˈa_l	0.199
ˈɒ	ˈa	0.589
ˈəʊ̯	ˈa	0.149
ˈɪ	ˈɪ	0.129
θ	d̥	0.329
