Québécois French	Piedmontese	probability
aœ̯	ˈu	1.0
b	b	1.0
o	ˈɔ_s	1.0
p	p	1.0
v	v	1.0
z	z	1.0
øʏ̯	ˈø	1.0
ɑɔ̯	ˈɔ	1.0
ɲ	ɲ	1.0
ʊ	ˈu	1.0
ʏ	ˈy	1.0
ʣ	d	1.0
i	ˈe	0.141
i	ˈi	0.441
j	j	0.521
l	l	0.631
m	m_a	0.061
n	-	0.111
oʊ̯	ˈɛ_l	0.841
u	ˈu_j	0.111
ɛ	j	0.541
ɥ	-	0.361
ʃ	k	0.911
ã	n	0.342
j	-	0.232
u	ˈɔ	0.092
w	-	0.202
æɛ̯	ˈɛ	0.332
œ	a	0.062
ɛ	ˈɛ	0.2
ɡ	ɡ	0.932
ʒ	z	0.112
a	a	0.613
ã	ˈa_ŋ	0.163
e	ˈa	0.183
ẽɪ̯̃	ˈa_ŋ	0.103
k	k	0.863
l	j	0.103
l	-	0.143
u	u	0.3
u	ˈu	0.403
w	ˈɛ	0.423
ɔ	ˈɔ	0.583
ɪ	ˈi	0.823
ʁ	r_a	0.093
a	ˈa	0.354
d	d	0.944
u	ˈy	0.094
æɛ̯	ˈa	0.594
ɒ̃ʊ̯̃	ˈu_ŋ	0.754
ẽɪ̯̃	ˈi_n	0.085
w	a	0.065
y	ˈi	0.215
y	ˈy	0.785
œ	e	0.455
ã	a	0.166
d	-	0.056
ẽɪ̯̃	ˈi_ŋ	0.166
l	l_a	0.066
n	ŋ_a	0.26
oʊ̯	ˈɔ	0.06
t	s_t	0.146
t	s	0.146
œ	u	0.076
ɒ̃ʊ̯̃	ŋ	0.246
ʒ	ʤ	0.876
i	-	0.27
l	j_l	0.057
s	s	0.887
t	t	0.67
œ	ˈø	0.407
ɔ	u	0.417
ɛ	e	0.067
ɛ	-	0.087
ɪ	-	0.177
e	-	0.218
ẽɪ̯̃	ɲ	0.268
i	i	0.058
j	j_a	0.248
n	n	0.628
ɛ	ˈa	0.078
ɡ	ʤ	0.068
ʁ	r	0.818
ã	ˈɛ_ŋ	0.329
e	ˈe	0.599
ẽɪ̯̃	ŋ	0.179
ẽɪ̯̃	n	0.199
f	f	0.939
i	ˈɛ	0.089
k	k_w	0.09
m	m	0.939
oʊ̯	w	0.099
s	s_a	0.069
w	ˈe	0.309
ɥ	ˈø	0.639
ʃ	k_a	0.089
