Čakavian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ	ɦ	1.0
z	z	1.0
x	x	1.0
t_i	ʧ	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩̂	ˈɔ_ʀ	1.0
ôː	ˈo	1.0
ô_#>	ɔ_#>	1.0
ô	ˈɔ	1.0
l_#>	w_ɪ_#>	1.0
k_#>	x_#>	1.0
k	k	1.0
j	j	1.0
ǐː	ˈe	1.0
êː	ˈe	1.0
e_#>	ɔ_#>	1.0
c	ʦ	1.0
b	b	1.0
ǎː	ˈa	1.0
âː	ˈo	1.0
a_t	ʧ	1.0
a_k	kʲ_i	1.0
<#_l	<#_l	1.0
p	p	0.769
d	d	0.75
n	n	0.684
ûː	ˈu	0.667
â	a	0.667
o	ɔ	0.643
t	t	0.64
e	ɛ	0.625
l	w	0.611
r	ʀ	0.6
m	m	0.538
a	a	0.533
ʋ	ɥ	0.526
i	i	0.5
i	-	0.5
ê	ˈɔ	0.5
ê	e	0.5
ʋ	β	0.474
m	mʲ	0.462
îː	ˈe	0.429
l	l	0.389
e	ˈɛ	0.375
t	ʧ	0.36
o	ˈɔ	0.357
î	ˈe	0.357
ûː	w	0.333
a	-	0.333
r	ʀʲ	0.3
îː	ˈɪ	0.286
îː	ˈi	0.286
d	ʤ	0.25
p	pʲ	0.231
î	ˈi	0.214
n	ɲ	0.211
â	ˈa	0.2
î	ˈɪ	0.143
î	ˈɛ	0.143
î	ɛ	0.143
â	ˈɔ	0.133
a	ˈɔ	0.133
n	m	0.105
r	ʃ	0.1
