German	Limburgish	probability
b	b	0.831
b	v	0.169
d	d	0.696
d	-	0.271
f	v	0.659
f	p	0.241
h	ɦ	0.946
h	k	0.054
j	j	1.0
k	k	0.521
k	x	0.455
kʰ	k	0.99
l	l	0.892
l	j	0.064
m	m	0.981
n	n	0.778
n	ə	0.176
p	f	0.675
p	p	0.212
p	-	0.113
p͡f	p	0.94
p͡f	t	0.06
s	s	0.493
s	t	0.461
t	t	0.794
t	j	0.121
tʰ	d	0.941
tʰ	t	0.059
v	β	0.935
x	x	0.69
x	k	0.31
z	z	0.809
z	s	0.191
ç	x	0.615
ç	k	0.207
ç	ŋ	0.165
ŋ	ŋ	1.0
ɐ	ʀ	0.635
ɐ	ə_ʀ	0.17
ɐ	ʀ_ə	0.152
ə	ə	0.678
ə	j	0.273
ɡ	ɣ	0.807
ɡ	x	0.104
ɡ	ɡ	0.06
ɪ	ə	0.58
ɪ	ɪ	0.42
ʁ	ʀ	0.977
ʃ	s	0.531
ʃ	ʃ	0.332
ʃ	z	0.12
ʦ	t	0.962
ˈa	ˈaː	0.37
ˈa	ˈɑ	0.251
ˈa	ˈɑː	0.214
ˈa	ˈæ	0.061
ˈaɪ̯	ˈɛː	0.396
ˈaɪ̯	ˈiː	0.3
ˈaɪ̯	ˈɛːi̯	0.128
ˈaɪ̯	ˈi	0.07
ˈaʊ̯	ˈuː	0.453
ˈaʊ̯	ˈɔː	0.362
ˈaʊ̯	ˈɔu̯	0.105
ˈaː	ˈɒː	0.482
ˈaː	ˈaː	0.194
ˈaː	ˈɑː	0.115
ˈaː	ˈɑ	0.057
ˈaː	ˈɛ	0.057
ˈeː	ˈeː	0.52
ˈeː	ˈi	0.409
ˈeː	ˈiː	0.071
ˈiː	ˈeː	0.764
ˈiː	ˈɛ	0.174
ˈiː	ˈiː	0.062
ˈoː	ˈu	0.354
ˈoː	ˈoː	0.338
ˈoː	ˈʊː	0.139
ˈoː	ˈuː	0.086
ˈoː	ˈɒː	0.083
ˈuː	ˈʊː	0.406
ˈuː	ˈɔ	0.242
ˈuː	ˈoː	0.148
ˈuː	ˈuː	0.126
ˈuː	ˈøː	0.078
ˈyː	ˈøː	1.0
ˈøː	ˈyː	0.447
ˈøː	ˈøː	0.436
ˈøː	ˈu	0.117
ˈœ	ˈɪ	0.714
ˈœ	ˈæ	0.286
ˈɔ	ˈɔ	0.477
ˈɔ	ˈʊː	0.287
ˈɔ	ˈɔː	0.19
ˈɔʏ̯	ˈœi̯	0.588
ˈɔʏ̯	ˈʏː	0.155
ˈɔʏ̯	ˈyː	0.108
ˈɔʏ̯	ˈeː	0.094
ˈɔʏ̯	ˈøː	0.054
ˈɛ	ˈeː	0.34
ˈɛ	ˈɪ	0.236
ˈɛ	ˈɑ	0.132
ˈɛ	ˈæː	0.128
ˈɛː	ˈi	0.494
ˈɛː	ˈɒː	0.311
ˈɛː	ˈeː	0.196
ˈɪ	ˈɪː	0.411
ˈɪ	ˈeː	0.133
ˈɪ	ɪː	0.096
ˈɪ	ˈʏ	0.096
ˈɪ	ˈi	0.078
ˈɪ	ˈɪ	0.059
ˈɪ	ˈɛː	0.057
ˈʊ	ˈʊː	0.623
ˈʊ	ˈʊ	0.152
ˈʊ	ˈœː	0.088
ˈʏ	ˈœ	0.361
ˈʏ	ˈiː	0.243
ˈʏ	ˈʏ	0.213
ˈʏ	ˈɪː	0.127
