German	Limburgish	probability
b	b	0.805
b	v	0.194
d	d	0.732
d	-	0.199
d	t	0.063
f	v	0.659
f	p	0.206
f	f	0.09
f	ˈv	0.033
h	ɦ	0.953
h	k	0.051
j	j	1.0
k	k	0.42
k	x	0.409
k	-	0.157
kʰ	k	1.0
l	l	0.899
l	j	0.052
m	m	1.0
n	n	0.534
n	-	0.31
n	ə	0.153
p	f	0.4
p	-	0.313
p	p	0.273
p͡f	p	1.0
s	t	0.523
s	s	0.415
s	-	0.055
s_t	s	1.0
t	t	0.737
t	-	0.127
t	j	0.103
t	d	0.029
tʰ	d	0.946
tʰ	t	0.056
v	β	0.938
v	v	0.041
v	-	0.04
x	x	0.538
x	k	0.457
x_t	x	1.0
z	z	0.736
z	s	0.26
ç	x	0.425
ç	k	0.332
ç	ŋ	0.186
ç	-	0.056
ç_t	x	1.0
ŋ	ŋ	1.0
ɐ	ʀ	0.989
ə	-	0.512
ə	ə	0.42
ə	j	0.043
ɡ	ɣ	0.8
ɡ	x	0.102
ɡ	ɡ	0.059
ɡ	-	0.044
ɪ	ə	0.579
ɪ	ɪ	0.418
ʁ	ʀ	0.865
ʁ	-	0.135
ʃ	s	0.555
ʃ	z	0.204
ʃ	ʃ	0.199
ʃ	ʦ	0.042
ʦ	t	0.927
ʦ	d	0.071
ˈa	ˈaː	0.342
ˈa	ˈɑ	0.305
ˈa	ˈɑː	0.149
ˈa	ˈæ	0.075
ˈa	ˈæː	0.057
ˈaɪ̯	ˈɛː	0.346
ˈaɪ̯	ˈiː	0.334
ˈaɪ̯	ˈɛːi̯	0.11
ˈaɪ̯	ˈi	0.086
ˈaɪ̯	ˈɛi̯	0.05
ˈaʊ̯	ˈuː	0.49
ˈaʊ̯	ˈɔː	0.223
ˈaʊ̯	ˈɔu̯	0.125
ˈaʊ̯	ˈœ	0.083
ˈaʊ̯	ˈɔ	0.069
ˈaː	ˈɒː	0.462
ˈaː	ˈaː	0.206
ˈaː	ˈɑː	0.093
ˈaː	ˈɛ	0.061
ˈaː	ˈɑ	0.061
ˈeː	ˈeː	0.573
ˈeː	ˈi	0.34
ˈeː	ˈiː	0.077
ˈiː	ˈeː	0.808
ˈiː	ˈɛ	0.105
ˈiː	ˈiː	0.082
ˈoː	ˈu	0.424
ˈoː	ˈoː	0.262
ˈoː	ˈʊː	0.121
ˈoː	ˈuː	0.103
ˈoː	ˈɒː	0.058
ˈuː	ˈʊː	0.416
ˈuː	ˈoː	0.203
ˈuː	ˈɔ	0.134
ˈuː	ˈuː	0.134
ˈuː	ˈøː	0.091
ˈyː	ˈøː	1.0
ˈøː	ˈyː	0.561
ˈøː	ˈøː	0.28
ˈøː	ˈu	0.105
ˈœ	ˈæ	0.324
ˈœ	ˈɪ	0.324
ˈɔ	ˈɔ	0.484
ˈɔ	ˈʊː	0.263
ˈɔ	ˈɔː	0.193
ˈɔ	ˈyː	0.056
ˈɔɪ̯	ˈœi̯	1.0
ˈɔʏ̯	ˈœi̯	0.537
ˈɔʏ̯	ˈyː	0.119
ˈɔʏ̯	ˈʏː	0.111
ˈɔʏ̯	ˈeː	0.08
ˈɔʏ̯	ˈøː	0.08
ˈɛ	ˈeː	0.383
ˈɛ	ˈɑ	0.133
ˈɛ	ˈæː	0.123
ˈɛ	ˈɪ	0.107
ˈɛ	ˈɛ	0.065
ˈɛː	ˈi	0.488
ˈɛː	ˈɒː	0.136
ˈɛː	ˈeː	0.136
ˈɪ	ˈɪː	0.242
ˈɪ	ˈi	0.16
ˈɪ	ˈeː	0.136
ˈɪ	ˈɛː	0.095
ˈɪ	ˈɪ	0.093
ˈʊ	ˈʊː	0.458
ˈʊ	ˈʊ	0.1
ˈʊ	ˈuː	0.1
ˈʊ	ˈœː	0.09
ˈʊ	ˈɔ	0.078
ˈʏ	ˈœ	0.381
ˈʏ	ˈɔ	0.17
ˈʏ	ˈʏ	0.096
ˈʏ	ˈiː	0.092
ˈʏ	ˈɪː	0.065
