Ladin	Eastern Lombard	probability
b	b	1.0
p	p	1.0
s	s	1.0
u	o	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʒ	z	1.0
ʧ	s	1.0
ˈa	ˈa	1.0
e	i	0.071
l	l	0.791
n	ŋ	0.11
n	n	0.821
o	o	0.811
w	ˈɔ	0.1
ɡ	-	0.061
ɡ	ɡ_w	0.181
ʨ	s	0.211
a	a	0.902
d	t	0.092
e	e_r	0.132
e	-	0.142
i	e	0.442
r	-	0.082
ʦ	s	0.922
ˈi	-	0.062
ˈɛ	ˈɛ	0.552
l	-	0.083
ˈo	ˈu	0.303
ˈɛ	ˈa	0.263
ˈi	ˈe	0.304
ˈi	ˈi	0.634
d	d	0.875
f	f	0.985
ˈe	ˈa	0.275
ˈu	ˈø	0.45
ˈu	ˈy	0.55
ˈɔ	ˈɔ	0.485
ˈɛ	-	0.135
j	-	0.086
l	j	0.126
m	m	0.976
o	-	0.146
v	f	0.056
v	ʋ	0.516
ˈɔ	ˈu	0.176
t	ʧ	0.127
ʨ	k	0.767
ˈe	ˈɛ	0.267
ˈo	ˈo	0.697
a	-	0.068
e	o	0.08
i	i	0.558
j	j_ø	0.218
j	j	0.418
k	k_w	0.138
k	k	0.828
t	t	0.838
ɡ	ɡ	0.758
ˈɔ	ˈo	0.338
e	e	0.539
j	e	0.279
n	-	0.069
r	r	0.9
v	ɡ	0.119
v	-	0.309
w	-	0.9
ˈe	-	0.149
ˈe	ˈe	0.309
